1,郷原 章平,郷原 章平.1,2,関根 彰人,関根 彰人.1,3,江本 真治,江本 真治.1,4,冨成 謙児,冨成 謙児.1,5,星 栄爾,星 栄爾.1,6,森 貴洋,森 貴洋.1
2.0,3.0,15.6,1.0,3.0,149.8,1.0,2.0,51.3,1.0,2.0,276.5,1.0,2.0,305.9,1.0,2.0,609.7
2.0,4.0,33.2,1.0,4.0,298.4,1.0,4.0,30.0,1.0,3.0,126.7,1.0,3.0,128.9,1.0,3.0,219.1
2.0,5.0,34.0,1.0,5.0,295.0,1.0,5.0,25.2,1.0,5.0,153.5,1.0,4.0,294.9,1.0,4.0,504.5
2.0,6.0,34.4,1.0,6.0,290.3,1.0,6.0,27.2,1.0,6.0,137.3,1.0,6.0,202.7,1.0,5.0,529.7
3.0,2.0,10.9,3.0,1.0,297.8,2.0,1.0,193.4,2.0,1.0,621.9,2.0,1.0,805.3,2.0,1.0,1001.0
3.0,4.0,7.2,3.0,4.0,797.6,2.0,4.0,464.6,2.0,3.0,998.7,2.0,3.0,1223.0,2.0,3.0,1658.0
3.0,5.0,7.9,3.0,5.0,798.4,2.0,5.0,423.9,2.0,5.0,1064.0,2.0,4.0,1648.0,2.0,4.0,2024.0
3.0,6.0,9.3,3.0,6.0,699.5,2.0,6.0,391.3,2.0,6.0,954.2,2.0,6.0,1298.0,2.0,5.0,2165.0
4.0,2.0,38.4,4.0,1.0,709.0,4.0,1.0,81.7,3.0,1.0,189.6,3.0,1.0,219.4,3.0,1.0,280.5
4.0,3.0,16.6,4.0,3.0,1143.0,4.0,2.0,309.0,3.0,2.0,649.0,3.0,2.0,881.8,3.0,2.0,1407.0
4.0,5.0,32.5,4.0,5.0,1456.0,4.0,5.0,172.1,3.0,5.0,391.5,3.0,4.0,651.0,3.0,4.0,969.7
4.0,6.0,29.0,4.0,6.0,1298.0,4.0,6.0,163.7,3.0,6.0,342.1,3.0,6.0,470.6,3.0,5.0,990.4
5.0,2.0,50.2,5.0,1.0,783.4,5.0,1.0,85.5,5.0,1.0,233.9,4.0,1.0,547.8,4.0,1.0,822.7
5.0,3.0,21.4,5.0,3.0,1202.0,5.0,2.0,398.4,5.0,2.0,682.9,4.0,2.0,1264.0,4.0,2.0,2079.0
5.0,4.0,50.1,5.0,4.0,1745.0,5.0,4.0,250.5,5.0,3.0,469.1,4.0,3.0,813.9,4.0,3.0,1300.0
5.0,6.0,36.8,5.0,6.0,1238.0,5.0,6.0,165.3,5.0,6.0,303.9,4.0,6.0,688.0,4.0,5.0,1716.0
6.0,2.0,80.8,6.0,1.0,806.1,6.0,1.0,93.8,6.0,1.0,266.0,6.0,1.0,457.0,5.0,1.0,854.7
6.0,3.0,32.2,6.0,3.0,1517.0,6.0,2.0,430.9,6.0,2.0,815.5,6.0,2.0,1251.0,5.0,2.0,2188.0
6.0,4.0,61.4,6.0,4.0,1741.0,6.0,4.0,283.3,6.0,3.0,530.7,6.0,3.0,640.0,5.0,3.0,1197.0
6.0,5.0,63.8,6.0,5.0,1528.0,6.0,5.0,235.2,6.0,5.0,488.5,6.0,4.0,1015.0,5.0,4.0,1763.0
