1,大賀　龍之介,大賀　龍之介.1,2,渥美 卓郎,渥美 卓郎.1,3,本岡 勝利,本岡 勝利.1,4,西村 秀樹,西村 秀樹.1,5,関根 彰人,関根 彰人.1,6,柳瀬 興志,柳瀬 興志.1
2.0,3.0,18.3,1.0,3.0,100.8,1.0,2.0,100.7,1.0,2.0,71.8,1.0,2.0,202.0,1.0,2.0,205.5
2.0,4.0,32.7,1.0,4.0,112.2,1.0,4.0,71.1,1.0,3.0,73.0,1.0,3.0,125.1,1.0,3.0,163.1
2.0,5.0,42.9,1.0,5.0,152.0,1.0,5.0,66.8,1.0,5.0,44.2,1.0,4.0,148.0,1.0,4.0,146.3
2.0,6.0,28.5,1.0,6.0,118.2,1.0,6.0,75.8,1.0,6.0,69.6,1.0,6.0,158.7,1.0,5.0,174.6
3.0,2.0,16.9,3.0,1.0,184.8,2.0,1.0,214.3,2.0,1.0,100.2,2.0,1.0,453.2,2.0,1.0,406.2
3.0,4.0,15.4,3.0,4.0,321.7,2.0,4.0,203.4,2.0,3.0,142.4,2.0,3.0,542.1,2.0,3.0,482.8
3.0,5.0,15.6,3.0,5.0,284.0,2.0,5.0,200.2,2.0,5.0,98.8,2.0,4.0,416.7,2.0,4.0,529.5
3.0,6.0,15.8,3.0,6.0,266.8,2.0,6.0,260.2,2.0,6.0,194.8,2.0,6.0,671.0,2.0,5.0,592.6
4.0,2.0,37.4,4.0,1.0,198.1,4.0,1.0,129.8,3.0,1.0,105.0,3.0,1.0,218.8,3.0,1.0,250.0
4.0,3.0,26.5,4.0,3.0,373.0,4.0,2.0,181.1,3.0,2.0,152.9,3.0,2.0,482.0,3.0,2.0,429.8
4.0,5.0,30.7,4.0,5.0,416.7,4.0,5.0,119.6,3.0,5.0,94.0,3.0,4.0,316.1,3.0,4.0,318.7
4.0,6.0,36.6,4.0,6.0,363.1,4.0,6.0,165.3,3.0,6.0,162.9,3.0,6.0,293.4,3.0,5.0,260.7
5.0,2.0,61.0,5.0,1.0,358.8,5.0,1.0,149.8,5.0,1.0,37.9,4.0,1.0,118.8,4.0,1.0,195.9
5.0,3.0,32.6,5.0,3.0,530.5,5.0,2.0,206.7,5.0,2.0,63.1,4.0,2.0,201.7,4.0,2.0,405.0
5.0,4.0,50.5,5.0,4.0,597.7,5.0,4.0,160.6,5.0,3.0,56.4,4.0,3.0,173.2,4.0,3.0,301.5
5.0,6.0,50.2,5.0,6.0,519.5,5.0,6.0,159.8,5.0,6.0,60.2,4.0,6.0,156.3,4.0,5.0,220.0
6.0,2.0,42.2,6.0,1.0,294.0,6.0,1.0,139.6,6.0,1.0,113.3,6.0,1.0,283.1,5.0,1.0,290.3
6.0,3.0,26.9,6.0,3.0,387.2,6.0,2.0,253.2,6.0,2.0,242.5,6.0,2.0,636.7,5.0,2.0,562.1
6.0,4.0,39.4,6.0,4.0,469.6,6.0,4.0,185.7,6.0,3.0,187.5,6.0,3.0,336.3,5.0,3.0,324.7
6.0,5.0,38.7,6.0,5.0,434.5,6.0,5.0,127.4,6.0,5.0,114.8,6.0,4.0,320.9,5.0,4.0,308.3
