1,土井 祥伍,土井 祥伍.1,2,村松 修二,村松 修二.1,3,星 栄爾,星 栄爾.1,4,井上 慧人,井上 慧人.1,5,三川 昂暁,三川 昂暁.1,6,武田 正紀,武田 正紀.1
2.0,3.0,8.5,1.0,3.0,10.0,1.0,2.0,46.7,1.0,2.0,160.5,1.0,2.0,55.9,1.0,2.0,1079.0
2.0,4.0,38.4,1.0,4.0,44.7,1.0,4.0,184.2,1.0,3.0,241.4,1.0,3.0,85.2,1.0,3.0,1619.0
2.0,5.0,9.5,1.0,5.0,10.5,1.0,5.0,54.3,1.0,5.0,151.4,1.0,4.0,194.5,1.0,4.0,1688.0
2.0,6.0,71.6,1.0,6.0,83.5,1.0,6.0,200.0,1.0,6.0,290.5,1.0,6.0,171.0,1.0,5.0,1400.0
3.0,2.0,13.9,3.0,1.0,25.1,2.0,1.0,62.2,2.0,1.0,212.0,2.0,1.0,59.0,2.0,1.0,1260.0
3.0,4.0,76.6,3.0,4.0,142.7,2.0,4.0,262.6,2.0,3.0,282.8,2.0,3.0,74.5,2.0,3.0,1539.0
3.0,5.0,18.4,3.0,5.0,22.5,2.0,5.0,59.6,2.0,5.0,185.3,2.0,4.0,203.2,2.0,4.0,2932.0
3.0,6.0,119.5,3.0,6.0,153.0,2.0,6.0,217.1,2.0,6.0,337.3,2.0,6.0,158.7,2.0,5.0,1565.0
4.0,2.0,94.0,4.0,1.0,162.7,4.0,1.0,377.5,3.0,1.0,599.2,3.0,1.0,153.0,3.0,1.0,1522.0
4.0,3.0,150.2,4.0,3.0,225.4,4.0,2.0,341.8,3.0,2.0,621.9,3.0,2.0,126.1,3.0,2.0,1421.0
4.0,5.0,95.4,4.0,5.0,168.4,4.0,5.0,338.1,3.0,5.0,473.0,3.0,4.0,561.7,3.0,4.0,2465.0
4.0,6.0,247.8,4.0,6.0,395.2,4.0,6.0,520.8,3.0,6.0,895.9,3.0,6.0,420.2,3.0,5.0,2247.0
5.0,2.0,20.7,5.0,1.0,27.1,5.0,1.0,95.9,5.0,1.0,167.9,4.0,1.0,273.1,4.0,1.0,2814.0
5.0,3.0,29.5,5.0,3.0,29.5,5.0,2.0,76.1,5.0,2.0,157.9,4.0,2.0,226.9,4.0,2.0,3202.0
5.0,4.0,94.8,5.0,4.0,125.8,5.0,4.0,319.9,5.0,3.0,321.7,4.0,3.0,549.5,4.0,3.0,3618.0
5.0,6.0,120.2,5.0,6.0,115.4,5.0,6.0,232.1,5.0,6.0,224.1,4.0,6.0,379.6,4.0,5.0,2004.0
6.0,2.0,303.5,6.0,1.0,403.2,6.0,1.0,644.9,6.0,1.0,596.6,6.0,1.0,456.7,5.0,1.0,1752.0
6.0,3.0,375.0,6.0,3.0,456.7,6.0,2.0,525.7,6.0,2.0,759.2,6.0,2.0,385.9,5.0,2.0,1539.0
6.0,4.0,492.2,6.0,4.0,693.1,6.0,4.0,1227.0,6.0,3.0,988.0,6.0,3.0,668.1,5.0,3.0,2422.0
6.0,5.0,348.2,6.0,5.0,450.1,6.0,5.0,743.0,6.0,5.0,590.3,6.0,4.0,597.9,5.0,4.0,2004.0
