1,小池 修平,小池 修平.1,2,森 貴洋,森 貴洋.1,3,廣中 良一,廣中 良一.1,4,酒見 峻介,酒見 峻介.1,5,高橋 龍治,高橋 龍治.1,6,小林 礼央,小林 礼央.1
2.0,3.0,8.4,1.0,3.0,47.0,1.0,2.0,122.6,1.0,2.0,17.1,1.0,2.0,200.9,1.0,2.0,908.3
2.0,4.0,4.5,1.0,4.0,24.3,1.0,4.0,150.3,1.0,3.0,57.7,1.0,3.0,421.8,1.0,3.0,1106.0
2.0,5.0,24.0,1.0,5.0,96.1,1.0,5.0,316.1,1.0,5.0,31.9,1.0,4.0,196.7,1.0,4.0,1020.0
2.0,6.0,106.3,1.0,6.0,272.3,1.0,6.0,542.8,1.0,6.0,133.7,1.0,6.0,602.0,1.0,5.0,1671.0
3.0,2.0,20.0,3.0,1.0,117.3,2.0,1.0,181.8,2.0,1.0,24.4,2.0,1.0,289.3,2.0,1.0,1587.0
3.0,4.0,22.6,3.0,4.0,105.2,2.0,4.0,166.1,2.0,3.0,67.2,2.0,3.0,569.3,2.0,3.0,2228.0
3.0,5.0,74.7,3.0,5.0,245.1,2.0,5.0,316.8,2.0,5.0,48.5,2.0,4.0,308.7,2.0,4.0,1893.0
3.0,6.0,176.3,3.0,6.0,645.3,2.0,6.0,672.9,2.0,6.0,176.1,2.0,6.0,979.0,2.0,5.0,3240.0
4.0,2.0,7.5,4.0,1.0,39.2,4.0,1.0,204.2,3.0,1.0,153.4,3.0,1.0,1054.0,3.0,1.0,1795.0
4.0,3.0,18.1,4.0,3.0,78.4,4.0,2.0,190.5,3.0,2.0,150.6,3.0,2.0,1130.0,3.0,2.0,2310.0
4.0,5.0,29.7,4.0,5.0,123.5,4.0,5.0,357.1,3.0,5.0,274.7,3.0,4.0,1181.0,3.0,4.0,2182.0
4.0,6.0,128.3,4.0,6.0,372.8,4.0,6.0,938.1,3.0,6.0,629.8,3.0,6.0,3240.0,3.0,5.0,3308.0
5.0,2.0,70.4,5.0,1.0,241.9,5.0,1.0,641.4,5.0,1.0,41.8,4.0,1.0,198.0,4.0,1.0,1448.0
5.0,3.0,138.0,5.0,3.0,329.7,5.0,2.0,582.0,5.0,2.0,48.4,4.0,2.0,208.4,4.0,2.0,1654.0
5.0,4.0,91.8,5.0,4.0,266.3,5.0,4.0,686.2,5.0,3.0,139.6,4.0,3.0,502.0,4.0,3.0,1881.0
5.0,6.0,379.1,5.0,6.0,982.1,5.0,6.0,1736.0,5.0,6.0,128.0,4.0,6.0,502.8,4.0,5.0,2014.0
6.0,2.0,375.0,6.0,1.0,985.2,6.0,1.0,1277.0,6.0,1.0,266.7,6.0,1.0,1746.0,5.0,1.0,3416.0
6.0,3.0,460.1,6.0,3.0,1489.0,6.0,2.0,1671.0,6.0,2.0,326.3,6.0,2.0,2328.0,5.0,2.0,3697.0
6.0,4.0,424.7,6.0,4.0,1151.0,6.0,4.0,1775.0,6.0,3.0,650.6,6.0,3.0,2806.0,5.0,3.0,3978.0
6.0,5.0,671.5,6.0,5.0,1859.0,6.0,5.0,2455.0,6.0,5.0,296.7,6.0,4.0,1587.0,5.0,4.0,2399.0
