1,大野 芳顕,大野 芳顕.1,2,本岡 勝利,本岡 勝利.1,3,大原 祥昌,大原 祥昌.1,4,郷原 章平,郷原 章平.1,5,小川　竜太朗,小川　竜太朗.1,6,星 栄爾,星 栄爾.1
2.0,3.0,15.4,1.0,3.0,168.3,1.0,2.0,73.0,1.0,2.0,41.2,1.0,2.0,892.1,1.0,2.0,682.0
2.0,4.0,10.5,1.0,4.0,115.4,1.0,4.0,35.6,1.0,3.0,36.8,1.0,3.0,965.5,1.0,3.0,654.0
2.0,5.0,64.6,1.0,5.0,434.7,1.0,5.0,140.7,1.0,5.0,73.7,1.0,4.0,645.5,1.0,4.0,296.5
2.0,6.0,29.3,1.0,6.0,234.4,1.0,6.0,68.7,1.0,6.0,28.8,1.0,6.0,874.6,1.0,5.0,1281.0
3.0,2.0,13.9,3.0,1.0,360.0,2.0,1.0,233.7,2.0,1.0,125.2,2.0,1.0,1742.0,2.0,1.0,1281.0
3.0,4.0,7.0,3.0,4.0,561.8,2.0,4.0,352.0,2.0,3.0,286.8,2.0,3.0,2687.0,2.0,3.0,2437.0
3.0,5.0,43.8,3.0,5.0,1858.0,2.0,5.0,914.1,2.0,5.0,390.9,2.0,4.0,1991.0,2.0,4.0,1343.0
3.0,6.0,20.8,3.0,6.0,1364.0,2.0,6.0,615.2,2.0,6.0,234.5,2.0,6.0,2655.0,2.0,5.0,2877.0
4.0,2.0,8.9,4.0,1.0,222.8,4.0,1.0,69.7,3.0,1.0,92.2,3.0,1.0,1507.0,3.0,1.0,965.5
4.0,3.0,7.3,4.0,3.0,540.0,4.0,2.0,205.6,3.0,2.0,248.6,3.0,2.0,3209.0,3.0,2.0,2311.0
4.0,5.0,35.9,4.0,5.0,1118.0,4.0,5.0,279.6,3.0,5.0,343.4,3.0,4.0,1791.0,3.0,4.0,933.2
4.0,6.0,11.2,4.0,6.0,561.8,4.0,6.0,131.5,3.0,6.0,152.8,3.0,6.0,2770.0,3.0,5.0,3540.0
5.0,2.0,154.9,5.0,1.0,1225.0,5.0,1.0,484.8,5.0,1.0,151.7,4.0,1.0,629.1,4.0,1.0,312.3
5.0,3.0,140.2,5.0,3.0,2027.0,5.0,2.0,1253.0,5.0,2.0,324.8,4.0,2.0,1074.0,4.0,2.0,817.0
5.0,4.0,110.3,5.0,4.0,1640.0,5.0,4.0,710.3,5.0,3.0,392.6,4.0,3.0,1312.0,4.0,3.0,724.1
5.0,6.0,167.4,5.0,6.0,1914.0,5.0,6.0,808.1,5.0,6.0,178.0,4.0,6.0,818.5,4.0,5.0,1115.0
6.0,2.0,66.0,6.0,1.0,867.8,6.0,1.0,275.1,6.0,1.0,64.3,6.0,1.0,1806.0,5.0,1.0,2230.0
6.0,3.0,70.4,6.0,3.0,1991.0,6.0,2.0,782.6,6.0,2.0,167.1,6.0,2.0,3328.0,5.0,2.0,3431.0
6.0,4.0,42.8,6.0,4.0,1170.0,6.0,4.0,318.1,6.0,3.0,173.5,6.0,3.0,3431.0,5.0,3.0,3485.0
6.0,5.0,159.4,6.0,5.0,2520.0,6.0,5.0,844.8,6.0,5.0,186.8,6.0,4.0,1385.0,5.0,4.0,1628.0
