1,廣中 良一,廣中 良一.1,2,小池 修平,小池 修平.1,3,関根 彰人,関根 彰人.1,4,江本 真治,江本 真治.1,5,山下 流心,山下 流心.1,6,宮迫 暢彦,宮迫 暢彦.1
2.0,3.0,25.9,1.0,3.0,15.7,1.0,2.0,205.8,1.0,2.0,87.4,1.0,2.0,124.0,1.0,2.0,156.4
2.0,4.0,20.9,1.0,4.0,12.0,1.0,4.0,228.5,1.0,3.0,190.9,1.0,3.0,284.0,1.0,3.0,362.6
2.0,5.0,47.3,1.0,5.0,29.5,1.0,5.0,375.0,1.0,5.0,165.3,1.0,4.0,199.0,1.0,4.0,224.5
2.0,6.0,32.1,1.0,6.0,22.8,1.0,6.0,338.8,1.0,6.0,170.1,1.0,6.0,256.1,1.0,5.0,344.1
3.0,2.0,48.3,3.0,1.0,40.1,2.0,1.0,193.2,2.0,1.0,63.1,2.0,1.0,106.5,2.0,1.0,164.0
3.0,4.0,74.3,3.0,4.0,23.4,2.0,4.0,109.9,2.0,3.0,78.2,2.0,3.0,140.2,2.0,3.0,265.3
3.0,5.0,151.7,3.0,5.0,51.2,2.0,5.0,182.5,2.0,5.0,47.4,2.0,4.0,86.6,2.0,4.0,122.4
3.0,6.0,118.0,3.0,6.0,56.0,2.0,6.0,201.7,2.0,6.0,74.1,2.0,6.0,116.4,2.0,5.0,205.4
4.0,2.0,48.8,4.0,1.0,22.8,4.0,1.0,346.1,3.0,1.0,238.4,3.0,1.0,435.7,3.0,1.0,644.3
4.0,3.0,101.3,4.0,3.0,25.5,4.0,2.0,176.0,3.0,2.0,151.3,3.0,2.0,245.9,3.0,2.0,531.3
4.0,5.0,108.0,4.0,5.0,25.5,4.0,5.0,317.5,3.0,5.0,250.8,3.0,4.0,383.3,3.0,4.0,624.4
4.0,6.0,98.5,4.0,6.0,24.5,4.0,6.0,391.4,3.0,6.0,345.1,3.0,6.0,567.4,3.0,5.0,957.6
5.0,2.0,132.6,5.0,1.0,74.5,5.0,1.0,585.2,5.0,1.0,134.6,4.0,1.0,232.0,4.0,1.0,239.1
5.0,3.0,283.0,5.0,3.0,85.6,5.0,2.0,400.4,5.0,2.0,48.6,4.0,2.0,113.9,4.0,2.0,140.9
5.0,4.0,194.2,5.0,4.0,51.2,5.0,4.0,474.1,5.0,3.0,163.9,4.0,3.0,314.6,4.0,3.0,410.6
5.0,6.0,229.0,5.0,6.0,75.4,5.0,6.0,640.9,5.0,6.0,115.6,4.0,6.0,228.7,4.0,5.0,271.9
6.0,2.0,73.6,6.0,1.0,52.0,6.0,1.0,517.6,6.0,1.0,209.2,6.0,1.0,376.7,5.0,1.0,500.5
6.0,3.0,163.3,6.0,3.0,81.5,6.0,2.0,373.3,6.0,2.0,102.4,6.0,2.0,200.5,5.0,2.0,329.1
6.0,4.0,120.3,6.0,4.0,37.2,6.0,4.0,429.5,6.0,3.0,266.8,6.0,3.0,544.4,5.0,3.0,815.7
6.0,5.0,187.2,6.0,5.0,70.8,6.0,5.0,566.0,6.0,5.0,177.7,6.0,4.0,292.2,5.0,4.0,382.7
