1,森 貴洋,森 貴洋.1,2,星 栄爾,星 栄爾.1,3,山本 修一,山本 修一.1,4,武田 正紀,武田 正紀.1,5,永田 啓二,永田 啓二.1,6,井上 慧人,井上 慧人.1
2.0,3.0,17.3,1.0,3.0,85.7,1.0,2.0,57.3,1.0,2.0,421.6,1.0,2.0,36.9,1.0,2.0,1390.0
2.0,4.0,47.3,1.0,4.0,254.9,1.0,4.0,48.5,1.0,3.0,268.7,1.0,3.0,18.8,1.0,3.0,1125.0
2.0,5.0,16.6,1.0,5.0,83.8,1.0,5.0,15.8,1.0,5.0,177.5,1.0,4.0,57.0,1.0,4.0,2003.0
2.0,6.0,252.2,1.0,6.0,629.5,1.0,6.0,169.0,1.0,6.0,678.5,1.0,6.0,103.4,1.0,5.0,918.1
3.0,2.0,15.6,3.0,1.0,199.6,2.0,1.0,148.0,2.0,1.0,748.9,2.0,1.0,99.1,2.0,1.0,2772.0
3.0,4.0,20.7,3.0,4.0,621.1,2.0,4.0,311.2,2.0,3.0,1028.0,2.0,3.0,127.7,2.0,3.0,3012.0
3.0,5.0,6.7,3.0,5.0,234.4,2.0,5.0,164.5,2.0,5.0,681.8,2.0,4.0,257.9,2.0,4.0,2867.0
3.0,6.0,100.1,3.0,6.0,1363.0,2.0,6.0,904.2,2.0,6.0,1533.0,2.0,6.0,502.0,2.0,5.0,2666.0
4.0,2.0,63.1,4.0,1.0,631.4,4.0,1.0,110.4,3.0,1.0,316.4,3.0,1.0,28.9,3.0,1.0,1511.0
4.0,3.0,43.2,4.0,3.0,1128.0,4.0,2.0,245.4,3.0,2.0,742.3,3.0,2.0,75.1,3.0,2.0,3296.0
4.0,5.0,31.5,4.0,5.0,698.9,4.0,5.0,82.4,3.0,5.0,238.9,3.0,4.0,83.1,3.0,4.0,2263.0
4.0,6.0,226.0,4.0,6.0,1695.0,4.0,6.0,449.2,3.0,6.0,916.1,3.0,6.0,189.3,3.0,5.0,1428.0
5.0,2.0,13.6,5.0,1.0,176.0,5.0,1.0,22.5,5.0,1.0,159.4,4.0,1.0,117.0,4.0,1.0,2448.0
5.0,3.0,8.1,5.0,3.0,225.7,5.0,2.0,65.2,5.0,2.0,326.8,4.0,2.0,253.2,4.0,2.0,2990.0
5.0,4.0,23.5,5.0,4.0,571.1,5.0,4.0,56.1,5.0,3.0,203.3,4.0,3.0,149.5,4.0,3.0,2772.0
5.0,6.0,92.4,5.0,6.0,1026.0,5.0,6.0,153.8,5.0,6.0,437.0,4.0,6.0,337.3,4.0,5.0,2003.0
6.0,2.0,542.3,6.0,1.0,1860.0,6.0,1.0,591.3,6.0,1.0,1395.0,6.0,1.0,269.0,5.0,1.0,951.5
6.0,3.0,334.9,6.0,3.0,2927.0,6.0,2.0,1695.0,6.0,2.0,2114.0,6.0,2.0,619.3,5.0,2.0,2072.0
6.0,4.0,520.7,6.0,4.0,2649.0,6.0,4.0,1147.0,6.0,3.0,1568.0,6.0,3.0,396.4,5.0,3.0,1169.0
6.0,5.0,296.7,6.0,5.0,2180.0,6.0,5.0,581.4,6.0,5.0,1419.0,6.0,4.0,698.9,5.0,4.0,1911.0
