1,江本 真治,江本 真治.1,2,村田 浩司,村田 浩司.1,3,酒見 峻介,酒見 峻介.1,4,川崎 智稔,川崎 智稔.1,5,松崎　祐太郎,松崎　祐太郎.1,6,冨成 謙児,冨成 謙児.1
2.0,3.0,31.3,1.0,3.0,130.9,1.0,2.0,107.2,1.0,2.0,107.9,1.0,2.0,130.3,1.0,2.0,1125.0
2.0,4.0,31.6,1.0,4.0,106.7,1.0,4.0,41.4,1.0,3.0,62.9,1.0,3.0,54.5,1.0,3.0,1060.0
2.0,5.0,33.3,1.0,5.0,118.5,1.0,5.0,30.4,1.0,5.0,40.5,1.0,4.0,68.8,1.0,4.0,1028.0
2.0,6.0,101.2,1.0,6.0,269.0,1.0,6.0,116.7,1.0,6.0,83.9,1.0,6.0,132.2,1.0,5.0,1166.0
3.0,2.0,28.7,3.0,1.0,235.3,2.0,1.0,230.9,2.0,1.0,215.2,2.0,1.0,336.6,2.0,1.0,1799.0
3.0,4.0,11.5,3.0,4.0,244.1,2.0,4.0,240.8,2.0,3.0,302.9,2.0,3.0,378.2,2.0,3.0,2611.0
3.0,5.0,9.6,3.0,5.0,234.8,2.0,5.0,207.6,2.0,5.0,187.0,2.0,4.0,408.8,2.0,4.0,1464.0
3.0,6.0,51.9,3.0,6.0,489.2,2.0,6.0,395.7,2.0,6.0,293.1,2.0,6.0,510.5,2.0,5.0,1869.0
4.0,2.0,31.4,4.0,1.0,220.7,4.0,1.0,59.4,3.0,1.0,83.8,3.0,1.0,84.9,3.0,1.0,1177.0
4.0,3.0,17.1,4.0,3.0,337.8,4.0,2.0,148.2,3.0,2.0,192.0,3.0,2.0,289.9,3.0,2.0,2489.0
4.0,5.0,15.1,4.0,5.0,236.9,4.0,5.0,44.4,3.0,5.0,61.3,3.0,4.0,111.1,3.0,4.0,1099.0
4.0,6.0,49.9,4.0,6.0,413.4,4.0,6.0,96.1,3.0,6.0,118.2,3.0,6.0,207.9,3.0,5.0,1305.0
5.0,2.0,39.7,5.0,1.0,292.7,5.0,1.0,42.8,5.0,1.0,43.5,4.0,1.0,80.6,4.0,1.0,1112.0
5.0,3.0,17.1,5.0,3.0,347.1,5.0,2.0,158.7,5.0,2.0,105.1,4.0,2.0,217.9,4.0,2.0,1309.0
5.0,4.0,22.2,5.0,4.0,292.9,5.0,4.0,53.9,5.0,3.0,59.8,4.0,3.0,115.1,4.0,3.0,1133.0
5.0,6.0,57.7,5.0,6.0,511.1,5.0,6.0,96.0,5.0,6.0,57.4,4.0,6.0,122.0,4.0,5.0,650.1
6.0,2.0,255.0,6.0,1.0,716.0,6.0,1.0,329.0,6.0,1.0,215.3,6.0,1.0,323.3,5.0,1.0,1334.0
6.0,3.0,206.4,6.0,3.0,1235.0,6.0,2.0,705.4,6.0,2.0,341.2,6.0,2.0,559.9,5.0,2.0,1945.0
6.0,4.0,174.0,6.0,4.0,659.0,6.0,4.0,291.1,6.0,3.0,254.2,6.0,3.0,373.3,5.0,3.0,1469.0
6.0,5.0,198.1,6.0,5.0,844.3,6.0,5.0,272.8,6.0,5.0,154.2,6.0,4.0,264.1,5.0,4.0,721.3
