1,小池 修平,小池 修平.1,2,村松 修二,村松 修二.1,3,川崎 智稔,川崎 智稔.1,4,板橋 侑我,板橋 侑我.1,5,松田 竜馬,松田 竜馬.1,6,三川 昂暁,三川 昂暁.1
2.0,3.0,9.9,1.0,3.0,53.5,1.0,2.0,108.7,1.0,2.0,99.3,1.0,2.0,140.4,1.0,2.0,250.6
2.0,4.0,8.2,1.0,4.0,38.7,1.0,4.0,108.8,1.0,3.0,211.3,1.0,3.0,180.4,1.0,3.0,340.0
2.0,5.0,16.1,1.0,5.0,69.1,1.0,5.0,107.0,1.0,5.0,147.3,1.0,4.0,215.3,1.0,4.0,331.4
2.0,6.0,20.6,1.0,6.0,92.4,1.0,6.0,141.2,1.0,6.0,155.4,1.0,6.0,166.5,1.0,5.0,352.6
3.0,2.0,13.4,3.0,1.0,121.1,2.0,1.0,186.9,2.0,1.0,170.6,2.0,1.0,243.3,2.0,1.0,349.5
3.0,4.0,13.7,3.0,4.0,186.9,2.0,4.0,309.6,2.0,3.0,584.3,2.0,3.0,415.7,2.0,3.0,670.5
3.0,5.0,19.0,3.0,5.0,202.7,2.0,5.0,275.5,2.0,5.0,429.3,2.0,4.0,486.2,2.0,4.0,629.0
3.0,6.0,24.3,3.0,6.0,272.3,2.0,6.0,338.0,2.0,6.0,430.4,2.0,6.0,355.4,2.0,5.0,627.6
4.0,2.0,11.8,4.0,1.0,99.0,4.0,1.0,219.7,3.0,1.0,418.9,3.0,1.0,307.1,3.0,1.0,598.1
4.0,3.0,19.1,4.0,3.0,241.2,4.0,2.0,356.4,3.0,2.0,750.2,3.0,2.0,476.8,3.0,2.0,1003.0
4.0,5.0,22.0,4.0,5.0,241.6,4.0,5.0,314.5,3.0,5.0,708.4,3.0,4.0,666.6,3.0,4.0,973.7
4.0,6.0,24.2,4.0,6.0,247.1,4.0,6.0,321.8,3.0,6.0,642.9,3.0,6.0,456.0,3.0,5.0,1011.0
5.0,2.0,32.3,5.0,1.0,205.6,5.0,1.0,206.3,5.0,1.0,264.6,4.0,1.0,438.5,4.0,1.0,619.9
5.0,3.0,36.3,5.0,3.0,309.2,5.0,2.0,293.9,5.0,2.0,456.5,4.0,2.0,650.6,4.0,2.0,943.2
5.0,4.0,46.4,5.0,4.0,349.9,5.0,4.0,374.2,5.0,3.0,676.0,4.0,3.0,905.4,4.0,3.0,1233.0
5.0,6.0,51.0,5.0,6.0,307.7,5.0,6.0,279.0,5.0,6.0,302.4,4.0,6.0,469.4,4.0,5.0,903.4
6.0,2.0,62.2,6.0,1.0,370.6,6.0,1.0,403.9,6.0,1.0,371.1,6.0,1.0,307.2,5.0,1.0,527.2
6.0,3.0,72.7,6.0,3.0,646.0,6.0,2.0,616.6,6.0,2.0,663.4,6.0,2.0,430.0,5.0,2.0,742.7
6.0,4.0,71.2,6.0,4.0,571.6,6.0,4.0,598.9,6.0,3.0,845.2,6.0,3.0,531.0,5.0,3.0,943.2
6.0,5.0,91.7,6.0,5.0,618.0,6.0,5.0,539.4,6.0,5.0,498.4,6.0,4.0,528.5,5.0,4.0,808.3
