1,永田 啓二,永田 啓二.1,2,大原 祥昌,大原 祥昌.1,3,杉山 勝匡,杉山 勝匡.1,4,向後 龍一,向後 龍一.1,5,佐々木　翔斗,佐々木　翔斗.1,6,郷原 章平,郷原 章平.1
2.0,3.0,12.6,1.0,3.0,74.5,1.0,2.0,200.1,1.0,2.0,98.1,1.0,2.0,148.6,1.0,2.0,790.6
2.0,4.0,7.3,1.0,4.0,46.7,1.0,4.0,181.7,1.0,3.0,190.1,1.0,3.0,241.3,1.0,3.0,961.5
2.0,5.0,10.2,1.0,5.0,59.7,1.0,5.0,203.9,1.0,5.0,68.1,1.0,4.0,133.2,1.0,4.0,601.0
2.0,6.0,26.9,1.0,6.0,119.7,1.0,6.0,274.6,1.0,6.0,100.6,1.0,6.0,167.5,1.0,5.0,594.8
3.0,2.0,19.4,3.0,1.0,262.2,2.0,1.0,346.6,2.0,1.0,207.3,2.0,1.0,341.8,2.0,1.0,1163.0
3.0,4.0,17.5,3.0,4.0,566.0,2.0,4.0,680.5,2.0,3.0,729.5,2.0,3.0,1025.0,2.0,3.0,1793.0
3.0,5.0,21.6,3.0,5.0,719.4,2.0,5.0,791.8,2.0,5.0,374.5,2.0,4.0,631.5,2.0,4.0,1654.0
3.0,6.0,40.4,3.0,6.0,764.7,2.0,6.0,775.6,2.0,6.0,516.1,2.0,6.0,771.9,2.0,5.0,1668.0
4.0,2.0,9.9,4.0,1.0,153.6,4.0,1.0,368.7,3.0,1.0,472.6,3.0,1.0,623.5,3.0,1.0,1229.0
4.0,3.0,22.5,4.0,3.0,553.3,4.0,2.0,727.9,3.0,2.0,982.7,3.0,2.0,1376.0,3.0,2.0,1973.0
4.0,5.0,10.5,4.0,5.0,310.7,4.0,5.0,481.2,3.0,5.0,797.6,3.0,4.0,1388.0,3.0,4.0,2005.0
4.0,6.0,21.8,4.0,6.0,512.9,4.0,6.0,727.9,3.0,6.0,915.8,3.0,6.0,1346.0,3.0,5.0,2334.0
5.0,2.0,18.4,5.0,1.0,275.0,5.0,1.0,486.7,5.0,1.0,105.7,4.0,1.0,208.7,4.0,1.0,849.3
5.0,3.0,32.6,5.0,3.0,908.2,5.0,2.0,849.3,5.0,2.0,249.6,4.0,2.0,489.9,4.0,2.0,1915.0
5.0,4.0,18.4,5.0,4.0,481.9,5.0,4.0,753.0,5.0,3.0,461.1,4.0,3.0,906.5,4.0,3.0,2117.0
5.0,6.0,30.9,5.0,6.0,717.8,5.0,6.0,924.4,5.0,6.0,150.7,4.0,6.0,313.7,4.0,5.0,882.9
6.0,2.0,86.0,6.0,1.0,564.7,6.0,1.0,619.6,6.0,1.0,250.6,6.0,1.0,385.9,5.0,1.0,774.4
6.0,3.0,106.7,6.0,3.0,1012.0,6.0,2.0,837.8,6.0,2.0,562.8,6.0,2.0,821.6,5.0,2.0,1761.0
6.0,4.0,66.0,6.0,4.0,1048.0,6.0,4.0,1063.0,6.0,3.0,770.1,6.0,3.0,1070.0,5.0,3.0,2179.0
6.0,5.0,67.1,6.0,5.0,1104.0,6.0,5.0,1287.0,6.0,5.0,286.5,6.0,4.0,493.3,5.0,4.0,883.7
