1,白神 優,白神 優.1,2,森高 一真,森高 一真.1,3,篠崎 仁志,篠崎 仁志.1,4,中田 竜太,中田 竜太.1,5,中野 次郎,中野 次郎.1,6,新田 泰章,新田 泰章.1
2.0,3.0,12.3,1.0,3.0,39.6,1.0,2.0,89.3,1.0,2.0,63.3,1.0,2.0,294.0,1.0,2.0,63.9
2.0,4.0,10.5,1.0,4.0,33.5,1.0,4.0,73.4,1.0,3.0,91.3,1.0,3.0,313.9,1.0,3.0,88.2
2.0,5.0,32.2,1.0,5.0,74.2,1.0,5.0,104.5,1.0,5.0,88.6,1.0,4.0,333.1,1.0,4.0,75.0
2.0,6.0,38.6,1.0,6.0,93.5,1.0,6.0,174.6,1.0,6.0,95.0,1.0,6.0,429.3,1.0,5.0,141.2
3.0,2.0,17.0,3.0,1.0,90.4,2.0,1.0,142.5,2.0,1.0,95.5,2.0,1.0,413.4,2.0,1.0,74.0
3.0,4.0,14.6,3.0,4.0,86.7,2.0,4.0,107.3,2.0,3.0,137.1,2.0,3.0,452.9,2.0,3.0,95.1
3.0,5.0,35.6,3.0,5.0,147.3,2.0,5.0,167.7,2.0,5.0,136.7,2.0,4.0,450.0,2.0,4.0,77.8
3.0,6.0,47.5,3.0,6.0,224.5,2.0,6.0,248.9,2.0,6.0,149.5,2.0,6.0,562.3,2.0,5.0,154.9
4.0,2.0,14.3,4.0,1.0,75.1,4.0,1.0,126.7,3.0,1.0,168.6,3.0,1.0,495.4,3.0,1.0,156.3
4.0,3.0,19.2,4.0,3.0,98.0,4.0,2.0,123.2,3.0,2.0,168.4,3.0,2.0,553.7,3.0,2.0,147.5
4.0,5.0,32.0,4.0,5.0,131.8,4.0,5.0,151.7,3.0,5.0,214.7,3.0,4.0,670.8,3.0,4.0,166.3
4.0,6.0,37.1,4.0,6.0,147.7,4.0,6.0,206.2,3.0,6.0,246.0,3.0,6.0,883.3,3.0,5.0,281.5
5.0,2.0,67.1,5.0,1.0,236.7,5.0,1.0,252.3,5.0,1.0,140.6,4.0,1.0,358.9,4.0,1.0,118.2
5.0,3.0,73.9,5.0,3.0,254.3,5.0,2.0,293.8,5.0,2.0,154.3,4.0,2.0,406.1,4.0,2.0,108.8
5.0,4.0,70.7,5.0,4.0,243.8,5.0,4.0,286.1,5.0,3.0,231.2,4.0,3.0,552.8,4.0,3.0,174.0
5.0,6.0,114.4,5.0,6.0,363.0,5.0,6.0,433.9,5.0,6.0,162.2,4.0,6.0,411.9,4.0,5.0,210.4
6.0,2.0,63.2,6.0,1.0,218.5,6.0,1.0,374.8,6.0,1.0,140.9,6.0,1.0,632.8,5.0,1.0,281.7
6.0,3.0,82.0,6.0,3.0,268.6,6.0,2.0,375.0,6.0,2.0,161.7,6.0,2.0,641.0,5.0,2.0,307.5
6.0,4.0,66.4,6.0,4.0,192.2,6.0,4.0,364.6,6.0,3.0,247.2,6.0,3.0,800.5,5.0,3.0,371.6
6.0,5.0,131.1,6.0,5.0,409.0,6.0,5.0,537.8,6.0,5.0,212.6,6.0,4.0,590.6,5.0,4.0,279.4
