1,守田 俊介,守田 俊介.1,2,竹井 貴史,竹井 貴史.1,3,柳沢 一,柳沢 一.1,4,新開 航,新開 航.1,5,毒島 誠,毒島 誠.1,6,山田 祐也,山田 祐也.1
2.0,3.0,17.5,1.0,3.0,67.1,1.0,2.0,72.4,1.0,2.0,67.0,1.0,2.0,106.0,1.0,2.0,1185.0
2.0,4.0,14.6,1.0,4.0,68.4,1.0,4.0,51.0,1.0,3.0,81.9,1.0,3.0,109.7,1.0,3.0,1208.0
2.0,5.0,17.0,1.0,5.0,77.0,1.0,5.0,49.3,1.0,5.0,39.8,1.0,4.0,83.1,1.0,4.0,911.9
2.0,6.0,47.0,1.0,6.0,158.0,1.0,6.0,110.6,1.0,6.0,81.8,1.0,6.0,133.4,1.0,5.0,1050.0
3.0,2.0,19.8,3.0,1.0,169.4,2.0,1.0,188.3,2.0,1.0,167.9,2.0,1.0,308.7,2.0,1.0,1923.0
3.0,4.0,13.5,3.0,4.0,243.5,2.0,4.0,229.1,2.0,3.0,322.4,2.0,3.0,483.3,2.0,3.0,2536.0
3.0,5.0,13.3,3.0,5.0,270.3,2.0,5.0,228.5,2.0,5.0,187.3,2.0,4.0,405.8,2.0,4.0,1862.0
3.0,6.0,40.3,3.0,6.0,551.1,2.0,6.0,424.2,2.0,6.0,315.9,2.0,6.0,435.8,2.0,5.0,1348.0
4.0,2.0,15.9,4.0,1.0,162.9,4.0,1.0,128.6,3.0,1.0,184.3,3.0,1.0,250.2,3.0,1.0,1792.0
4.0,3.0,17.7,4.0,3.0,292.3,4.0,2.0,221.4,3.0,2.0,311.3,3.0,2.0,452.7,3.0,2.0,2880.0
4.0,5.0,12.1,4.0,5.0,239.7,4.0,5.0,129.5,3.0,5.0,165.7,3.0,4.0,319.8,3.0,4.0,2100.0
4.0,6.0,32.9,4.0,6.0,431.8,4.0,6.0,260.6,3.0,6.0,298.9,3.0,6.0,378.5,3.0,5.0,1753.0
5.0,2.0,24.0,5.0,1.0,219.9,5.0,1.0,137.6,5.0,1.0,56.9,4.0,1.0,117.0,4.0,1.0,1012.0
5.0,3.0,24.4,5.0,3.0,370.5,5.0,2.0,247.2,5.0,2.0,114.4,4.0,2.0,258.9,4.0,2.0,1929.0
5.0,4.0,22.1,5.0,4.0,334.0,5.0,4.0,165.3,5.0,3.0,135.0,4.0,3.0,270.0,4.0,3.0,2233.0
5.0,6.0,44.5,5.0,6.0,450.3,5.0,6.0,244.2,5.0,6.0,85.1,4.0,6.0,185.9,4.0,5.0,1088.0
6.0,2.0,138.1,6.0,1.0,613.4,6.0,1.0,532.8,6.0,1.0,214.6,6.0,1.0,358.4,5.0,1.0,1311.0
6.0,3.0,149.0,6.0,3.0,1221.0,6.0,2.0,888.9,6.0,2.0,376.4,6.0,2.0,523.5,5.0,2.0,1301.0
6.0,4.0,122.7,6.0,4.0,1060.0,6.0,4.0,616.1,6.0,3.0,437.6,6.0,3.0,580.4,5.0,3.0,1663.0
6.0,5.0,126.5,6.0,5.0,826.3,6.0,5.0,544.1,6.0,5.0,210.4,6.0,4.0,363.7,5.0,4.0,1069.0
