1,平本 真之,平本 真之.1,2,佐藤 博亮,佐藤 博亮.1,3,新田 泰章,新田 泰章.1,4,宮地 元輝,宮地 元輝.1,5,仲谷 颯仁,仲谷 颯仁.1,6,佐藤 翼,佐藤 翼.1
2.0,3.0,23.8,1.0,3.0,59.9,1.0,2.0,200.0,1.0,2.0,45.2,1.0,2.0,121.6,1.0,2.0,481.9
2.0,4.0,8.5,1.0,4.0,18.6,1.0,4.0,193.0,1.0,3.0,158.1,1.0,3.0,309.1,1.0,3.0,929.3
2.0,5.0,18.1,1.0,5.0,32.0,1.0,5.0,208.6,1.0,5.0,46.0,1.0,4.0,124.1,1.0,4.0,424.2
2.0,6.0,20.3,1.0,6.0,33.6,1.0,6.0,218.0,1.0,6.0,46.0,1.0,6.0,130.3,1.0,5.0,606.1
3.0,2.0,38.4,3.0,1.0,166.2,2.0,1.0,325.8,2.0,1.0,72.8,2.0,1.0,188.7,2.0,1.0,654.6
3.0,4.0,35.6,3.0,4.0,218.7,2.0,4.0,374.0,2.0,3.0,342.2,2.0,3.0,710.2,2.0,3.0,1646.0
3.0,5.0,52.6,3.0,5.0,306.0,2.0,5.0,457.1,2.0,5.0,90.4,2.0,4.0,229.3,2.0,4.0,385.3
3.0,6.0,54.9,3.0,6.0,272.3,2.0,6.0,455.3,2.0,6.0,76.4,2.0,6.0,232.7,2.0,5.0,968.4
4.0,2.0,11.5,4.0,1.0,42.0,4.0,1.0,356.2,3.0,1.0,404.8,3.0,1.0,703.3,3.0,1.0,1633.0
4.0,3.0,37.2,4.0,3.0,159.5,4.0,2.0,492.0,3.0,2.0,560.5,3.0,2.0,1323.0,3.0,2.0,2171.0
4.0,5.0,19.1,4.0,5.0,67.5,4.0,5.0,494.0,3.0,5.0,504.2,3.0,4.0,1197.0,3.0,4.0,1843.0
4.0,6.0,17.5,4.0,6.0,50.8,4.0,6.0,449.7,3.0,6.0,426.6,3.0,6.0,919.5,3.0,5.0,1933.0
5.0,2.0,35.4,5.0,1.0,101.3,5.0,1.0,491.8,5.0,1.0,65.3,4.0,1.0,156.5,4.0,1.0,477.4
5.0,3.0,79.0,5.0,3.0,337.4,5.0,2.0,790.8,5.0,2.0,79.5,4.0,2.0,179.3,4.0,2.0,407.1
5.0,4.0,38.6,5.0,4.0,115.9,5.0,4.0,718.6,5.0,3.0,313.7,4.0,3.0,684.7,4.0,3.0,1562.0
5.0,6.0,48.0,5.0,6.0,136.8,5.0,6.0,602.3,5.0,6.0,61.5,4.0,6.0,142.8,4.0,5.0,534.0
6.0,2.0,65.1,6.0,1.0,154.2,6.0,1.0,826.1,6.0,1.0,98.3,6.0,1.0,322.2,5.0,1.0,798.6
6.0,3.0,131.5,6.0,3.0,448.7,6.0,2.0,1106.0,6.0,2.0,98.7,6.0,2.0,407.1,5.0,2.0,963.1
6.0,4.0,57.4,6.0,4.0,129.9,6.0,4.0,966.1,6.0,3.0,408.5,6.0,3.0,907.9,5.0,3.0,1653.0
6.0,5.0,88.8,6.0,5.0,242.8,6.0,5.0,1018.0,6.0,5.0,98.2,6.0,4.0,294.8,5.0,4.0,567.8
