1,竹井 貴史,竹井 貴史.1,2,市橋 卓士,市橋 卓士.1,3,中野 次郎,中野 次郎.1,4,石丸 海渡,石丸 海渡.1,5,篠崎 元志,篠崎 元志.1,6,佐藤 博亮,佐藤 博亮.1
2.0,3.0,16.2,1.0,3.0,94.8,1.0,2.0,130.6,1.0,2.0,75.0,1.0,2.0,79.8,1.0,2.0,618.5
2.0,4.0,23.2,1.0,4.0,99.7,1.0,4.0,106.0,1.0,3.0,96.9,1.0,3.0,88.6,1.0,3.0,771.9
2.0,5.0,16.3,1.0,5.0,83.9,1.0,5.0,72.1,1.0,5.0,38.8,1.0,4.0,63.4,1.0,4.0,514.1
2.0,6.0,44.0,1.0,6.0,188.3,1.0,6.0,170.3,1.0,6.0,58.4,1.0,6.0,57.0,1.0,5.0,329.0
3.0,2.0,23.0,3.0,1.0,220.4,2.0,1.0,221.8,2.0,1.0,134.6,2.0,1.0,206.0,2.0,1.0,1393.0
3.0,4.0,18.0,3.0,4.0,349.9,2.0,4.0,289.3,2.0,3.0,224.5,2.0,3.0,364.3,2.0,3.0,1875.0
3.0,5.0,13.2,3.0,5.0,262.3,2.0,5.0,246.4,2.0,5.0,98.9,2.0,4.0,313.9,2.0,4.0,1751.0
3.0,6.0,38.7,3.0,6.0,477.2,2.0,6.0,371.2,2.0,6.0,162.8,2.0,6.0,279.9,2.0,5.0,1203.0
4.0,2.0,27.9,4.0,1.0,218.1,4.0,1.0,256.1,3.0,1.0,197.0,3.0,1.0,192.4,3.0,1.0,1199.0
4.0,3.0,28.4,4.0,3.0,333.9,4.0,2.0,373.6,3.0,2.0,290.5,3.0,2.0,414.9,3.0,2.0,2074.0
4.0,5.0,18.4,4.0,5.0,228.5,4.0,5.0,206.7,3.0,5.0,140.7,3.0,4.0,347.0,3.0,4.0,2074.0
4.0,6.0,34.0,4.0,6.0,417.3,4.0,6.0,385.9,3.0,6.0,230.1,3.0,6.0,333.9,3.0,5.0,1348.0
5.0,2.0,22.5,5.0,1.0,219.1,5.0,1.0,134.9,5.0,1.0,41.9,4.0,1.0,68.3,4.0,1.0,648.7
5.0,3.0,18.7,5.0,3.0,314.5,5.0,2.0,297.3,5.0,2.0,69.1,4.0,2.0,137.6,4.0,2.0,1492.0
5.0,4.0,23.2,5.0,4.0,323.2,5.0,4.0,227.8,5.0,3.0,106.0,4.0,3.0,205.4,4.0,3.0,1783.0
5.0,6.0,24.5,5.0,6.0,387.5,5.0,6.0,235.1,5.0,6.0,40.4,4.0,6.0,70.0,4.0,5.0,529.0
6.0,2.0,120.3,6.0,1.0,805.9,6.0,1.0,511.4,6.0,1.0,101.6,6.0,1.0,113.2,5.0,1.0,339.0
6.0,3.0,114.3,6.0,3.0,886.5,6.0,2.0,808.1,6.0,2.0,178.9,6.0,2.0,265.9,5.0,2.0,991.7
6.0,4.0,84.8,6.0,4.0,991.7,6.0,4.0,889.2,6.0,3.0,289.9,6.0,3.0,309.5,5.0,3.0,998.5
6.0,5.0,70.2,6.0,5.0,718.8,6.0,5.0,501.8,6.0,5.0,84.9,6.0,4.0,154.5,5.0,4.0,513.2
