1,太田 和美,太田 和美.1,2,中野 次郎,中野 次郎.1,3,瓜生 正義,瓜生 正義.1,4,山口 達也,山口 達也.1,5,白神 優,白神 優.1,6,原田 幸哉,原田 幸哉.1
2.0,3.0,10.6,1.0,3.0,40.7,1.0,2.0,17.9,1.0,2.0,100.1,1.0,2.0,437.5,1.0,2.0,892.9
2.0,4.0,27.1,1.0,4.0,83.6,1.0,4.0,20.8,1.0,3.0,72.7,1.0,3.0,283.4,1.0,3.0,478.0
2.0,5.0,49.7,1.0,5.0,137.2,1.0,5.0,28.8,1.0,5.0,142.8,1.0,4.0,554.5,1.0,4.0,832.7
2.0,6.0,41.5,1.0,6.0,122.0,1.0,6.0,22.3,1.0,6.0,159.0,1.0,6.0,525.4,1.0,5.0,1808.0
3.0,2.0,7.6,3.0,1.0,64.9,2.0,1.0,47.2,2.0,1.0,195.7,2.0,1.0,867.4,2.0,1.0,1236.0
3.0,4.0,9.8,3.0,4.0,148.1,2.0,4.0,90.4,2.0,3.0,192.0,2.0,3.0,672.5,2.0,3.0,1075.0
3.0,5.0,18.7,3.0,5.0,206.7,2.0,5.0,109.0,2.0,5.0,327.4,2.0,4.0,1252.0,2.0,4.0,1783.0
3.0,6.0,14.0,3.0,6.0,167.7,2.0,6.0,81.5,2.0,6.0,349.1,2.0,6.0,1179.0,2.0,5.0,3225.0
4.0,2.0,34.9,4.0,1.0,220.3,4.0,1.0,44.3,3.0,1.0,92.9,3.0,1.0,398.5,3.0,1.0,552.9
4.0,3.0,25.6,4.0,3.0,243.3,4.0,2.0,74.6,3.0,2.0,132.7,3.0,2.0,635.2,3.0,2.0,974.3
4.0,5.0,75.6,4.0,5.0,489.6,4.0,5.0,72.3,3.0,5.0,143.2,3.0,4.0,710.0,3.0,4.0,935.1
4.0,6.0,63.6,4.0,6.0,469.5,4.0,6.0,55.0,3.0,6.0,157.9,3.0,6.0,644.5,3.0,5.0,1379.0
5.0,2.0,90.6,5.0,1.0,512.1,5.0,1.0,79.9,5.0,1.0,279.1,4.0,1.0,791.8,4.0,1.0,991.5
5.0,3.0,59.2,5.0,3.0,466.4,5.0,2.0,132.1,5.0,2.0,330.5,4.0,2.0,980.4,4.0,2.0,1759.0
5.0,4.0,155.7,5.0,4.0,838.0,5.0,4.0,136.1,5.0,3.0,253.4,4.0,3.0,746.9,4.0,3.0,1167.0
5.0,6.0,151.2,5.0,6.0,734.4,5.0,6.0,100.5,5.0,6.0,315.5,4.0,6.0,914.6,4.0,5.0,2782.0
6.0,2.0,148.5,6.0,1.0,516.8,6.0,1.0,88.8,6.0,1.0,306.2,6.0,1.0,1246.0,5.0,1.0,2634.0
6.0,3.0,79.2,6.0,3.0,489.6,6.0,2.0,146.5,6.0,2.0,487.4,6.0,2.0,1787.0,5.0,2.0,3450.0
6.0,4.0,164.9,6.0,4.0,941.8,6.0,4.0,148.9,6.0,3.0,387.1,6.0,3.0,1111.0,5.0,3.0,1740.0
6.0,5.0,270.7,6.0,5.0,1246.0,6.0,5.0,179.2,6.0,5.0,512.4,6.0,4.0,1913.0,5.0,4.0,2822.0
