1,渡邉 和将,渡邉 和将.1,2,西山 貴浩,西山 貴浩.1,3,岡村 慶太,岡村 慶太.1,4,山田 祐也,山田 祐也.1,5,守田 俊介,守田 俊介.1,6,中野 次郎,中野 次郎.1
2.0,3.0,8.2,1.0,3.0,23.1,1.0,2.0,60.2,1.0,2.0,81.3,1.0,2.0,181.6,1.0,2.0,1399.0
2.0,4.0,8.8,1.0,4.0,21.0,1.0,4.0,71.7,1.0,3.0,120.7,1.0,3.0,310.7,1.0,3.0,2669.0
2.0,5.0,14.0,1.0,5.0,26.2,1.0,5.0,90.6,1.0,5.0,115.9,1.0,4.0,312.2,1.0,4.0,2498.0
2.0,6.0,45.0,1.0,6.0,90.7,1.0,6.0,155.3,1.0,6.0,204.1,1.0,6.0,436.5,1.0,5.0,3016.0
3.0,2.0,11.1,3.0,1.0,64.0,2.0,1.0,102.0,2.0,1.0,112.2,2.0,1.0,249.7,2.0,1.0,1872.0
3.0,4.0,17.6,3.0,4.0,63.3,2.0,4.0,83.9,2.0,3.0,146.7,2.0,3.0,344.5,2.0,3.0,2520.0
3.0,5.0,24.2,3.0,5.0,75.0,2.0,5.0,98.6,2.0,5.0,109.7,2.0,4.0,264.0,2.0,4.0,2165.0
3.0,6.0,52.8,3.0,6.0,205.3,2.0,6.0,196.6,2.0,6.0,240.0,2.0,6.0,508.3,2.0,5.0,1967.0
4.0,2.0,17.5,4.0,1.0,58.2,4.0,1.0,130.1,3.0,1.0,213.7,3.0,1.0,546.1,3.0,1.0,3979.0
4.0,3.0,25.7,4.0,3.0,68.0,4.0,2.0,99.9,3.0,2.0,184.3,3.0,2.0,455.5,3.0,2.0,3231.0
4.0,5.0,37.2,4.0,5.0,56.2,4.0,5.0,129.2,3.0,5.0,290.7,3.0,4.0,713.3,3.0,4.0,4213.0
4.0,6.0,80.1,4.0,6.0,164.6,4.0,6.0,220.8,3.0,6.0,339.4,3.0,6.0,989.1,3.0,5.0,4968.0
5.0,2.0,36.2,5.0,1.0,98.3,5.0,1.0,200.7,5.0,1.0,147.0,4.0,1.0,362.6,4.0,1.0,3048.0
5.0,3.0,63.2,5.0,3.0,126.8,5.0,2.0,156.8,5.0,2.0,121.5,4.0,2.0,256.8,4.0,2.0,2250.0
5.0,4.0,76.5,5.0,4.0,107.4,5.0,4.0,194.7,5.0,3.0,279.0,4.0,3.0,584.3,4.0,3.0,4132.0
5.0,6.0,143.6,5.0,6.0,255.6,5.0,6.0,360.2,5.0,6.0,203.6,4.0,6.0,447.9,4.0,5.0,2414.0
6.0,2.0,203.5,6.0,1.0,505.9,6.0,1.0,756.6,6.0,1.0,555.2,6.0,1.0,1179.0,5.0,1.0,3596.0
6.0,3.0,292.4,6.0,3.0,708.0,6.0,2.0,695.4,6.0,2.0,473.3,6.0,2.0,915.4,5.0,2.0,2274.0
6.0,4.0,349.1,6.0,4.0,582.3,6.0,4.0,877.1,6.0,3.0,715.7,6.0,3.0,1754.0,5.0,3.0,4968.0
6.0,5.0,416.0,6.0,5.0,671.0,6.0,5.0,1006.0,6.0,5.0,494.8,6.0,4.0,977.9,5.0,4.0,2772.0
