1,中野 次郎,中野 次郎.1,2,太田 和美,太田 和美.1,3,原田 幸哉,原田 幸哉.1,4,佐藤 博亮,佐藤 博亮.1,5,森高 一真,森高 一真.1,6,古賀 繁輝,古賀 繁輝.1
2.0,3.0,13.7,1.0,3.0,83.2,1.0,2.0,116.1,1.0,2.0,40.1,1.0,2.0,153.2,1.0,2.0,416.8
2.0,4.0,10.8,1.0,4.0,57.7,1.0,4.0,73.9,1.0,3.0,67.4,1.0,3.0,239.9,1.0,3.0,566.2
2.0,5.0,25.9,1.0,5.0,91.2,1.0,5.0,90.2,1.0,5.0,30.8,1.0,4.0,130.7,1.0,4.0,336.4
2.0,6.0,36.6,1.0,6.0,121.5,1.0,6.0,123.3,1.0,6.0,34.5,1.0,6.0,164.5,1.0,5.0,511.5
3.0,2.0,21.0,3.0,1.0,223.7,2.0,1.0,245.9,2.0,1.0,82.6,2.0,1.0,328.8,2.0,1.0,699.7
3.0,4.0,15.9,3.0,4.0,370.4,2.0,4.0,345.9,2.0,3.0,201.9,2.0,3.0,640.1,2.0,3.0,1316.0
3.0,5.0,29.7,3.0,5.0,468.8,2.0,5.0,447.6,2.0,5.0,107.1,2.0,4.0,386.7,2.0,4.0,743.2
3.0,6.0,47.8,3.0,6.0,569.0,2.0,6.0,537.5,2.0,6.0,116.1,2.0,6.0,394.6,2.0,5.0,1133.0
4.0,2.0,12.0,4.0,1.0,122.0,4.0,1.0,169.9,3.0,1.0,151.4,3.0,1.0,602.9,3.0,1.0,933.9
4.0,3.0,16.7,4.0,3.0,318.9,4.0,2.0,326.8,3.0,2.0,291.2,3.0,2.0,995.8,3.0,2.0,1676.0
4.0,5.0,17.0,4.0,5.0,237.6,4.0,5.0,245.5,3.0,5.0,201.3,3.0,4.0,850.4,3.0,4.0,1150.0
4.0,6.0,22.1,4.0,6.0,272.5,4.0,6.0,282.9,3.0,6.0,218.0,3.0,6.0,863.0,3.0,5.0,1719.0
5.0,2.0,46.0,5.0,1.0,322.0,5.0,1.0,294.9,5.0,1.0,34.6,4.0,1.0,119.7,4.0,1.0,348.3
5.0,3.0,56.3,5.0,3.0,639.2,5.0,2.0,618.0,5.0,2.0,58.6,4.0,2.0,186.4,4.0,2.0,523.0
5.0,4.0,38.8,5.0,4.0,433.1,5.0,4.0,448.9,5.0,3.0,113.3,4.0,3.0,328.8,4.0,3.0,737.4
5.0,6.0,61.7,5.0,6.0,520.1,5.0,6.0,578.2,5.0,6.0,36.4,4.0,6.0,123.2,4.0,5.0,425.6
6.0,2.0,102.5,6.0,1.0,477.9,6.0,1.0,490.0,6.0,1.0,56.0,6.0,1.0,326.5,5.0,1.0,826.3
6.0,3.0,127.7,6.0,3.0,981.1,6.0,2.0,981.1,6.0,2.0,92.9,6.0,2.0,435.9,5.0,2.0,1044.0
6.0,4.0,75.5,6.0,4.0,591.4,6.0,4.0,679.3,6.0,3.0,158.4,6.0,3.0,655.4,5.0,3.0,1391.0
6.0,5.0,116.2,6.0,5.0,711.5,6.0,5.0,764.0,6.0,5.0,61.6,6.0,4.0,274.1,5.0,4.0,572.5
