1,西山 貴浩,西山 貴浩.1,2,山崎 郡,山崎 郡.1,3,岡村 慶太,岡村 慶太.1,4,岡村 仁,岡村 仁.1,5,宮之原　輝紀,宮之原　輝紀.1,6,佐藤　隆太郎,佐藤　隆太郎.1
2.0,3.0,8.0,1.0,3.0,47.1,1.0,2.0,103.6,1.0,2.0,239.1,1.0,2.0,126.8,1.0,2.0,239.4
2.0,4.0,13.2,1.0,4.0,60.1,1.0,4.0,116.3,1.0,3.0,270.6,1.0,3.0,148.7,1.0,3.0,282.5
2.0,5.0,12.6,1.0,5.0,52.4,1.0,5.0,108.2,1.0,5.0,285.8,1.0,4.0,231.7,1.0,4.0,365.6
2.0,6.0,19.0,1.0,6.0,67.9,1.0,6.0,123.3,1.0,6.0,267.9,1.0,6.0,157.2,1.0,5.0,371.2
3.0,2.0,9.5,3.0,1.0,132.0,2.0,1.0,203.7,2.0,1.0,417.2,2.0,1.0,263.2,2.0,1.0,383.3
3.0,4.0,12.3,3.0,4.0,306.9,2.0,4.0,419.8,2.0,3.0,827.8,2.0,3.0,624.7,2.0,3.0,678.0
3.0,5.0,12.9,3.0,5.0,277.1,2.0,5.0,359.7,2.0,5.0,873.2,2.0,4.0,895.9,2.0,4.0,876.0
3.0,6.0,18.1,3.0,6.0,311.2,2.0,6.0,421.3,2.0,6.0,766.9,2.0,6.0,601.3,2.0,5.0,949.4
4.0,2.0,21.8,4.0,1.0,210.6,4.0,1.0,306.9,3.0,1.0,503.8,3.0,1.0,447.4,3.0,1.0,543.8
4.0,3.0,23.8,4.0,3.0,408.9,4.0,2.0,522.9,3.0,2.0,889.5,3.0,2.0,806.9,3.0,2.0,915.3
4.0,5.0,30.4,4.0,5.0,456.0,4.0,5.0,506.3,3.0,5.0,968.7,3.0,4.0,1079.0,3.0,4.0,1149.0
4.0,6.0,27.2,4.0,6.0,405.5,4.0,6.0,494.9,3.0,6.0,891.3,3.0,6.0,864.8,3.0,5.0,1480.0
5.0,2.0,22.1,5.0,1.0,162.6,5.0,1.0,263.7,5.0,1.0,498.1,4.0,1.0,637.7,4.0,1.0,700.5
5.0,3.0,24.0,5.0,3.0,357.7,5.0,2.0,436.8,5.0,2.0,851.0,4.0,2.0,1098.0,4.0,2.0,1163.0
5.0,4.0,42.9,5.0,4.0,479.8,5.0,4.0,547.1,5.0,3.0,989.7,4.0,3.0,1159.0,4.0,3.0,1394.0
5.0,6.0,33.6,5.0,6.0,408.3,5.0,6.0,502.8,5.0,6.0,638.2,4.0,6.0,799.1,4.0,5.0,1418.0
6.0,2.0,44.8,6.0,1.0,291.9,6.0,1.0,394.6,6.0,1.0,562.9,6.0,1.0,518.0,5.0,1.0,728.0
6.0,3.0,48.7,6.0,3.0,545.1,6.0,2.0,703.1,6.0,2.0,940.7,6.0,2.0,853.9,5.0,2.0,1253.0
6.0,4.0,62.2,6.0,4.0,601.3,6.0,4.0,814.2,6.0,3.0,1113.0,6.0,3.0,1086.0,5.0,3.0,1514.0
6.0,5.0,63.6,6.0,5.0,628.1,6.0,5.0,838.9,6.0,5.0,949.4,6.0,4.0,1039.0,5.0,4.0,1380.0
