1,白神 優,白神 優.1,2,仲谷 颯仁,仲谷 颯仁.1,3,山口 達也,山口 達也.1,4,古賀 繁輝,古賀 繁輝.1,5,太田 和美,太田 和美.1,6,今井 貴士,今井 貴士.1
2.0,3.0,6.6,1.0,3.0,22.3,1.0,2.0,49.6,1.0,2.0,154.5,1.0,2.0,217.6,1.0,2.0,296.6
2.0,4.0,10.2,1.0,4.0,36.2,1.0,4.0,90.2,1.0,3.0,265.9,1.0,3.0,228.8,1.0,3.0,468.1
2.0,5.0,12.2,1.0,5.0,34.1,1.0,5.0,79.5,1.0,5.0,251.8,1.0,4.0,398.4,1.0,4.0,565.1
2.0,6.0,16.6,1.0,6.0,39.7,1.0,6.0,103.2,1.0,6.0,230.0,1.0,6.0,336.6,1.0,5.0,679.3
3.0,2.0,10.6,3.0,1.0,65.4,2.0,1.0,78.4,2.0,1.0,202.0,2.0,1.0,315.4,2.0,1.0,412.7
3.0,4.0,20.0,3.0,4.0,150.8,2.0,4.0,142.5,2.0,3.0,329.1,2.0,3.0,456.6,2.0,3.0,645.0
3.0,5.0,18.1,3.0,5.0,128.3,2.0,5.0,160.1,2.0,5.0,397.0,2.0,4.0,658.3,2.0,4.0,773.4
3.0,6.0,26.8,3.0,6.0,156.8,2.0,6.0,170.1,2.0,6.0,340.9,2.0,6.0,581.3,2.0,5.0,848.2
4.0,2.0,30.3,4.0,1.0,119.3,4.0,1.0,212.0,3.0,1.0,501.7,3.0,1.0,471.5,3.0,1.0,827.8
4.0,3.0,40.5,4.0,3.0,220.4,4.0,2.0,220.6,3.0,2.0,503.4,3.0,2.0,712.9,3.0,2.0,830.9
4.0,5.0,54.6,4.0,5.0,238.4,4.0,5.0,252.9,3.0,5.0,805.4,3.0,4.0,997.8,3.0,4.0,1224.0
4.0,6.0,59.5,4.0,6.0,242.8,4.0,6.0,270.9,3.0,6.0,765.4,3.0,6.0,829.3,3.0,5.0,1179.0
5.0,2.0,32.0,5.0,1.0,123.4,5.0,1.0,223.9,5.0,1.0,376.6,4.0,1.0,670.2,4.0,1.0,853.1
5.0,3.0,41.8,5.0,3.0,202.0,5.0,2.0,241.9,5.0,2.0,482.7,4.0,2.0,726.8,4.0,2.0,854.7
5.0,4.0,75.6,5.0,4.0,295.4,5.0,4.0,332.3,5.0,3.0,758.9,4.0,3.0,1002.0,4.0,3.0,1322.0
5.0,6.0,58.2,5.0,6.0,245.7,5.0,6.0,297.6,5.0,6.0,364.3,4.0,6.0,663.2,4.0,5.0,1170.0
6.0,2.0,46.7,6.0,1.0,163.8,6.0,1.0,285.6,6.0,1.0,399.8,6.0,1.0,549.8,5.0,1.0,986.8
6.0,3.0,71.8,6.0,3.0,320.2,6.0,2.0,265.9,6.0,2.0,461.8,6.0,2.0,695.2,5.0,2.0,1059.0
6.0,4.0,92.2,6.0,4.0,358.7,6.0,4.0,367.9,6.0,3.0,957.2,6.0,3.0,908.6,5.0,3.0,1218.0
6.0,5.0,82.5,6.0,5.0,340.4,6.0,5.0,401.6,6.0,5.0,547.8,6.0,4.0,780.1,5.0,4.0,1149.0
