1,毒島 誠,毒島 誠.1,2,山崎 郡,山崎 郡.1,3,下河 誉史,下河 誉史.1,4,宮地 元輝,宮地 元輝.1,5,新開 航,新開 航.1,6,古澤 光紀,古澤 光紀.1
2.0,3.0,20.8,1.0,3.0,100.5,1.0,2.0,465.8,1.0,2.0,46.2,1.0,2.0,77.1,1.0,2.0,1387.0
2.0,4.0,5.8,1.0,4.0,27.2,1.0,4.0,527.5,1.0,3.0,230.2,1.0,3.0,311.5,1.0,3.0,2599.0
2.0,5.0,9.0,1.0,5.0,35.3,1.0,5.0,562.0,1.0,5.0,45.3,1.0,4.0,83.2,1.0,4.0,1641.0
2.0,6.0,32.7,1.0,6.0,100.7,1.0,6.0,970.2,1.0,6.0,100.8,1.0,6.0,132.5,1.0,5.0,1816.0
3.0,2.0,45.4,3.0,1.0,272.5,2.0,1.0,583.1,2.0,1.0,82.9,2.0,1.0,134.4,2.0,1.0,1843.0
3.0,4.0,51.4,3.0,4.0,301.6,2.0,4.0,617.6,2.0,3.0,414.3,2.0,3.0,673.6,2.0,3.0,3808.0
3.0,5.0,64.3,3.0,5.0,344.5,2.0,5.0,780.9,2.0,5.0,92.9,2.0,4.0,172.1,2.0,4.0,2748.0
3.0,6.0,126.2,3.0,6.0,633.3,2.0,6.0,1069.0,2.0,6.0,226.3,2.0,6.0,276.1,2.0,5.0,3036.0
4.0,2.0,7.8,4.0,1.0,58.5,4.0,1.0,821.5,3.0,1.0,689.7,3.0,1.0,903.6,3.0,1.0,3929.0
4.0,3.0,39.5,4.0,3.0,200.4,4.0,2.0,869.2,3.0,2.0,928.7,3.0,2.0,1440.0,3.0,2.0,4824.0
4.0,5.0,10.1,4.0,5.0,76.4,4.0,5.0,1078.0,3.0,5.0,982.3,3.0,4.0,1545.0,3.0,4.0,5231.0
4.0,6.0,28.7,4.0,6.0,177.0,4.0,6.0,1489.0,3.0,6.0,1374.0,3.0,6.0,1682.0,3.0,5.0,4594.0
5.0,2.0,15.2,5.0,1.0,87.8,5.0,1.0,878.9,5.0,1.0,62.0,4.0,1.0,107.8,4.0,1.0,1761.0
5.0,3.0,61.4,5.0,3.0,286.2,5.0,2.0,1207.0,5.0,2.0,76.2,4.0,2.0,136.2,4.0,2.0,2198.0
5.0,4.0,17.5,5.0,4.0,104.7,5.0,4.0,1444.0,5.0,3.0,389.7,4.0,3.0,606.8,4.0,3.0,4298.0
5.0,6.0,41.6,5.0,6.0,212.9,5.0,6.0,1719.0,5.0,6.0,106.0,4.0,6.0,172.8,4.0,5.0,1393.0
6.0,2.0,130.9,6.0,1.0,441.4,6.0,1.0,2092.0,6.0,1.0,272.9,6.0,1.0,432.2,5.0,1.0,1611.0
6.0,3.0,283.6,6.0,3.0,960.5,6.0,2.0,2176.0,6.0,2.0,400.3,6.0,2.0,605.5,5.0,2.0,2502.0
6.0,4.0,128.7,6.0,4.0,554.5,6.0,4.0,2524.0,6.0,3.0,1186.0,6.0,3.0,1374.0,5.0,3.0,4057.0
6.0,5.0,154.3,6.0,5.0,589.1,6.0,5.0,2730.0,6.0,5.0,239.6,6.0,4.0,472.7,5.0,4.0,1382.0
