1,永井 彪也,永井 彪也.1,2,平本 真之,平本 真之.1,3,新田 泰章,新田 泰章.1,4,重成 一人,重成 一人.1,5,中田 竜太,中田 竜太.1,6,羽野 直也,羽野 直也.1
2.0,3.0,11.8,1.0,3.0,51.0,1.0,2.0,155.0,1.0,2.0,123.9,1.0,2.0,113.4,1.0,2.0,374.7
2.0,4.0,8.8,1.0,4.0,33.4,1.0,4.0,158.1,1.0,3.0,266.3,1.0,3.0,251.4,1.0,3.0,805.2
2.0,5.0,10.5,1.0,5.0,36.8,1.0,5.0,174.0,1.0,5.0,119.1,1.0,4.0,164.5,1.0,4.0,566.3
2.0,6.0,13.4,1.0,6.0,41.0,1.0,6.0,192.8,1.0,6.0,132.5,1.0,6.0,125.9,1.0,5.0,523.5
3.0,2.0,19.3,3.0,1.0,153.0,2.0,1.0,268.3,2.0,1.0,206.0,2.0,1.0,176.4,2.0,1.0,534.8
3.0,4.0,24.9,3.0,4.0,201.5,2.0,4.0,269.3,2.0,3.0,635.1,2.0,3.0,621.5,2.0,3.0,1180.0
3.0,5.0,27.9,3.0,5.0,207.2,2.0,5.0,278.9,2.0,5.0,323.6,2.0,4.0,429.7,2.0,4.0,789.3
3.0,6.0,32.3,3.0,6.0,289.8,2.0,6.0,395.9,2.0,6.0,348.5,2.0,6.0,284.4,2.0,5.0,684.8
4.0,2.0,15.2,4.0,1.0,96.4,4.0,1.0,308.5,3.0,1.0,486.2,3.0,1.0,552.0,3.0,1.0,1340.0
4.0,3.0,32.1,4.0,3.0,228.6,4.0,2.0,467.3,3.0,2.0,876.3,3.0,2.0,936.9,3.0,2.0,1936.0
4.0,5.0,20.3,4.0,5.0,140.2,4.0,5.0,420.9,3.0,5.0,674.3,3.0,4.0,1087.0,3.0,4.0,1916.0
4.0,6.0,21.5,4.0,6.0,168.3,4.0,6.0,394.3,3.0,6.0,790.0,3.0,6.0,799.1,3.0,5.0,2069.0
5.0,2.0,20.6,5.0,1.0,103.8,5.0,1.0,366.2,5.0,1.0,200.4,4.0,1.0,260.2,4.0,1.0,823.8
5.0,3.0,43.0,5.0,3.0,317.9,5.0,2.0,540.2,5.0,2.0,312.6,4.0,2.0,463.5,4.0,2.0,1023.0
5.0,4.0,32.1,5.0,4.0,232.9,5.0,4.0,531.9,5.0,3.0,635.5,4.0,3.0,1001.0,4.0,3.0,2051.0
5.0,6.0,27.2,5.0,6.0,154.1,5.0,6.0,487.2,5.0,6.0,216.4,4.0,6.0,320.7,4.0,5.0,1099.0
6.0,2.0,41.7,6.0,1.0,165.4,6.0,1.0,617.2,6.0,1.0,297.3,6.0,1.0,240.9,5.0,1.0,641.0
6.0,3.0,97.9,6.0,3.0,502.2,6.0,2.0,792.6,6.0,2.0,427.8,6.0,2.0,358.2,5.0,2.0,734.5
6.0,4.0,61.6,6.0,4.0,301.3,6.0,4.0,741.8,6.0,3.0,997.1,6.0,3.0,726.2,5.0,3.0,1398.0
6.0,5.0,56.8,6.0,5.0,252.2,6.0,5.0,828.0,6.0,5.0,326.8,6.0,4.0,395.8,5.0,4.0,889.3
