1,柴田 朋哉,柴田 朋哉.1,2,角浜 修,角浜 修.1,3,板倉 敦史,板倉 敦史.1,4,松尾 基成,松尾 基成.1,5,谷口 健一,谷口 健一.1,6,鈴木 智啓,鈴木 智啓.1
2.0,3.0,10.8,1.0,3.0,40.3,1.0,2.0,64.5,1.0,2.0,104.2,1.0,2.0,307.8,1.0,2.0,234.3
2.0,4.0,19.2,1.0,4.0,83.0,1.0,4.0,54.7,1.0,3.0,86.6,1.0,3.0,282.6,1.0,3.0,105.8
2.0,5.0,55.9,1.0,5.0,154.5,1.0,5.0,97.2,1.0,5.0,126.5,1.0,4.0,276.2,1.0,4.0,223.5
2.0,6.0,24.5,1.0,6.0,55.7,1.0,6.0,47.0,1.0,6.0,83.6,1.0,6.0,333.2,1.0,5.0,448.4
3.0,2.0,11.0,3.0,1.0,67.3,2.0,1.0,86.8,2.0,1.0,192.1,2.0,1.0,590.6,2.0,1.0,301.4
3.0,4.0,9.5,3.0,4.0,170.9,2.0,4.0,162.1,2.0,3.0,296.5,2.0,3.0,595.4,2.0,3.0,331.7
3.0,5.0,26.4,3.0,5.0,310.4,2.0,5.0,220.8,2.0,5.0,357.8,2.0,4.0,825.5,2.0,4.0,678.9
3.0,6.0,11.8,3.0,6.0,86.7,2.0,6.0,125.2,2.0,6.0,232.8,2.0,6.0,943.4,2.0,5.0,1231.0
4.0,2.0,23.5,4.0,1.0,197.9,4.0,1.0,95.9,3.0,1.0,142.1,3.0,1.0,534.1,3.0,1.0,131.1
4.0,3.0,17.2,4.0,3.0,277.2,4.0,2.0,183.4,3.0,2.0,366.8,3.0,2.0,864.8,3.0,2.0,437.6
4.0,5.0,41.4,4.0,5.0,481.0,4.0,5.0,221.4,3.0,5.0,432.4,3.0,4.0,807.1,3.0,4.0,311.7
4.0,6.0,25.0,4.0,6.0,328.7,4.0,6.0,149.1,3.0,6.0,242.9,3.0,6.0,1008.0,3.0,5.0,733.7
5.0,2.0,86.7,5.0,1.0,378.3,5.0,1.0,204.0,5.0,1.0,165.1,4.0,1.0,327.2,4.0,1.0,278.3
5.0,3.0,67.3,5.0,3.0,563.1,5.0,2.0,347.5,5.0,2.0,274.1,4.0,2.0,563.1,4.0,2.0,834.9
5.0,4.0,86.3,5.0,4.0,590.6,5.0,4.0,403.5,5.0,3.0,325.7,4.0,3.0,854.6,4.0,3.0,401.3
5.0,6.0,83.0,5.0,6.0,648.6,5.0,6.0,370.6,5.0,6.0,197.4,4.0,6.0,445.6,4.0,5.0,698.5
6.0,2.0,55.1,6.0,1.0,130.4,6.0,1.0,75.8,6.0,1.0,132.0,6.0,1.0,410.4,5.0,1.0,648.6
6.0,3.0,22.0,6.0,3.0,141.8,6.0,2.0,247.9,6.0,2.0,247.9,6.0,2.0,726.4,5.0,2.0,1084.0
6.0,4.0,49.5,6.0,4.0,324.3,6.0,4.0,189.1,6.0,3.0,227.7,6.0,3.0,844.7,5.0,3.0,875.2
6.0,5.0,97.7,6.0,5.0,705.2,6.0,5.0,442.9,6.0,5.0,294.1,6.0,4.0,504.4,5.0,4.0,726.4
