1,柘植 政浩,柘植 政浩.1,2,永嶋 裕一,永嶋 裕一.1,3,杉山 喜一,杉山 喜一.1,4,今垣　光太郎,今垣　光太郎.1,5,松尾 基成,松尾 基成.1,6,金子 萌,金子 萌.1
2.0,3.0,23.6,1.0,3.0,172.6,1.0,2.0,328.6,1.0,2.0,23.6,1.0,2.0,359.9,1.0,2.0,347.4
2.0,4.0,14.2,1.0,4.0,85.1,1.0,4.0,183.8,1.0,3.0,41.8,1.0,3.0,517.1,1.0,3.0,535.0
2.0,5.0,75.1,1.0,5.0,478.5,1.0,5.0,506.3,1.0,5.0,22.1,1.0,4.0,158.1,1.0,4.0,118.2
2.0,6.0,33.1,1.0,6.0,195.9,1.0,6.0,423.1,1.0,6.0,12.4,1.0,6.0,184.8,1.0,5.0,288.9
3.0,2.0,32.4,3.0,1.0,484.7,2.0,1.0,637.4,2.0,1.0,55.4,2.0,1.0,777.5,2.0,1.0,682.2
3.0,4.0,23.5,3.0,4.0,570.0,2.0,4.0,642.2,2.0,3.0,157.7,2.0,3.0,1042.0,2.0,3.0,1510.0
3.0,5.0,80.2,3.0,5.0,1602.0,2.0,5.0,1386.0,2.0,5.0,143.3,2.0,4.0,743.4,2.0,4.0,629.2
3.0,6.0,50.7,3.0,6.0,987.7,2.0,6.0,1147.0,2.0,6.0,74.4,2.0,6.0,853.7,2.0,5.0,1306.0
4.0,2.0,10.4,4.0,1.0,153.1,4.0,1.0,279.1,3.0,1.0,127.9,3.0,1.0,1055.0,3.0,1.0,1163.0
4.0,3.0,15.6,4.0,3.0,388.3,4.0,2.0,480.5,3.0,2.0,208.7,3.0,2.0,1682.0,3.0,2.0,2022.0
4.0,5.0,21.3,4.0,5.0,678.1,4.0,5.0,836.8,3.0,5.0,279.6,3.0,4.0,1415.0,3.0,4.0,1179.0
4.0,6.0,12.2,4.0,6.0,354.6,4.0,6.0,457.3,3.0,6.0,152.2,3.0,6.0,1398.0,3.0,5.0,2136.0
5.0,2.0,110.6,5.0,1.0,918.3,5.0,1.0,1327.0,5.0,1.0,28.6,4.0,1.0,133.0,4.0,1.0,107.9
5.0,3.0,143.1,5.0,3.0,1975.0,5.0,2.0,1998.0,5.0,2.0,79.3,4.0,2.0,285.2,4.0,2.0,287.9
5.0,4.0,65.5,5.0,4.0,1075.0,5.0,4.0,1051.0,5.0,3.0,127.7,4.0,3.0,481.2,4.0,3.0,454.8
5.0,6.0,82.9,5.0,6.0,1231.0,5.0,6.0,1477.0,5.0,6.0,23.9,4.0,6.0,119.4,4.0,5.0,208.1
6.0,2.0,61.4,6.0,1.0,667.5,6.0,1.0,1026.0,6.0,1.0,18.0,6.0,1.0,224.2,5.0,1.0,377.5
6.0,3.0,88.0,6.0,3.0,1364.0,6.0,2.0,1490.0,6.0,2.0,52.7,6.0,2.0,543.6,5.0,2.0,923.3
6.0,4.0,34.8,6.0,4.0,726.0,6.0,4.0,880.2,6.0,3.0,95.5,6.0,3.0,724.4,5.0,3.0,1240.0
6.0,5.0,80.1,6.0,5.0,1610.0,6.0,5.0,1530.0,6.0,5.0,26.7,6.0,4.0,194.2,5.0,4.0,385.6
