1,山田 佑樹,山田 佑樹.1,2,白井 友晴,白井 友晴.1,3,長岡 良也,長岡 良也.1,4,井上 遥妃,井上 遥妃.1,5,山ノ内　雅人,山ノ内　雅人.1,6,花本 夏樹,花本 夏樹.1
2.0,3.0,10.9,1.0,3.0,34.1,1.0,2.0,23.7,1.0,2.0,267.9,1.0,2.0,77.8,1.0,2.0,2121.0
2.0,4.0,35.3,1.0,4.0,87.8,1.0,4.0,38.0,1.0,3.0,187.2,1.0,3.0,58.7,1.0,3.0,1263.0
2.0,5.0,21.1,1.0,5.0,49.9,1.0,5.0,17.2,1.0,5.0,208.5,1.0,4.0,157.5,1.0,4.0,2816.0
2.0,6.0,97.9,1.0,6.0,261.7,1.0,6.0,89.0,1.0,6.0,445.1,1.0,6.0,193.3,1.0,5.0,2150.0
3.0,2.0,9.2,3.0,1.0,47.3,2.0,1.0,39.1,2.0,1.0,435.9,2.0,1.0,131.8,2.0,1.0,2486.0
3.0,4.0,20.0,3.0,4.0,137.4,2.0,4.0,91.0,2.0,3.0,410.6,2.0,3.0,97.8,2.0,3.0,1798.0
3.0,5.0,9.4,3.0,5.0,51.6,2.0,5.0,38.1,2.0,5.0,407.5,2.0,4.0,250.8,2.0,4.0,3789.0
3.0,6.0,55.3,3.0,6.0,288.8,2.0,6.0,156.6,2.0,6.0,675.7,2.0,6.0,243.8,2.0,5.0,1818.0
4.0,2.0,68.9,4.0,1.0,265.2,4.0,1.0,84.2,3.0,1.0,207.4,3.0,1.0,74.5,3.0,1.0,1196.0
4.0,3.0,57.5,4.0,3.0,282.4,4.0,2.0,117.7,3.0,2.0,286.4,3.0,2.0,80.7,3.0,2.0,1433.0
4.0,5.0,77.5,4.0,5.0,329.1,4.0,5.0,75.8,3.0,5.0,187.3,3.0,4.0,156.7,3.0,4.0,2136.0
4.0,6.0,182.8,4.0,6.0,657.6,4.0,6.0,212.8,3.0,6.0,427.7,3.0,6.0,157.6,3.0,5.0,774.4
5.0,2.0,25.8,5.0,1.0,119.3,5.0,1.0,31.7,5.0,1.0,203.6,4.0,1.0,256.6,4.0,1.0,3385.0
5.0,3.0,20.3,5.0,3.0,84.1,5.0,2.0,38.8,5.0,2.0,267.9,4.0,2.0,320.2,4.0,2.0,4243.0
5.0,4.0,68.2,5.0,4.0,260.8,5.0,4.0,64.5,5.0,3.0,205.2,4.0,3.0,248.4,4.0,3.0,4028.0
5.0,6.0,111.5,5.0,6.0,365.4,5.0,6.0,92.5,5.0,6.0,273.2,4.0,6.0,354.8,4.0,5.0,2791.0
6.0,2.0,376.2,6.0,1.0,911.9,6.0,1.0,380.2,6.0,1.0,938.8,6.0,1.0,386.7,5.0,1.0,1829.0
6.0,3.0,272.9,6.0,3.0,862.5,6.0,2.0,423.8,6.0,2.0,1040.0,6.0,2.0,362.9,5.0,2.0,1473.0
6.0,4.0,528.7,6.0,4.0,1389.0,6.0,4.0,490.4,6.0,3.0,979.3,6.0,3.0,282.4,5.0,3.0,776.2
6.0,5.0,359.2,6.0,5.0,876.8,6.0,5.0,248.6,6.0,5.0,797.6,6.0,4.0,543.1,5.0,4.0,2001.0
