1,松尾 祭,松尾 祭.1,2,長岡 良也,長岡 良也.1,3,佐々木　裕美,佐々木　裕美.1,4,長畑 友輔,長畑 友輔.1,5,田川 大貴,田川 大貴.1,6,野相 弘司,野相 弘司.1
2.0,3.0,9.2,1.0,3.0,19.1,1.0,2.0,94.8,1.0,2.0,116.4,1.0,2.0,50.5,1.0,2.0,1395.0
2.0,4.0,10.6,1.0,4.0,19.3,1.0,4.0,174.3,1.0,3.0,343.7,1.0,3.0,126.9,1.0,3.0,2627.0
2.0,5.0,7.0,1.0,5.0,12.4,1.0,5.0,110.9,1.0,5.0,118.7,1.0,4.0,119.9,1.0,4.0,2476.0
2.0,6.0,44.1,1.0,6.0,67.2,1.0,6.0,376.7,1.0,6.0,283.4,1.0,6.0,131.6,1.0,5.0,1804.0
3.0,2.0,21.0,3.0,1.0,59.9,2.0,1.0,139.1,2.0,1.0,156.8,2.0,1.0,67.4,2.0,1.0,1603.0
3.0,4.0,44.9,3.0,4.0,120.0,2.0,4.0,215.2,2.0,3.0,379.6,2.0,3.0,160.6,2.0,3.0,2891.0
3.0,5.0,30.6,3.0,5.0,70.4,2.0,5.0,149.5,2.0,5.0,140.1,2.0,4.0,132.3,2.0,4.0,2197.0
3.0,6.0,128.0,3.0,6.0,246.5,2.0,6.0,456.1,2.0,6.0,347.5,2.0,6.0,144.0,2.0,5.0,1352.0
4.0,2.0,28.3,4.0,1.0,70.9,4.0,1.0,428.6,3.0,1.0,674.5,3.0,1.0,257.5,3.0,1.0,3685.0
4.0,3.0,70.5,4.0,3.0,157.0,4.0,2.0,347.9,3.0,2.0,641.5,3.0,2.0,254.2,3.0,2.0,3131.0
4.0,5.0,39.7,4.0,5.0,77.8,4.0,5.0,375.6,3.0,5.0,769.8,3.0,4.0,605.5,3.0,4.0,3707.0
4.0,6.0,120.9,4.0,6.0,210.5,4.0,6.0,806.8,3.0,6.0,1302.0,3.0,6.0,631.5,3.0,5.0,3597.0
5.0,2.0,15.8,5.0,1.0,35.8,5.0,1.0,212.9,5.0,1.0,132.4,4.0,1.0,203.6,4.0,1.0,3214.0
5.0,3.0,39.1,5.0,3.0,76.2,5.0,2.0,191.7,5.0,2.0,125.4,4.0,2.0,168.5,4.0,2.0,2333.0
5.0,4.0,40.4,5.0,4.0,75.9,5.0,4.0,387.4,5.0,3.0,414.5,4.0,3.0,482.7,4.0,3.0,4379.0
5.0,6.0,76.1,5.0,6.0,126.4,5.0,6.0,558.0,5.0,6.0,196.2,4.0,6.0,260.7,4.0,5.0,2213.0
6.0,2.0,157.0,6.0,1.0,375.1,6.0,1.0,1463.0,6.0,1.0,732.5,6.0,1.0,308.8,5.0,1.0,1660.0
6.0,3.0,315.5,6.0,3.0,664.1,6.0,2.0,1054.0,6.0,2.0,627.5,6.0,2.0,274.5,5.0,2.0,1162.0
6.0,4.0,249.7,6.0,4.0,492.5,6.0,4.0,1624.0,6.0,3.0,1389.0,6.0,3.0,670.7,5.0,3.0,2785.0
6.0,5.0,206.7,6.0,5.0,332.2,6.0,5.0,1192.0,6.0,5.0,483.0,6.0,4.0,501.1,5.0,4.0,1871.0
