1,伊藤 誠二,伊藤 誠二.1,2,山本 修一,山本 修一.1,3,菊池 峰晴,菊池 峰晴.1,4,石塚 裕介,石塚 裕介.1,5,宗行 治哉,宗行 治哉.1,6,益田 啓司,益田 啓司.1
2.0,3.0,7.2,1.0,3.0,32.4,1.0,2.0,99.7,1.0,2.0,246.1,1.0,2.0,186.5,1.0,2.0,114.6
2.0,4.0,13.3,1.0,4.0,46.3,1.0,4.0,144.7,1.0,3.0,408.6,1.0,3.0,232.7,1.0,3.0,187.4
2.0,5.0,11.2,1.0,5.0,43.5,1.0,5.0,105.5,1.0,5.0,239.4,1.0,4.0,297.2,1.0,4.0,276.1
2.0,6.0,10.7,1.0,6.0,33.3,1.0,6.0,88.5,1.0,6.0,204.3,1.0,6.0,157.4,1.0,5.0,190.3
3.0,2.0,13.2,3.0,1.0,123.4,2.0,1.0,176.5,2.0,1.0,412.9,2.0,1.0,347.9,2.0,1.0,167.2
3.0,4.0,23.1,3.0,4.0,377.0,2.0,4.0,490.4,2.0,3.0,816.7,2.0,3.0,709.6,2.0,3.0,390.1
3.0,5.0,18.0,3.0,5.0,282.1,2.0,5.0,360.6,2.0,5.0,586.0,2.0,4.0,934.7,2.0,4.0,485.2
3.0,6.0,18.1,3.0,6.0,218.1,2.0,6.0,314.0,2.0,6.0,457.6,2.0,6.0,444.3,2.0,5.0,369.1
4.0,2.0,32.8,4.0,1.0,200.8,4.0,1.0,399.0,3.0,1.0,759.4,3.0,1.0,456.9,3.0,1.0,358.0
4.0,3.0,45.3,4.0,3.0,443.3,4.0,2.0,655.7,3.0,2.0,1156.0,3.0,2.0,845.7,3.0,2.0,602.6
4.0,5.0,37.9,4.0,5.0,376.3,4.0,5.0,541.2,3.0,5.0,1086.0,3.0,4.0,1404.0,3.0,4.0,937.6
4.0,6.0,36.4,4.0,6.0,251.0,4.0,6.0,491.2,3.0,6.0,1007.0,3.0,6.0,772.2,3.0,5.0,808.9
5.0,2.0,29.5,5.0,1.0,182.4,5.0,1.0,286.1,5.0,1.0,367.5,4.0,1.0,540.7,4.0,1.0,591.2
5.0,3.0,37.5,5.0,3.0,394.3,5.0,2.0,534.9,5.0,2.0,508.9,4.0,2.0,773.2,4.0,2.0,832.7
5.0,4.0,51.8,5.0,4.0,502.8,5.0,4.0,721.7,5.0,3.0,883.4,4.0,3.0,1225.0,4.0,3.0,1156.0
5.0,6.0,29.2,5.0,6.0,243.8,5.0,6.0,475.1,5.0,6.0,341.4,4.0,6.0,479.4,4.0,5.0,836.2
6.0,2.0,30.3,6.0,1.0,121.5,6.0,1.0,248.6,6.0,1.0,394.3,6.0,1.0,299.3,5.0,1.0,332.2
6.0,3.0,45.7,6.0,3.0,261.0,6.0,2.0,420.7,6.0,2.0,515.0,6.0,2.0,489.2,5.0,2.0,540.7
6.0,4.0,58.1,6.0,4.0,312.8,6.0,4.0,674.3,6.0,3.0,843.3,6.0,3.0,745.2,5.0,3.0,839.7
6.0,5.0,43.3,6.0,5.0,250.7,6.0,5.0,551.8,6.0,5.0,494.5,6.0,4.0,636.1,5.0,4.0,855.4
