1,西澤　日花里,西澤　日花里.1,2,真庭 明志,真庭 明志.1,3,鈴木 峻佑,鈴木 峻佑.1,4,伊藤 誠二,伊藤 誠二.1,5,榎 幸司,榎 幸司.1,6,三嶌　こころ,三嶌　こころ.1
2.0,3.0,38.4,1.0,3.0,41.3,1.0,2.0,93.9,1.0,2.0,44.8,1.0,2.0,168.0,1.0,2.0,2894.0
2.0,4.0,22.9,1.0,4.0,24.8,1.0,4.0,78.5,1.0,3.0,82.0,1.0,3.0,293.3,1.0,3.0,3423.0
2.0,5.0,39.3,1.0,5.0,41.5,1.0,5.0,108.3,1.0,5.0,34.6,1.0,4.0,117.9,1.0,4.0,2696.0
2.0,6.0,335.6,1.0,6.0,396.4,1.0,6.0,727.6,1.0,6.0,279.4,1.0,6.0,643.2,1.0,5.0,3897.0
3.0,2.0,51.3,3.0,1.0,66.9,2.0,1.0,92.2,2.0,1.0,39.9,2.0,1.0,166.3,2.0,1.0,3859.0
3.0,4.0,45.9,3.0,4.0,34.8,2.0,4.0,48.2,2.0,3.0,47.3,2.0,3.0,188.1,2.0,3.0,3611.0
3.0,5.0,66.0,3.0,5.0,47.7,2.0,5.0,59.1,2.0,5.0,15.5,2.0,4.0,67.9,2.0,4.0,2211.0
3.0,6.0,388.6,3.0,6.0,327.7,2.0,6.0,558.4,2.0,6.0,209.8,2.0,6.0,534.8,2.0,5.0,2715.0
4.0,2.0,27.4,4.0,1.0,24.4,4.0,1.0,87.3,3.0,1.0,109.0,3.0,1.0,409.6,3.0,1.0,4374.0
4.0,3.0,44.6,4.0,3.0,26.4,4.0,2.0,59.1,3.0,2.0,76.3,3.0,2.0,275.3,3.0,2.0,3546.0
4.0,5.0,27.2,4.0,5.0,12.9,4.0,5.0,51.9,3.0,5.0,59.2,3.0,4.0,225.8,3.0,4.0,4144.0
4.0,6.0,323.2,4.0,6.0,171.7,4.0,6.0,441.3,3.0,6.0,509.9,3.0,6.0,1128.0,3.0,5.0,4983.0
5.0,2.0,70.1,5.0,1.0,70.3,5.0,1.0,189.7,5.0,1.0,25.7,4.0,1.0,77.4,4.0,1.0,3005.0
5.0,3.0,107.5,5.0,3.0,69.5,5.0,2.0,115.3,5.0,2.0,16.0,4.0,2.0,49.3,4.0,2.0,2556.0
5.0,4.0,56.1,5.0,4.0,29.9,5.0,4.0,96.3,5.0,3.0,39.0,4.0,3.0,119.2,4.0,3.0,3749.0
5.0,6.0,593.7,5.0,6.0,345.0,5.0,6.0,715.7,5.0,6.0,100.9,4.0,6.0,244.6,4.0,5.0,1998.0
6.0,2.0,1096.0,6.0,1.0,1203.0,6.0,1.0,1848.0,6.0,1.0,696.7,6.0,1.0,1431.0,5.0,1.0,4525.0
6.0,3.0,1357.0,6.0,3.0,1426.0,6.0,2.0,1480.0,6.0,2.0,623.9,6.0,2.0,1164.0,5.0,2.0,3423.0
6.0,4.0,874.8,6.0,4.0,909.2,6.0,4.0,1502.0,6.0,3.0,939.5,6.0,3.0,1781.0,5.0,3.0,4921.0
6.0,5.0,1520.0,6.0,5.0,1164.0,6.0,5.0,1626.0,6.0,5.0,439.8,6.0,4.0,921.9,5.0,4.0,2236.0
