1,菊池 峰晴,菊池 峰晴.1,2,佐藤 旭,佐藤 旭.1,3,谷村 啓司,谷村 啓司.1,4,花本 夏樹,花本 夏樹.1,5,長岡 良也,長岡 良也.1,6,片岡 大地,片岡 大地.1
2.0,3.0,21.5,1.0,3.0,48.7,1.0,2.0,228.6,1.0,2.0,135.9,1.0,2.0,21.1,1.0,2.0,679.7
2.0,4.0,15.1,1.0,4.0,37.2,1.0,4.0,306.3,1.0,3.0,324.0,1.0,3.0,69.3,1.0,3.0,1359.0
2.0,5.0,7.5,1.0,5.0,15.7,1.0,5.0,164.6,1.0,5.0,83.2,1.0,4.0,45.2,1.0,4.0,1175.0
2.0,6.0,58.9,1.0,6.0,87.0,1.0,6.0,468.8,1.0,6.0,205.6,1.0,6.0,48.8,1.0,5.0,579.1
3.0,2.0,31.0,3.0,1.0,171.8,2.0,1.0,330.6,2.0,1.0,214.5,2.0,1.0,38.0,2.0,1.0,1115.0
3.0,4.0,49.1,3.0,4.0,327.3,2.0,4.0,568.2,2.0,3.0,620.4,2.0,3.0,133.8,2.0,3.0,2250.0
3.0,5.0,27.9,3.0,5.0,177.9,2.0,5.0,330.9,2.0,5.0,149.0,2.0,4.0,79.9,2.0,4.0,1494.0
3.0,6.0,126.9,3.0,6.0,509.7,2.0,6.0,776.8,2.0,6.0,362.5,2.0,6.0,82.3,2.0,5.0,786.1
4.0,2.0,30.3,4.0,1.0,112.5,4.0,1.0,430.7,3.0,1.0,664.7,3.0,1.0,175.9,3.0,1.0,1919.0
4.0,3.0,72.7,4.0,3.0,306.8,4.0,2.0,721.0,3.0,2.0,895.9,3.0,2.0,270.0,3.0,2.0,2431.0
4.0,5.0,24.2,4.0,5.0,102.6,4.0,5.0,452.6,3.0,5.0,517.8,3.0,4.0,399.0,3.0,4.0,2663.0
4.0,6.0,100.3,4.0,6.0,328.7,4.0,6.0,914.7,3.0,6.0,1016.0,3.0,6.0,304.9,3.0,5.0,1611.0
5.0,2.0,9.3,5.0,1.0,35.0,5.0,1.0,245.3,5.0,1.0,80.0,4.0,1.0,70.4,4.0,1.0,1364.0
5.0,3.0,27.9,5.0,3.0,127.1,5.0,2.0,362.5,5.0,2.0,92.7,4.0,2.0,82.1,4.0,2.0,1500.0
5.0,4.0,19.9,5.0,4.0,75.8,5.0,4.0,406.5,5.0,3.0,278.4,4.0,3.0,246.8,4.0,3.0,2139.0
5.0,6.0,38.1,5.0,6.0,107.3,5.0,6.0,431.1,5.0,6.0,102.5,4.0,6.0,88.6,4.0,5.0,776.8
6.0,2.0,190.3,6.0,1.0,420.9,6.0,1.0,1231.0,6.0,1.0,496.8,6.0,1.0,91.7,5.0,1.0,498.7
6.0,3.0,349.5,6.0,3.0,1014.0,6.0,2.0,1413.0,6.0,2.0,493.0,6.0,2.0,106.5,5.0,2.0,532.6
6.0,4.0,254.0,6.0,4.0,726.3,6.0,4.0,1604.0,6.0,3.0,1179.0,6.0,3.0,234.7,5.0,3.0,1138.0
6.0,5.0,158.4,6.0,5.0,345.8,6.0,5.0,1081.0,6.0,5.0,326.5,6.0,4.0,156.2,5.0,4.0,647.1
