1,西澤　日花里,西澤　日花里.1,2,長畑 友輔,長畑 友輔.1,3,鈴木 峻佑,鈴木 峻佑.1,4,花本 夏樹,花本 夏樹.1,5,真庭 明志,真庭 明志.1,6,森安 弘雅,森安 弘雅.1
2.0,3.0,15.4,1.0,3.0,29.5,1.0,2.0,60.9,1.0,2.0,171.1,1.0,2.0,99.2,1.0,2.0,528.7
2.0,4.0,23.2,1.0,4.0,39.7,1.0,4.0,86.3,1.0,3.0,276.4,1.0,3.0,119.0,1.0,3.0,755.6
2.0,5.0,19.2,1.0,5.0,30.8,1.0,5.0,60.8,1.0,5.0,150.1,1.0,4.0,193.7,1.0,4.0,793.1
2.0,6.0,39.9,1.0,6.0,58.8,1.0,6.0,95.6,1.0,6.0,216.0,1.0,6.0,101.2,1.0,5.0,416.2
3.0,2.0,20.5,3.0,1.0,48.6,2.0,1.0,68.5,2.0,1.0,183.6,2.0,1.0,119.1,2.0,1.0,550.2
3.0,4.0,32.7,3.0,4.0,52.0,2.0,4.0,74.4,2.0,3.0,193.7,2.0,3.0,113.1,2.0,3.0,718.6
3.0,5.0,23.6,3.0,5.0,31.9,2.0,5.0,45.1,2.0,5.0,141.0,2.0,4.0,168.9,2.0,4.0,685.1
3.0,6.0,47.8,3.0,6.0,71.7,2.0,6.0,89.9,2.0,6.0,176.0,2.0,6.0,100.5,2.0,5.0,343.2
4.0,2.0,46.3,4.0,1.0,73.8,4.0,1.0,141.9,3.0,1.0,332.8,3.0,1.0,171.2,3.0,1.0,834.4
4.0,3.0,61.0,4.0,3.0,86.9,4.0,2.0,123.0,3.0,2.0,243.1,3.0,2.0,138.7,3.0,2.0,822.7
4.0,5.0,53.5,4.0,5.0,63.2,4.0,5.0,118.9,3.0,5.0,213.4,3.0,4.0,262.7,3.0,4.0,830.5
4.0,6.0,74.6,4.0,6.0,81.9,4.0,6.0,150.6,3.0,6.0,283.0,3.0,6.0,176.7,3.0,5.0,602.9
5.0,2.0,38.3,5.0,1.0,54.1,5.0,1.0,90.9,5.0,1.0,158.4,4.0,1.0,233.2,4.0,1.0,902.9
5.0,3.0,45.1,5.0,3.0,44.6,5.0,2.0,70.7,5.0,2.0,124.2,4.0,2.0,187.1,4.0,2.0,749.2
5.0,4.0,66.2,5.0,4.0,69.7,5.0,4.0,116.6,5.0,3.0,172.9,4.0,3.0,241.1,4.0,3.0,1060.0
5.0,6.0,61.2,5.0,6.0,59.2,5.0,6.0,112.0,5.0,6.0,110.8,4.0,6.0,142.4,4.0,5.0,477.1
6.0,2.0,123.9,6.0,1.0,157.7,6.0,1.0,249.7,6.0,1.0,309.4,6.0,1.0,129.2,5.0,1.0,326.0
6.0,3.0,151.5,6.0,3.0,176.9,6.0,2.0,213.1,6.0,2.0,240.8,6.0,2.0,129.4,5.0,2.0,275.5
6.0,4.0,182.2,6.0,4.0,169.9,6.0,4.0,290.0,6.0,3.0,348.6,6.0,3.0,166.4,5.0,3.0,457.3
6.0,5.0,128.0,6.0,5.0,113.3,6.0,5.0,227.7,6.0,5.0,185.3,6.0,4.0,188.3,5.0,4.0,377.0
