1,菊池 峰晴,菊池 峰晴.1,2,田川 大貴,田川 大貴.1,3,片岡 大地,片岡 大地.1,4,鈴木 賢一,鈴木 賢一.1,5,佐々木　裕美,佐々木　裕美.1,6,長畑 友輔,長畑 友輔.1
2.0,3.0,6.5,1.0,3.0,15.2,1.0,2.0,90.1,1.0,2.0,63.0,1.0,2.0,162.7,1.0,2.0,642.9
2.0,4.0,7.6,1.0,4.0,15.8,1.0,4.0,155.5,1.0,3.0,130.2,1.0,3.0,362.0,1.0,3.0,1255.0
2.0,5.0,14.0,1.0,5.0,27.5,1.0,5.0,189.6,1.0,5.0,125.2,1.0,4.0,331.1,1.0,4.0,901.5
2.0,6.0,20.9,1.0,6.0,36.5,1.0,6.0,216.0,1.0,6.0,89.0,1.0,6.0,351.3,1.0,5.0,1005.0
3.0,2.0,17.4,3.0,1.0,48.1,2.0,1.0,96.7,2.0,1.0,89.5,2.0,1.0,203.9,2.0,1.0,779.1
3.0,4.0,32.2,3.0,4.0,74.2,2.0,4.0,143.2,2.0,3.0,222.2,2.0,3.0,455.6,2.0,3.0,1631.0
3.0,5.0,41.9,3.0,5.0,102.7,2.0,5.0,188.9,2.0,5.0,185.6,2.0,4.0,509.9,2.0,4.0,1281.0
3.0,6.0,60.9,3.0,6.0,133.8,2.0,6.0,229.8,2.0,6.0,166.2,2.0,6.0,625.6,2.0,5.0,1618.0
4.0,2.0,18.3,4.0,1.0,51.6,4.0,1.0,261.6,3.0,1.0,299.6,3.0,1.0,657.0,3.0,1.0,2206.0
4.0,3.0,37.0,4.0,3.0,97.2,4.0,2.0,253.1,3.0,2.0,365.7,3.0,2.0,732.8,3.0,2.0,2278.0
4.0,5.0,49.0,4.0,5.0,100.8,4.0,5.0,375.9,3.0,5.0,550.1,3.0,4.0,974.8,3.0,4.0,2465.0
4.0,6.0,53.1,4.0,6.0,137.9,4.0,6.0,452.7,3.0,6.0,460.6,3.0,6.0,1378.0,3.0,5.0,2687.0
5.0,2.0,37.8,5.0,1.0,85.8,5.0,1.0,369.6,5.0,1.0,164.8,4.0,1.0,359.2,4.0,1.0,1088.0
5.0,3.0,69.9,5.0,3.0,197.6,5.0,2.0,401.5,5.0,2.0,185.0,4.0,2.0,422.5,4.0,2.0,1378.0
5.0,4.0,79.6,5.0,4.0,153.6,5.0,4.0,529.3,5.0,3.0,408.1,4.0,3.0,705.7,4.0,3.0,2229.0
5.0,6.0,101.8,5.0,6.0,235.6,5.0,6.0,655.0,5.0,6.0,198.4,4.0,6.0,514.9,4.0,5.0,1718.0
6.0,2.0,72.8,6.0,1.0,200.0,6.0,1.0,640.0,6.0,1.0,159.7,6.0,1.0,577.4,5.0,1.0,1322.0
6.0,3.0,146.1,6.0,3.0,374.6,6.0,2.0,706.9,6.0,2.0,202.6,6.0,2.0,843.4,5.0,2.0,2172.0
6.0,4.0,130.0,6.0,4.0,300.0,6.0,4.0,840.0,6.0,3.0,469.4,6.0,3.0,1114.0,5.0,3.0,2653.0
6.0,5.0,178.6,6.0,5.0,447.3,6.0,5.0,942.0,6.0,5.0,253.9,6.0,4.0,946.2,5.0,4.0,1896.0
