1,長尾 章平,長尾 章平.1,2,西村 秀樹,西村 秀樹.1,3,平野 和明,平野 和明.1,4,福嶋 智之,福嶋 智之.1,5,尾崎 雄二,尾崎 雄二.1,6,梶野 学志,梶野 学志.1
2.0,3.0,19.9,1.0,3.0,163.2,1.0,2.0,111.3,1.0,2.0,154.8,1.0,2.0,594.6,1.0,2.0,275.7
2.0,4.0,31.7,1.0,4.0,176.8,1.0,4.0,53.8,1.0,3.0,96.3,1.0,3.0,322.2,1.0,3.0,112.3
2.0,5.0,58.9,1.0,5.0,297.5,1.0,5.0,67.2,1.0,5.0,93.6,1.0,4.0,366.0,1.0,4.0,167.7
2.0,6.0,36.9,1.0,6.0,203.5,1.0,6.0,38.6,1.0,6.0,58.5,1.0,6.0,254.5,1.0,5.0,247.7
3.0,2.0,15.6,3.0,1.0,350.6,2.0,1.0,319.1,2.0,1.0,326.0,2.0,1.0,1084.0,2.0,1.0,712.5
3.0,4.0,7.7,3.0,4.0,536.3,2.0,4.0,550.5,2.0,3.0,605.3,2.0,3.0,1722.0,2.0,3.0,1041.0
3.0,5.0,12.7,3.0,5.0,819.0,2.0,5.0,706.5,2.0,5.0,515.7,2.0,4.0,1358.0,2.0,4.0,809.1
3.0,6.0,6.8,3.0,6.0,552.3,2.0,6.0,401.6,2.0,6.0,327.3,2.0,6.0,979.9,2.0,5.0,1347.0
4.0,2.0,30.8,4.0,1.0,383.2,4.0,1.0,173.1,3.0,1.0,189.2,3.0,1.0,601.0,3.0,1.0,194.4
4.0,3.0,16.0,4.0,3.0,568.3,4.0,2.0,484.3,3.0,2.0,547.8,3.0,2.0,1670.0,3.0,2.0,752.6
4.0,5.0,29.6,4.0,5.0,856.8,4.0,5.0,349.1,3.0,5.0,397.3,3.0,4.0,1044.0,3.0,4.0,416.6
4.0,6.0,16.2,4.0,6.0,464.1,4.0,6.0,183.4,3.0,6.0,180.4,3.0,6.0,619.9,3.0,5.0,530.4
5.0,2.0,96.6,5.0,1.0,954.7,5.0,1.0,234.0,5.0,1.0,134.9,4.0,1.0,402.6,4.0,1.0,248.6
5.0,3.0,41.6,5.0,3.0,1498.0,5.0,2.0,734.4,5.0,2.0,334.1,4.0,2.0,884.0,4.0,2.0,576.1
5.0,4.0,62.6,5.0,4.0,1415.0,5.0,4.0,602.1,5.0,3.0,350.6,4.0,3.0,637.7,4.0,3.0,402.1
5.0,6.0,40.3,5.0,6.0,1369.0,5.0,6.0,316.1,5.0,6.0,117.7,4.0,6.0,343.8,4.0,5.0,486.4
6.0,2.0,48.1,6.0,1.0,634.1,6.0,1.0,108.4,6.0,1.0,82.0,6.0,1.0,439.7,5.0,1.0,500.2
6.0,3.0,15.5,6.0,3.0,985.7,6.0,2.0,338.5,6.0,2.0,232.0,6.0,2.0,1084.0,5.0,2.0,1185.0
6.0,4.0,26.5,6.0,4.0,793.7,6.0,4.0,211.9,6.0,3.0,150.3,6.0,3.0,624.6,5.0,3.0,726.4
6.0,5.0,39.5,6.0,5.0,1472.0,6.0,5.0,253.9,6.0,5.0,118.7,6.0,4.0,523.7,5.0,4.0,734.4
