1,関野 文,関野 文.1,2,池田　奈津美,池田　奈津美.1,3,森岡 まき,森岡 まき.1,4,中尾 彩香,中尾 彩香.1,5,安井 瑞紀,安井 瑞紀.1,6,中北 涼,中北 涼.1
2.0,3.0,6.2,1.0,3.0,41.9,1.0,2.0,51.3,1.0,2.0,153.2,1.0,2.0,114.3,1.0,2.0,832.4
2.0,4.0,11.5,1.0,4.0,67.8,1.0,4.0,68.3,1.0,3.0,187.7,1.0,3.0,125.3,1.0,3.0,956.3
2.0,5.0,9.5,1.0,5.0,59.2,1.0,5.0,58.9,1.0,5.0,159.9,1.0,4.0,175.3,1.0,4.0,1354.0
2.0,6.0,46.9,1.0,6.0,176.6,1.0,6.0,153.3,1.0,6.0,310.0,1.0,6.0,223.4,1.0,5.0,1058.0
3.0,2.0,8.3,3.0,1.0,79.6,2.0,1.0,76.2,2.0,1.0,252.2,2.0,1.0,188.5,2.0,1.0,1194.0
3.0,4.0,14.1,3.0,4.0,186.8,2.0,4.0,161.1,2.0,3.0,441.3,2.0,3.0,314.7,2.0,3.0,1821.0
3.0,5.0,11.4,3.0,5.0,151.8,2.0,5.0,128.9,2.0,5.0,422.8,2.0,4.0,561.8,2.0,4.0,2488.0
3.0,6.0,44.9,3.0,6.0,376.0,2.0,6.0,310.0,2.0,6.0,801.5,2.0,6.0,507.8,2.0,5.0,2274.0
4.0,2.0,24.1,4.0,1.0,170.1,4.0,1.0,138.1,3.0,1.0,282.5,3.0,1.0,205.4,3.0,1.0,1513.0
4.0,3.0,29.6,4.0,3.0,265.2,4.0,2.0,222.3,3.0,2.0,439.7,3.0,2.0,345.9,3.0,2.0,2048.0
4.0,5.0,31.6,4.0,5.0,335.6,4.0,5.0,218.3,3.0,5.0,459.6,3.0,4.0,470.6,3.0,4.0,2329.0
4.0,6.0,76.8,4.0,6.0,602.4,4.0,6.0,436.8,3.0,6.0,823.7,3.0,6.0,603.9,3.0,5.0,2242.0
5.0,2.0,21.7,5.0,1.0,157.9,5.0,1.0,127.0,5.0,1.0,222.0,4.0,1.0,306.2,4.0,1.0,1856.0
5.0,3.0,25.1,5.0,3.0,235.0,5.0,2.0,173.7,5.0,2.0,366.1,4.0,2.0,579.6,4.0,2.0,2731.0
5.0,4.0,40.2,5.0,4.0,428.6,5.0,4.0,271.3,5.0,3.0,498.2,4.0,3.0,625.4,4.0,3.0,3008.0
5.0,6.0,61.7,5.0,6.0,591.1,5.0,6.0,339.9,5.0,6.0,423.2,4.0,6.0,558.5,4.0,5.0,1972.0
6.0,2.0,137.3,6.0,1.0,591.1,6.0,1.0,524.6,6.0,1.0,718.0,6.0,1.0,537.6,5.0,1.0,1218.0
6.0,3.0,153.4,6.0,3.0,1085.0,6.0,2.0,710.4,6.0,2.0,1200.0,6.0,2.0,797.5,5.0,2.0,2084.0
6.0,4.0,178.4,6.0,4.0,1212.0,6.0,4.0,865.7,6.0,3.0,1385.0,6.0,3.0,984.0,5.0,3.0,2112.0
6.0,5.0,165.0,6.0,5.0,933.8,6.0,5.0,689.8,6.0,5.0,853.3,6.0,4.0,864.2,5.0,4.0,1856.0
