1,赤羽 克也,赤羽 克也.1,2,中越 博紀,中越 博紀.1,3,北中 元樹,北中 元樹.1,4,井上 忠政,井上 忠政.1,5,梶野 学志,梶野 学志.1,6,佐藤　謙史朗,佐藤　謙史朗.1
2.0,3.0,27.9,1.0,3.0,97.3,1.0,2.0,207.5,1.0,2.0,22.8,1.0,2.0,199.5,1.0,2.0,864.0
2.0,4.0,8.2,1.0,4.0,41.4,1.0,4.0,118.1,1.0,3.0,66.4,1.0,3.0,275.6,1.0,3.0,1417.0
2.0,5.0,24.7,1.0,5.0,83.9,1.0,5.0,181.0,1.0,5.0,18.9,1.0,4.0,107.5,1.0,4.0,614.7
2.0,6.0,73.6,1.0,6.0,208.8,1.0,6.0,573.1,1.0,6.0,47.9,1.0,6.0,286.5,1.0,5.0,1104.0
3.0,2.0,33.7,3.0,1.0,241.6,2.0,1.0,351.3,2.0,1.0,59.7,2.0,1.0,364.2,2.0,1.0,1228.0
3.0,4.0,19.4,3.0,4.0,274.7,2.0,4.0,356.9,2.0,3.0,218.5,2.0,3.0,950.6,2.0,3.0,2027.0
3.0,5.0,35.6,3.0,5.0,441.4,2.0,5.0,554.3,2.0,5.0,78.5,2.0,4.0,375.3,2.0,4.0,1155.0
3.0,6.0,98.3,3.0,6.0,923.9,2.0,6.0,1126.0,2.0,6.0,147.7,2.0,6.0,808.3,2.0,5.0,1969.0
4.0,2.0,6.7,4.0,1.0,71.7,4.0,1.0,185.2,3.0,1.0,142.6,3.0,1.0,542.8,3.0,1.0,2409.0
4.0,3.0,17.6,4.0,3.0,211.3,4.0,2.0,330.0,3.0,2.0,265.1,3.0,2.0,1021.0,3.0,2.0,3332.0
4.0,5.0,8.6,4.0,5.0,133.2,4.0,5.0,242.9,3.0,5.0,149.5,3.0,4.0,479.6,3.0,4.0,2654.0
4.0,6.0,28.4,4.0,6.0,328.6,4.0,6.0,622.0,3.0,6.0,377.3,3.0,6.0,1273.0,3.0,5.0,3480.0
5.0,2.0,43.2,5.0,1.0,271.8,5.0,1.0,402.8,5.0,1.0,28.0,4.0,1.0,104.7,4.0,1.0,617.1
5.0,3.0,56.3,5.0,3.0,628.3,5.0,2.0,734.4,5.0,2.0,44.4,4.0,2.0,199.6,4.0,2.0,1104.0
5.0,4.0,26.7,5.0,4.0,288.6,5.0,4.0,396.9,5.0,3.0,124.8,4.0,3.0,325.4,4.0,3.0,1639.0
5.0,6.0,100.3,5.0,6.0,883.5,5.0,6.0,1181.0,5.0,6.0,47.2,4.0,6.0,185.3,4.0,5.0,777.2
6.0,2.0,202.4,6.0,1.0,1025.0,6.0,1.0,1886.0,6.0,1.0,131.8,6.0,1.0,768.6,5.0,1.0,1513.0
6.0,3.0,265.1,6.0,3.0,2145.0,6.0,2.0,2546.0,6.0,2.0,211.8,6.0,2.0,1132.0,5.0,2.0,2418.0
6.0,4.0,113.9,6.0,4.0,1083.0,6.0,4.0,1921.0,6.0,3.0,393.7,6.0,3.0,1652.0,5.0,3.0,2654.0
6.0,5.0,218.0,6.0,5.0,1821.0,6.0,5.0,2476.0,6.0,5.0,132.6,6.0,4.0,559.8,5.0,4.0,867.6
