1,坂元 浩仁,坂元 浩仁.1,2,森 竜也,森 竜也.1,3,中越 博紀,中越 博紀.1,4,前沢 丈史,前沢 丈史.1,5,秋元 哲,秋元 哲.1,6,吉永 浩則,吉永 浩則.1
2.0,3.0,22.1,1.0,3.0,150.3,1.0,2.0,89.3,1.0,2.0,110.4,1.0,2.0,138.2,1.0,2.0,2069.0
2.0,4.0,24.3,1.0,4.0,163.7,1.0,4.0,37.2,1.0,3.0,67.2,1.0,3.0,75.2,1.0,3.0,1917.0
2.0,5.0,30.6,1.0,5.0,191.5,1.0,5.0,38.6,1.0,5.0,47.6,1.0,4.0,71.3,1.0,4.0,2154.0
2.0,6.0,110.8,1.0,6.0,545.5,1.0,6.0,204.8,1.0,6.0,154.6,1.0,6.0,220.3,1.0,5.0,2022.0
3.0,2.0,16.4,3.0,1.0,280.0,2.0,1.0,224.7,2.0,1.0,241.6,2.0,1.0,262.8,2.0,1.0,2758.0
3.0,4.0,6.1,3.0,4.0,394.8,2.0,4.0,336.7,2.0,3.0,398.3,2.0,3.0,529.8,2.0,3.0,3310.0
3.0,5.0,7.9,3.0,5.0,481.6,2.0,5.0,365.2,2.0,5.0,239.6,2.0,4.0,456.1,2.0,4.0,2486.0
3.0,6.0,67.0,3.0,6.0,1182.0,2.0,6.0,940.1,2.0,6.0,481.6,2.0,6.0,666.9,2.0,5.0,2599.0
4.0,2.0,22.6,4.0,1.0,308.1,4.0,1.0,83.9,3.0,1.0,128.8,3.0,1.0,141.1,3.0,1.0,2486.0
4.0,3.0,10.3,4.0,3.0,431.3,4.0,2.0,231.7,3.0,2.0,342.3,3.0,2.0,449.5,3.0,2.0,3980.0
4.0,5.0,12.5,4.0,5.0,404.2,4.0,5.0,107.2,3.0,5.0,145.3,3.0,4.0,178.2,3.0,4.0,2609.0
4.0,6.0,69.4,4.0,6.0,902.4,4.0,6.0,378.2,3.0,6.0,443.5,3.0,6.0,564.6,3.0,5.0,3399.0
5.0,2.0,32.3,5.0,1.0,370.6,5.0,1.0,93.4,5.0,1.0,51.7,4.0,1.0,87.6,4.0,1.0,1844.0
5.0,3.0,16.1,5.0,3.0,672.7,5.0,2.0,303.1,5.0,2.0,129.7,4.0,2.0,239.7,4.0,2.0,2009.0
5.0,4.0,17.1,5.0,4.0,579.7,5.0,4.0,130.2,5.0,3.0,104.1,4.0,3.0,153.1,4.0,3.0,2062.0
5.0,6.0,97.5,5.0,6.0,1154.0,5.0,6.0,500.3,5.0,6.0,87.0,4.0,6.0,163.2,4.0,5.0,785.2
6.0,2.0,344.0,6.0,1.0,1860.0,6.0,1.0,914.2,6.0,1.0,354.1,6.0,1.0,543.1,5.0,1.0,1844.0
6.0,3.0,342.7,6.0,3.0,2476.0,6.0,2.0,1727.0,6.0,2.0,580.2,6.0,2.0,863.9,5.0,2.0,2254.0
6.0,4.0,340.3,6.0,4.0,1797.0,6.0,4.0,1233.0,6.0,3.0,604.2,6.0,3.0,872.3,5.0,3.0,2567.0
6.0,5.0,358.1,6.0,5.0,1953.0,6.0,5.0,1403.0,6.0,5.0,250.7,6.0,4.0,371.2,5.0,4.0,799.2
