1,安井 瑞紀,安井 瑞紀.1,2,山戸 信二,山戸 信二.1,3,長尾 章平,長尾 章平.1,4,清水 攻二,清水 攻二.1,5,佐藤　謙史朗,佐藤　謙史朗.1,6,関野 文,関野 文.1
2.0,3.0,37.5,1.0,3.0,97.6,1.0,2.0,44.2,1.0,2.0,201.8,1.0,2.0,657.8,1.0,2.0,934.1
2.0,4.0,59.4,1.0,4.0,132.5,1.0,4.0,13.1,1.0,3.0,71.4,1.0,3.0,351.3,1.0,3.0,386.5
2.0,5.0,110.4,1.0,5.0,231.4,1.0,5.0,29.8,1.0,5.0,177.0,1.0,4.0,501.1,1.0,4.0,792.8
2.0,6.0,141.0,1.0,6.0,266.5,1.0,6.0,25.5,1.0,6.0,166.8,1.0,6.0,583.4,1.0,5.0,1653.0
3.0,2.0,21.6,3.0,1.0,105.4,2.0,1.0,70.9,2.0,1.0,270.9,2.0,1.0,847.1,2.0,1.0,1374.0
3.0,4.0,11.5,3.0,4.0,71.7,2.0,4.0,41.4,2.0,3.0,142.8,2.0,3.0,501.9,2.0,3.0,727.5
3.0,5.0,25.6,3.0,5.0,135.3,2.0,5.0,66.7,2.0,5.0,312.0,2.0,4.0,704.3,2.0,4.0,1451.0
3.0,6.0,27.6,3.0,6.0,162.5,2.0,6.0,80.3,2.0,6.0,351.3,2.0,6.0,893.6,2.0,5.0,2712.0
4.0,2.0,73.6,4.0,1.0,215.6,4.0,1.0,15.0,3.0,1.0,52.6,3.0,1.0,310.4,3.0,1.0,322.4
4.0,3.0,26.3,4.0,3.0,116.3,4.0,2.0,26.7,3.0,2.0,82.2,3.0,2.0,390.9,3.0,2.0,605.1
4.0,5.0,73.7,4.0,5.0,286.0,4.0,5.0,15.3,3.0,5.0,55.1,3.0,4.0,196.0,3.0,4.0,201.4
4.0,6.0,71.7,4.0,6.0,318.1,4.0,6.0,13.1,3.0,6.0,47.2,3.0,6.0,281.1,3.0,5.0,562.2
5.0,2.0,224.2,5.0,1.0,554.1,5.0,1.0,69.0,5.0,1.0,282.1,4.0,1.0,594.6,4.0,1.0,811.5
5.0,3.0,95.0,5.0,3.0,350.9,5.0,2.0,100.9,5.0,2.0,359.9,4.0,2.0,669.2,4.0,2.0,1212.0
5.0,4.0,149.9,5.0,4.0,529.4,5.0,4.0,41.6,5.0,3.0,132.3,4.0,3.0,236.7,4.0,3.0,259.4
5.0,6.0,250.5,5.0,6.0,803.1,5.0,6.0,58.8,5.0,6.0,211.0,4.0,6.0,422.4,4.0,5.0,871.0
6.0,2.0,332.4,6.0,1.0,771.0,6.0,1.0,58.6,6.0,1.0,266.3,6.0,1.0,854.1,5.0,1.0,1829.0
6.0,3.0,123.2,6.0,3.0,519.6,6.0,2.0,112.1,6.0,2.0,421.2,6.0,2.0,1088.0,5.0,2.0,2513.0
6.0,4.0,175.5,6.0,4.0,699.5,6.0,4.0,33.0,6.0,3.0,117.9,6.0,3.0,474.9,5.0,3.0,809.4
6.0,5.0,355.4,6.0,5.0,975.4,6.0,5.0,74.4,6.0,5.0,275.8,6.0,4.0,599.2,5.0,4.0,1055.0
