1,林 恵祐,林 恵祐.1,2,大澤 大夢,大澤 大夢.1,3,戸敷 晃美,戸敷 晃美.1,4,冨田 秀幸,冨田 秀幸.1,5,横川 聖志,横川 聖志.1,6,菊池 宏志,菊池 宏志.1
2.0,3.0,16.6,1.0,3.0,44.7,1.0,2.0,37.5,1.0,2.0,177.2,1.0,2.0,81.5,1.0,2.0,484.8
2.0,4.0,24.5,1.0,4.0,53.4,1.0,4.0,37.9,1.0,3.0,162.9,1.0,3.0,58.3,1.0,3.0,344.6
2.0,5.0,21.5,1.0,5.0,61.1,1.0,5.0,21.8,1.0,5.0,186.9,1.0,4.0,122.2,1.0,4.0,603.0
2.0,6.0,43.6,1.0,6.0,90.6,1.0,6.0,46.3,1.0,6.0,232.7,1.0,6.0,83.8,1.0,5.0,468.7
3.0,2.0,14.7,3.0,1.0,85.0,2.0,1.0,70.0,2.0,1.0,237.7,2.0,1.0,171.4,2.0,1.0,614.2
3.0,4.0,21.1,3.0,4.0,143.1,2.0,4.0,92.6,2.0,3.0,325.3,2.0,3.0,206.9,2.0,3.0,504.5
3.0,5.0,11.6,3.0,5.0,126.4,2.0,5.0,71.8,2.0,5.0,294.3,2.0,4.0,250.3,2.0,4.0,754.9
3.0,6.0,32.1,3.0,6.0,194.3,2.0,6.0,114.6,2.0,6.0,322.1,2.0,6.0,240.0,2.0,5.0,638.0
4.0,2.0,46.1,4.0,1.0,166.7,4.0,1.0,82.6,3.0,1.0,209.5,3.0,1.0,91.4,3.0,1.0,453.6
4.0,3.0,50.5,4.0,3.0,220.7,4.0,2.0,123.7,3.0,2.0,316.9,3.0,2.0,164.2,3.0,2.0,654.9
4.0,5.0,54.3,4.0,5.0,218.3,4.0,5.0,73.3,3.0,5.0,230.5,3.0,4.0,184.5,3.0,4.0,716.6
4.0,6.0,81.4,4.0,6.0,280.1,4.0,6.0,96.7,3.0,6.0,306.1,3.0,6.0,156.4,3.0,5.0,531.7
5.0,2.0,32.2,5.0,1.0,122.2,5.0,1.0,35.2,5.0,1.0,211.3,4.0,1.0,290.0,4.0,1.0,1063.0
5.0,3.0,22.0,5.0,3.0,162.9,5.0,2.0,52.5,5.0,2.0,252.9,4.0,2.0,310.0,4.0,2.0,924.3
5.0,4.0,49.0,5.0,4.0,221.7,5.0,4.0,63.5,5.0,3.0,252.9,4.0,3.0,301.5,4.0,3.0,890.9
5.0,6.0,50.2,5.0,6.0,216.8,5.0,6.0,50.9,5.0,6.0,184.8,4.0,6.0,217.8,4.0,5.0,701.4
6.0,2.0,145.2,6.0,1.0,398.7,6.0,1.0,128.4,6.0,1.0,464.3,6.0,1.0,216.4,5.0,1.0,520.5
6.0,3.0,108.8,6.0,3.0,420.8,6.0,2.0,199.3,6.0,2.0,523.2,6.0,2.0,307.1,5.0,2.0,555.6
6.0,4.0,173.5,6.0,4.0,431.8,6.0,4.0,159.2,6.0,3.0,482.4,6.0,3.0,266.5,5.0,3.0,504.5
6.0,5.0,132.2,6.0,5.0,408.6,6.0,5.0,132.0,6.0,5.0,349.4,6.0,4.0,287.5,5.0,4.0,496.9
