1,眞田 英二,眞田 英二.1,2,尾崎 雄二,尾崎 雄二.1,3,梶野 学志,梶野 学志.1,4,森岡 まき,森岡 まき.1,5,中越 博紀,中越 博紀.1,6,中岡 健人,中岡 健人.1
2.0,3.0,12.5,1.0,3.0,23.6,1.0,2.0,21.4,1.0,2.0,272.7,1.0,2.0,102.7,1.0,2.0,2856.0
2.0,4.0,29.3,1.0,4.0,56.9,1.0,4.0,29.1,1.0,3.0,176.9,1.0,3.0,53.7,1.0,3.0,1438.0
2.0,5.0,20.3,1.0,5.0,37.6,1.0,5.0,13.2,1.0,5.0,207.3,1.0,4.0,168.9,1.0,4.0,3545.0
2.0,6.0,196.7,1.0,6.0,317.8,1.0,6.0,129.6,1.0,6.0,867.7,1.0,6.0,312.5,1.0,5.0,2817.0
3.0,2.0,11.2,3.0,1.0,45.3,2.0,1.0,43.6,2.0,1.0,417.1,2.0,1.0,158.5,2.0,1.0,3316.0
3.0,4.0,17.5,3.0,4.0,106.9,2.0,4.0,91.0,2.0,3.0,423.1,2.0,3.0,137.2,2.0,3.0,1645.0
3.0,5.0,9.2,3.0,5.0,65.0,2.0,5.0,51.7,2.0,5.0,463.1,2.0,4.0,381.5,2.0,4.0,2477.0
3.0,6.0,95.7,3.0,6.0,385.8,2.0,6.0,267.4,2.0,6.0,1269.0,2.0,6.0,781.9,2.0,5.0,2741.0
4.0,2.0,60.5,4.0,1.0,162.5,4.0,1.0,59.4,3.0,1.0,197.7,3.0,1.0,53.2,3.0,1.0,1713.0
4.0,3.0,47.4,4.0,3.0,206.4,4.0,2.0,107.6,3.0,2.0,310.6,3.0,2.0,107.1,3.0,2.0,1728.0
4.0,5.0,61.4,4.0,5.0,230.0,4.0,5.0,51.9,3.0,5.0,167.8,3.0,4.0,135.0,3.0,4.0,2817.0
4.0,6.0,302.4,4.0,6.0,1065.0,4.0,6.0,274.1,3.0,6.0,864.0,3.0,6.0,312.0,3.0,5.0,1632.0
5.0,2.0,31.9,5.0,1.0,103.6,5.0,1.0,24.4,5.0,1.0,238.5,4.0,1.0,272.0,4.0,1.0,4284.0
5.0,3.0,17.5,5.0,3.0,108.2,5.0,2.0,45.6,5.0,2.0,355.7,4.0,2.0,388.7,4.0,2.0,3069.0
5.0,4.0,58.2,5.0,4.0,213.9,5.0,4.0,42.7,5.0,3.0,211.5,4.0,3.0,199.8,4.0,3.0,3954.0
5.0,6.0,198.5,5.0,6.0,685.4,5.0,6.0,142.9,5.0,6.0,758.8,4.0,6.0,909.9,4.0,5.0,3672.0
6.0,2.0,701.8,6.0,1.0,1658.0,6.0,1.0,443.2,6.0,1.0,2235.0,6.0,1.0,685.4,5.0,1.0,2817.0
6.0,3.0,355.1,6.0,3.0,1202.0,6.0,2.0,875.1,6.0,2.0,2056.0,6.0,2.0,1071.0,5.0,2.0,2538.0
6.0,4.0,676.4,6.0,4.0,1836.0,6.0,4.0,764.4,6.0,3.0,2056.0,6.0,3.0,539.7,5.0,3.0,2259.0
6.0,5.0,587.5,6.0,5.0,1512.0,6.0,5.0,527.3,6.0,5.0,1569.0,6.0,4.0,1398.0,5.0,4.0,3607.0
