1,山口 修路,山口 修路.1,2,森 晋太郎,森 晋太郎.1,3,下河 誉史,下河 誉史.1,4,江藤 敦宏,江藤 敦宏.1,5,中渡 修作,中渡 修作.1,6,水摩 敦,水摩 敦.1
2.0,3.0,11.1,1.0,3.0,31.0,1.0,2.0,39.0,1.0,2.0,270.9,1.0,2.0,681.0,1.0,2.0,55.2
2.0,4.0,29.2,1.0,4.0,81.5,1.0,4.0,63.8,1.0,3.0,197.4,1.0,3.0,473.2,1.0,3.0,40.6
2.0,5.0,52.2,1.0,5.0,133.0,1.0,5.0,80.3,1.0,5.0,470.8,1.0,4.0,1224.0,1.0,4.0,134.4
2.0,6.0,17.2,1.0,6.0,45.8,1.0,6.0,24.9,1.0,6.0,207.6,1.0,6.0,497.4,1.0,5.0,176.8
3.0,2.0,9.8,3.0,1.0,75.4,2.0,1.0,74.8,2.0,1.0,372.5,2.0,1.0,1007.0,2.0,1.0,85.1
3.0,4.0,19.4,3.0,4.0,168.7,2.0,4.0,148.7,2.0,3.0,422.0,2.0,3.0,964.9,2.0,3.0,84.0
3.0,5.0,34.5,3.0,5.0,225.3,2.0,5.0,202.4,2.0,5.0,740.0,2.0,4.0,1739.0,2.0,4.0,225.1
3.0,6.0,8.8,3.0,6.0,75.3,2.0,6.0,68.2,2.0,6.0,385.1,2.0,6.0,886.6,2.0,5.0,293.6
4.0,2.0,63.0,4.0,1.0,240.3,4.0,1.0,143.3,3.0,1.0,252.8,3.0,1.0,617.8,3.0,1.0,53.5
4.0,3.0,52.6,4.0,3.0,289.2,4.0,2.0,207.6,3.0,2.0,391.7,3.0,2.0,1034.0,3.0,2.0,80.4
4.0,5.0,130.1,4.0,5.0,492.9,4.0,5.0,247.1,3.0,5.0,531.2,3.0,4.0,1252.0,3.0,4.0,170.9
4.0,6.0,63.5,4.0,6.0,263.3,4.0,6.0,113.6,3.0,6.0,242.0,3.0,6.0,535.4,3.0,5.0,173.8
5.0,2.0,166.7,5.0,1.0,391.2,5.0,1.0,193.5,5.0,1.0,667.6,4.0,1.0,1358.0,4.0,1.0,294.5
5.0,3.0,104.0,5.0,3.0,405.7,5.0,2.0,323.9,5.0,2.0,734.0,4.0,2.0,1820.0,4.0,2.0,401.5
5.0,4.0,273.0,5.0,4.0,740.0,5.0,4.0,393.4,5.0,3.0,638.0,4.0,3.0,1345.0,4.0,3.0,312.4
5.0,6.0,132.6,5.0,6.0,384.6,5.0,6.0,151.3,5.0,6.0,457.4,4.0,6.0,1026.0,4.0,5.0,592.3
6.0,2.0,28.0,6.0,1.0,101.3,6.0,1.0,38.2,6.0,1.0,244.4,6.0,1.0,579.7,5.0,1.0,319.7
6.0,3.0,17.4,6.0,3.0,100.3,6.0,2.0,56.0,6.0,2.0,318.6,6.0,2.0,850.7,5.0,2.0,547.2
6.0,4.0,62.9,6.0,4.0,237.0,6.0,4.0,102.2,6.0,3.0,251.4,6.0,3.0,448.4,5.0,3.0,315.7
6.0,5.0,88.7,6.0,5.0,287.1,6.0,5.0,104.9,6.0,5.0,404.5,6.0,4.0,789.2,5.0,4.0,648.6
