1,三苫 晃幸,三苫 晃幸.1,2,中島 真二,中島 真二.1,3,島田 一生,島田 一生.1,4,石倉 洋行,石倉 洋行.1,5,花田 凱成,花田 凱成.1,6,塩田 北斗,塩田 北斗.1
2.0,3.0,44.6,1.0,3.0,174.0,1.0,2.0,245.8,1.0,2.0,31.5,1.0,2.0,1291.0,1.0,2.0,58.7
2.0,4.0,18.3,1.0,4.0,79.7,1.0,4.0,159.9,1.0,3.0,62.8,1.0,3.0,1661.0,1.0,3.0,101.2
2.0,5.0,176.5,1.0,5.0,508.3,1.0,5.0,711.3,1.0,5.0,85.4,1.0,4.0,867.5,1.0,4.0,29.9
2.0,6.0,25.2,1.0,6.0,97.7,1.0,6.0,151.9,1.0,6.0,13.1,1.0,6.0,772.1,1.0,5.0,142.2
3.0,2.0,49.5,3.0,1.0,420.5,2.0,1.0,389.9,2.0,1.0,73.4,2.0,1.0,1919.0,2.0,1.0,140.4
3.0,4.0,28.7,3.0,4.0,484.7,2.0,4.0,413.2,2.0,3.0,222.0,2.0,3.0,2920.0,2.0,3.0,323.8
3.0,5.0,195.3,3.0,5.0,1644.0,2.0,5.0,1451.0,2.0,5.0,269.4,2.0,4.0,2147.0,2.0,4.0,118.7
3.0,6.0,34.7,3.0,6.0,460.1,2.0,6.0,408.8,2.0,6.0,59.1,2.0,6.0,1911.0,2.0,5.0,466.9
4.0,2.0,14.0,4.0,1.0,123.0,4.0,1.0,186.8,3.0,1.0,160.3,3.0,1.0,2626.0,3.0,1.0,231.9
4.0,3.0,24.0,4.0,3.0,311.8,4.0,2.0,350.1,3.0,2.0,280.3,3.0,2.0,3407.0,3.0,2.0,373.4
4.0,5.0,83.5,4.0,5.0,677.5,4.0,5.0,869.1,3.0,5.0,560.4,3.0,4.0,3033.0,3.0,4.0,213.1
4.0,6.0,8.6,4.0,6.0,119.3,4.0,6.0,156.1,3.0,6.0,120.1,3.0,6.0,2474.0,3.0,5.0,836.6
5.0,2.0,408.1,5.0,1.0,1478.0,5.0,1.0,1984.0,5.0,1.0,177.0,4.0,1.0,904.2,4.0,1.0,26.0
5.0,3.0,455.6,5.0,3.0,2127.0,5.0,2.0,2166.0,5.0,2.0,307.7,4.0,2.0,1407.0,4.0,2.0,49.0
5.0,4.0,316.8,5.0,4.0,1416.0,5.0,4.0,1935.0,5.0,3.0,527.7,4.0,3.0,2053.0,4.0,3.0,91.5
5.0,6.0,265.3,5.0,6.0,1317.0,5.0,6.0,1567.0,5.0,6.0,106.2,4.0,6.0,530.1,4.0,5.0,75.1
6.0,2.0,26.0,6.0,1.0,190.1,6.0,1.0,212.5,6.0,1.0,12.0,6.0,1.0,1024.0,5.0,1.0,400.5
6.0,3.0,39.8,6.0,3.0,361.7,6.0,2.0,341.7,6.0,2.0,24.9,6.0,2.0,1829.0,5.0,2.0,685.4
6.0,4.0,14.1,6.0,4.0,161.6,6.0,4.0,186.3,6.0,3.0,50.8,6.0,3.0,2080.0,5.0,3.0,936.6
6.0,5.0,115.8,6.0,5.0,786.3,6.0,5.0,911.2,6.0,5.0,37.0,6.0,4.0,608.3,5.0,4.0,262.8
