1,高倉 和士,高倉 和士.1,2,松尾 宣邦,松尾 宣邦.1,3,香月 大介,香月 大介.1,4,山口 修路,山口 修路.1,5,松下 哲也,松下 哲也.1,6,植田 太一,植田 太一.1
2.0,3.0,11.4,1.0,3.0,141.8,1.0,2.0,144.2,1.0,2.0,317.2,1.0,2.0,241.7,1.0,2.0,207.3
2.0,4.0,9.3,1.0,4.0,196.0,1.0,4.0,142.1,1.0,3.0,358.5,1.0,3.0,295.8,1.0,3.0,237.3
2.0,5.0,20.5,1.0,5.0,369.1,1.0,5.0,191.5,1.0,5.0,318.3,1.0,4.0,196.7,1.0,4.0,168.7
2.0,6.0,13.0,1.0,6.0,252.3,1.0,6.0,136.2,1.0,6.0,225.8,1.0,6.0,178.9,1.0,5.0,224.2
3.0,2.0,12.6,3.0,1.0,358.5,2.0,1.0,281.1,2.0,1.0,701.2,2.0,1.0,766.6,2.0,1.0,519.1
3.0,4.0,10.2,3.0,4.0,1138.0,2.0,4.0,713.1,2.0,3.0,1415.0,2.0,3.0,1716.0,2.0,3.0,1538.0
3.0,5.0,20.5,3.0,5.0,1325.0,2.0,5.0,987.1,2.0,5.0,1789.0,2.0,4.0,1543.0,2.0,4.0,1210.0
3.0,6.0,11.8,3.0,6.0,1318.0,2.0,6.0,733.6,2.0,6.0,1270.0,2.0,6.0,1469.0,2.0,5.0,1908.0
4.0,2.0,17.3,4.0,1.0,677.4,4.0,1.0,354.6,3.0,1.0,703.3,3.0,1.0,740.7,3.0,1.0,513.9
4.0,3.0,19.6,4.0,3.0,1703.0,4.0,2.0,755.3,3.0,2.0,1769.0,3.0,2.0,2119.0,3.0,2.0,1586.0
4.0,5.0,23.5,4.0,5.0,2008.0,4.0,5.0,972.5,3.0,5.0,1666.0,3.0,4.0,1885.0,3.0,4.0,1660.0
4.0,6.0,14.2,4.0,6.0,1637.0,4.0,6.0,652.4,3.0,6.0,1398.0,3.0,6.0,1916.0,3.0,5.0,2159.0
5.0,2.0,32.8,5.0,1.0,1064.0,5.0,1.0,454.9,5.0,1.0,595.8,4.0,1.0,644.2,4.0,1.0,577.1
5.0,3.0,42.0,5.0,3.0,2159.0,5.0,2.0,1116.0,5.0,2.0,1377.0,4.0,2.0,1982.0,4.0,2.0,1090.0
5.0,4.0,29.3,5.0,4.0,2371.0,5.0,4.0,1050.0,5.0,3.0,1755.0,4.0,3.0,2288.0,4.0,3.0,1893.0
5.0,6.0,29.9,5.0,6.0,2053.0,5.0,6.0,874.5,5.0,6.0,784.9,4.0,6.0,1017.0,4.0,5.0,1325.0
6.0,2.0,20.7,6.0,1.0,807.0,6.0,1.0,366.2,6.0,1.0,445.7,6.0,1.0,372.4,5.0,1.0,556.2
6.0,3.0,22.9,6.0,3.0,1755.0,6.0,2.0,927.4,6.0,2.0,1253.0,6.0,2.0,1345.0,5.0,2.0,1678.0
6.0,4.0,18.7,6.0,4.0,1742.0,6.0,4.0,790.3,6.0,3.0,1460.0,6.0,3.0,1580.0,5.0,3.0,1840.0
6.0,5.0,29.0,6.0,5.0,2044.0,6.0,5.0,1024.0,6.0,5.0,889.7,6.0,4.0,800.0,5.0,4.0,1121.0
