1,小池 公生,小池 公生.1,2,安部 慎一,安部 慎一.1,3,石倉 洋行,石倉 洋行.1,4,島田 一生,島田 一生.1,5,藤丸 光一,藤丸 光一.1,6,荒牧 凪沙,荒牧 凪沙.1
2.0,3.0,27.8,1.0,3.0,117.9,1.0,2.0,33.4,1.0,2.0,100.8,1.0,2.0,337.7,1.0,2.0,361.7
2.0,4.0,67.9,1.0,4.0,230.2,1.0,4.0,15.7,1.0,3.0,45.6,1.0,3.0,133.0,1.0,3.0,220.0
2.0,5.0,64.0,1.0,5.0,263.8,1.0,5.0,20.7,1.0,5.0,110.4,1.0,4.0,241.1,1.0,4.0,218.2
2.0,6.0,98.7,1.0,6.0,395.1,1.0,6.0,39.5,1.0,6.0,56.0,1.0,6.0,339.2,1.0,5.0,393.6
3.0,2.0,17.0,3.0,1.0,159.6,2.0,1.0,91.3,2.0,1.0,183.3,2.0,1.0,540.8,2.0,1.0,631.5
3.0,4.0,13.6,3.0,4.0,169.9,2.0,4.0,88.7,2.0,3.0,140.8,2.0,3.0,376.7,2.0,3.0,598.6
3.0,5.0,16.1,3.0,5.0,224.7,2.0,5.0,124.7,2.0,5.0,303.0,2.0,4.0,587.3,2.0,4.0,519.0
3.0,6.0,27.8,3.0,6.0,376.0,2.0,6.0,175.2,2.0,6.0,145.2,2.0,6.0,1045.0,2.0,5.0,988.6
4.0,2.0,74.1,4.0,1.0,362.9,4.0,1.0,23.9,3.0,1.0,46.1,3.0,1.0,119.4,3.0,1.0,283.7
4.0,3.0,31.4,4.0,3.0,240.3,4.0,2.0,53.0,3.0,2.0,86.4,3.0,2.0,277.2,3.0,2.0,485.5
4.0,5.0,72.8,4.0,5.0,560.2,4.0,5.0,37.8,3.0,5.0,78.4,3.0,4.0,158.6,3.0,4.0,200.2
4.0,6.0,79.4,4.0,6.0,788.8,4.0,6.0,37.3,3.0,6.0,49.5,3.0,6.0,208.0,3.0,5.0,522.7
5.0,2.0,81.6,5.0,1.0,538.1,5.0,1.0,45.7,5.0,1.0,143.4,4.0,1.0,227.8,4.0,1.0,124.1
5.0,3.0,36.9,5.0,3.0,378.6,5.0,2.0,87.9,5.0,2.0,252.8,4.0,2.0,400.1,4.0,2.0,209.6
5.0,4.0,82.7,5.0,4.0,631.5,5.0,4.0,46.2,5.0,3.0,102.7,4.0,3.0,145.9,4.0,3.0,111.4
5.0,6.0,108.3,5.0,6.0,1120.0,5.0,6.0,80.3,5.0,6.0,131.9,4.0,6.0,189.5,4.0,5.0,222.7
6.0,2.0,163.4,6.0,1.0,1076.0,6.0,1.0,101.1,6.0,1.0,47.1,6.0,1.0,446.8,5.0,1.0,573.4
6.0,3.0,79.8,6.0,3.0,809.2,6.0,2.0,214.4,6.0,2.0,81.1,6.0,2.0,756.0,5.0,2.0,860.2
6.0,4.0,141.2,6.0,4.0,1097.0,6.0,4.0,78.0,6.0,3.0,43.1,6.0,3.0,320.3,5.0,3.0,553.1
6.0,5.0,158.2,6.0,5.0,1655.0,6.0,5.0,170.8,6.0,5.0,95.4,6.0,4.0,302.2,5.0,4.0,388.7
