1,塩田 北斗,塩田 北斗.1,2,中渡 修作,中渡 修作.1,3,井上 恵一,井上 恵一.1,4,関 裕也,関 裕也.1,5,村上 彰一,村上 彰一.1,6,鳥飼 眞,鳥飼 眞.1
2.0,3.0,15.7,1.0,3.0,354.5,1.0,2.0,322.4,1.0,2.0,111.5,1.0,2.0,255.8,1.0,2.0,437.6
2.0,4.0,15.4,1.0,4.0,290.0,1.0,4.0,305.1,1.0,3.0,157.5,1.0,3.0,339.4,1.0,3.0,534.3
2.0,5.0,21.5,1.0,5.0,425.5,1.0,5.0,352.3,1.0,5.0,55.3,1.0,4.0,126.4,1.0,4.0,231.2
2.0,6.0,17.0,1.0,6.0,349.5,1.0,6.0,288.6,1.0,6.0,59.0,1.0,6.0,120.0,1.0,5.0,263.1
3.0,2.0,13.2,3.0,1.0,654.3,2.0,1.0,586.1,2.0,1.0,362.2,2.0,1.0,720.5,2.0,1.0,1064.0
3.0,4.0,12.0,3.0,4.0,1814.0,2.0,4.0,1153.0,2.0,3.0,966.5,2.0,3.0,1966.0,2.0,3.0,2913.0
3.0,5.0,18.1,3.0,5.0,1790.0,2.0,5.0,1435.0,2.0,5.0,523.8,2.0,4.0,1335.0,2.0,4.0,2334.0
3.0,6.0,14.2,3.0,6.0,1758.0,2.0,6.0,1296.0,2.0,6.0,621.7,2.0,6.0,1108.0,2.0,5.0,2626.0
4.0,2.0,14.3,4.0,1.0,630.6,4.0,1.0,576.0,3.0,1.0,447.5,3.0,1.0,735.1,3.0,1.0,1115.0
4.0,3.0,16.0,4.0,3.0,1928.0,4.0,2.0,1013.0,3.0,2.0,919.7,3.0,2.0,2016.0,3.0,2.0,2913.0
4.0,5.0,12.2,4.0,5.0,1822.0,4.0,5.0,1224.0,3.0,5.0,754.5,3.0,4.0,1529.0,3.0,4.0,2526.0
4.0,6.0,12.3,4.0,6.0,1529.0,4.0,6.0,1108.0,3.0,6.0,828.1,3.0,6.0,1456.0,3.0,5.0,2892.0
5.0,2.0,28.4,5.0,1.0,1034.0,5.0,1.0,889.0,5.0,1.0,81.8,4.0,1.0,164.3,4.0,1.0,382.3
5.0,3.0,31.0,5.0,3.0,2134.0,5.0,2.0,1691.0,5.0,2.0,254.9,4.0,2.0,546.8,4.0,2.0,1313.0
5.0,4.0,22.1,5.0,4.0,1629.0,5.0,4.0,1478.0,5.0,3.0,357.6,4.0,3.0,809.6,4.0,3.0,1259.0
5.0,6.0,22.5,5.0,6.0,1559.0,5.0,6.0,1425.0,5.0,6.0,99.0,4.0,6.0,214.3,4.0,5.0,525.9
6.0,2.0,32.3,6.0,1.0,1263.0,6.0,1.0,952.6,6.0,1.0,137.9,6.0,1.0,226.6,5.0,1.0,417.9
6.0,3.0,35.8,6.0,3.0,2419.0,6.0,2.0,1420.0,6.0,2.0,426.0,6.0,2.0,757.4,5.0,2.0,1512.0
6.0,4.0,27.5,6.0,4.0,2230.0,6.0,4.0,1758.0,6.0,3.0,608.4,6.0,3.0,1084.0,5.0,3.0,1928.0
6.0,5.0,35.6,6.0,5.0,2390.0,6.0,5.0,1947.0,6.0,5.0,162.8,6.0,4.0,304.7,5.0,4.0,541.6
