1,楠原 翔太,楠原 翔太.1,2,山田 丈,山田 丈.1,3,安部 慎一,安部 慎一.1,4,中渡 修作,中渡 修作.1,5,下河 誉史,下河 誉史.1,6,羽野 諒,羽野 諒.1
2.0,3.0,6.9,1.0,3.0,32.5,1.0,2.0,204.4,1.0,2.0,264.2,1.0,2.0,68.8,1.0,2.0,468.3
2.0,4.0,13.0,1.0,4.0,45.5,1.0,4.0,268.5,1.0,3.0,403.4,1.0,3.0,128.1,1.0,3.0,959.8
2.0,5.0,6.1,1.0,5.0,24.4,1.0,5.0,163.5,1.0,5.0,209.3,1.0,4.0,156.1,1.0,4.0,957.2
2.0,6.0,14.3,1.0,6.0,53.0,1.0,6.0,314.7,1.0,6.0,354.3,1.0,6.0,107.7,1.0,5.0,564.4
3.0,2.0,13.7,3.0,1.0,165.3,2.0,1.0,299.1,2.0,1.0,441.1,2.0,1.0,109.0,2.0,1.0,593.1
3.0,4.0,25.6,3.0,4.0,380.1,2.0,4.0,582.3,2.0,3.0,959.8,2.0,3.0,361.3,2.0,3.0,1437.0
3.0,5.0,15.4,3.0,5.0,245.1,2.0,5.0,398.3,2.0,5.0,505.6,2.0,4.0,449.6,2.0,4.0,1800.0
3.0,6.0,44.8,3.0,6.0,487.2,2.0,6.0,735.5,2.0,6.0,905.1,2.0,6.0,246.3,2.0,5.0,907.4
4.0,2.0,29.4,4.0,1.0,208.3,4.0,1.0,592.1,3.0,1.0,794.0,3.0,1.0,338.8,3.0,1.0,1696.0
4.0,3.0,39.0,4.0,3.0,481.9,4.0,2.0,792.2,3.0,2.0,1275.0,3.0,2.0,623.9,3.0,2.0,3091.0
4.0,5.0,32.9,4.0,5.0,332.7,4.0,5.0,841.8,3.0,5.0,1145.0,3.0,4.0,1006.0,3.0,4.0,3677.0
4.0,6.0,68.1,4.0,6.0,559.9,4.0,6.0,1217.0,3.0,6.0,1573.0,3.0,6.0,705.8,3.0,5.0,2911.0
5.0,2.0,12.1,5.0,1.0,80.6,5.0,1.0,349.7,5.0,1.0,259.9,4.0,1.0,339.8,4.0,1.0,1941.0
5.0,3.0,20.8,5.0,3.0,234.8,5.0,2.0,673.1,5.0,2.0,464.6,4.0,2.0,574.6,4.0,2.0,2569.0
5.0,4.0,39.1,5.0,4.0,297.0,5.0,4.0,936.6,5.0,3.0,816.3,4.0,3.0,900.4,4.0,3.0,3677.0
5.0,6.0,32.4,5.0,6.0,204.6,5.0,6.0,967.8,5.0,6.0,471.5,4.0,6.0,551.0,4.0,5.0,2550.0
6.0,2.0,55.0,6.0,1.0,297.0,6.0,1.0,975.9,6.0,1.0,808.7,6.0,1.0,272.1,5.0,1.0,803.1
6.0,3.0,114.2,6.0,3.0,835.8,6.0,2.0,1333.0,6.0,2.0,1243.0,6.0,2.0,395.6,5.0,2.0,1075.0
6.0,4.0,141.6,6.0,4.0,837.8,6.0,4.0,2183.0,6.0,3.0,1559.0,6.0,3.0,767.8,5.0,3.0,2460.0
6.0,5.0,78.7,6.0,5.0,433.4,6.0,5.0,1679.0,6.0,5.0,871.2,6.0,4.0,732.4,5.0,4.0,1930.0
