1,服部 幸男,服部 幸男.1,2,木下 大將,木下 大將.1,3,岡本 猛,岡本 猛.1,4,河野 大,河野 大.1,5,峰重 力也,峰重 力也.1,6,山口 亮,山口 亮.1
2.0,3.0,7.8,1.0,3.0,32.6,1.0,2.0,57.0,1.0,2.0,50.1,1.0,2.0,289.9,1.0,2.0,841.2
2.0,4.0,5.9,1.0,4.0,25.9,1.0,4.0,51.7,1.0,3.0,81.6,1.0,3.0,376.2,1.0,3.0,937.5
2.0,5.0,27.1,1.0,5.0,75.1,1.0,5.0,99.8,1.0,5.0,96.0,1.0,4.0,284.7,1.0,4.0,1365.0
2.0,6.0,58.2,1.0,6.0,132.8,1.0,6.0,169.1,1.0,6.0,179.0,1.0,6.0,568.7,1.0,5.0,2379.0
3.0,2.0,11.2,3.0,1.0,93.7,2.0,1.0,118.8,2.0,1.0,100.8,2.0,1.0,520.6,2.0,1.0,1089.0
3.0,4.0,9.6,3.0,4.0,129.6,2.0,4.0,144.2,2.0,3.0,213.1,2.0,3.0,857.5,2.0,3.0,1455.0
3.0,5.0,27.1,3.0,5.0,276.2,2.0,5.0,293.8,2.0,5.0,273.4,2.0,4.0,834.9,2.0,4.0,2431.0
3.0,6.0,52.7,3.0,6.0,591.6,2.0,6.0,445.1,2.0,6.0,457.1,2.0,6.0,1689.0,2.0,5.0,3512.0
4.0,2.0,8.6,4.0,1.0,65.3,4.0,1.0,99.6,3.0,1.0,189.1,3.0,1.0,645.0,3.0,1.0,2634.0
4.0,3.0,12.0,4.0,3.0,142.1,4.0,2.0,142.1,3.0,2.0,284.3,3.0,2.0,957.8,3.0,2.0,1505.0
4.0,5.0,27.6,4.0,5.0,268.1,4.0,5.0,275.1,3.0,5.0,607.8,3.0,4.0,1079.0,3.0,4.0,3160.0
4.0,6.0,51.0,4.0,6.0,431.3,4.0,6.0,357.4,3.0,6.0,537.0,3.0,6.0,2169.0,3.0,5.0,5145.0
5.0,2.0,59.9,5.0,1.0,378.8,5.0,1.0,279.3,5.0,1.0,179.8,4.0,1.0,318.8,4.0,1.0,2190.0
5.0,3.0,57.3,5.0,3.0,616.3,5.0,2.0,330.2,5.0,2.0,277.9,4.0,2.0,747.4,4.0,2.0,3030.0
5.0,4.0,64.1,5.0,4.0,693.6,5.0,4.0,446.0,5.0,3.0,436.4,4.0,3.0,735.0,4.0,3.0,4916.0
5.0,6.0,187.8,5.0,6.0,1505.0,5.0,6.0,755.1,5.0,6.0,432.9,4.0,6.0,639.4,4.0,5.0,4609.0
6.0,2.0,155.2,6.0,1.0,895.7,6.0,1.0,680.7,6.0,1.0,602.8,6.0,1.0,1770.0,5.0,1.0,2873.0
6.0,3.0,161.2,6.0,3.0,1728.0,6.0,2.0,1117.0,6.0,2.0,914.2,6.0,2.0,2603.0,5.0,2.0,4707.0
6.0,4.0,139.5,6.0,4.0,1170.0,6.0,4.0,1024.0,6.0,3.0,727.8,6.0,3.0,2572.0,5.0,3.0,5979.0
6.0,5.0,292.2,6.0,5.0,2304.0,6.0,5.0,1536.0,6.0,5.0,770.9,6.0,4.0,1033.0,5.0,4.0,4916.0
