1,永井 源,永井 源.1,2,福田 宗平,福田 宗平.1,3,木下 大將,木下 大將.1,4,高倉 孝太,高倉 孝太.1,5,菊地 敬介,菊地 敬介.1,6,近藤 友宝,近藤 友宝.1
2.0,3.0,3.6,1.0,3.0,26.6,1.0,2.0,51.8,1.0,2.0,128.6,1.0,2.0,364.3,1.0,2.0,398.2
2.0,4.0,5.8,1.0,4.0,38.6,1.0,4.0,90.1,1.0,3.0,201.4,1.0,3.0,439.2,1.0,3.0,732.6
2.0,5.0,15.0,1.0,5.0,82.6,1.0,5.0,124.2,1.0,5.0,223.5,1.0,4.0,627.8,1.0,4.0,1243.0
2.0,6.0,27.8,1.0,6.0,130.6,1.0,6.0,240.3,1.0,6.0,275.0,1.0,6.0,680.3,1.0,5.0,1579.0
3.0,2.0,6.5,3.0,1.0,78.5,2.0,1.0,90.0,2.0,1.0,229.4,2.0,1.0,716.9,2.0,1.0,669.4
3.0,4.0,12.0,3.0,4.0,219.6,2.0,4.0,247.3,2.0,3.0,489.5,2.0,3.0,1182.0,2.0,3.0,1257.0
3.0,5.0,23.6,3.0,5.0,402.6,2.0,5.0,394.9,2.0,5.0,704.7,2.0,4.0,1658.0,2.0,4.0,2109.0
3.0,6.0,49.9,3.0,6.0,579.7,2.0,6.0,561.2,2.0,6.0,646.0,2.0,6.0,1579.0,2.0,5.0,2315.0
4.0,2.0,16.8,4.0,1.0,177.5,4.0,1.0,282.5,3.0,1.0,389.8,3.0,1.0,1107.0,3.0,1.0,1996.0
4.0,3.0,25.4,4.0,3.0,388.5,4.0,2.0,375.8,3.0,2.0,670.7,3.0,2.0,1371.0,3.0,2.0,1579.0
4.0,5.0,51.6,4.0,5.0,625.4,4.0,5.0,611.6,3.0,5.0,1100.0,3.0,4.0,1773.0,3.0,4.0,3704.0
4.0,6.0,74.6,4.0,6.0,750.8,4.0,6.0,852.5,3.0,6.0,1239.0,3.0,6.0,1996.0,3.0,5.0,4219.0
5.0,2.0,52.0,5.0,1.0,483.8,5.0,1.0,431.8,5.0,1.0,385.8,4.0,1.0,697.4,4.0,1.0,2222.0
5.0,3.0,75.8,5.0,3.0,833.4,5.0,2.0,669.4,5.0,2.0,487.3,4.0,2.0,884.2,4.0,2.0,2710.0
5.0,4.0,117.3,5.0,4.0,918.3,5.0,4.0,923.4,5.0,3.0,977.6,4.0,3.0,1872.0,4.0,3.0,3704.0
5.0,6.0,172.5,5.0,6.0,1186.0,5.0,6.0,1400.0,5.0,6.0,502.8,4.0,6.0,881.9,4.0,5.0,3205.0
6.0,2.0,101.9,6.0,1.0,575.7,6.0,1.0,1157.0,6.0,1.0,653.6,6.0,1.0,1773.0,5.0,1.0,2801.0
6.0,3.0,193.9,6.0,3.0,1272.0,6.0,2.0,1207.0,6.0,2.0,850.4,6.0,2.0,2008.0,5.0,2.0,2778.0
6.0,4.0,218.5,6.0,4.0,1267.0,6.0,4.0,2150.0,6.0,3.0,1400.0,6.0,3.0,2604.0,5.0,3.0,3367.0
6.0,5.0,284.9,6.0,5.0,1550.0,6.0,5.0,2178.0,6.0,5.0,931.1,6.0,4.0,2584.0,5.0,4.0,3436.0
