1,長尾　京志郎,長尾　京志郎.1,2,伊藤 紘章,伊藤 紘章.1,3,杉江 浩明,杉江 浩明.1,4,山口 亮,山口 亮.1,5,峰重 力也,峰重 力也.1,6,高倉 孝太,高倉 孝太.1
2.0,3.0,27.5,1.0,3.0,91.6,1.0,2.0,99.5,1.0,2.0,102.4,1.0,2.0,135.3,1.0,2.0,45.4
2.0,4.0,24.4,1.0,4.0,67.0,1.0,4.0,84.7,1.0,3.0,148.7,1.0,3.0,172.9,1.0,3.0,58.3
2.0,5.0,49.0,1.0,5.0,136.4,1.0,5.0,110.5,1.0,5.0,112.3,1.0,4.0,154.8,1.0,4.0,45.6
2.0,6.0,38.4,1.0,6.0,78.9,1.0,6.0,65.6,1.0,6.0,71.3,1.0,6.0,65.2,1.0,5.0,48.0
3.0,2.0,28.8,3.0,1.0,112.0,2.0,1.0,127.8,2.0,1.0,179.8,2.0,1.0,213.2,2.0,1.0,70.5
3.0,4.0,23.3,3.0,4.0,138.6,2.0,4.0,140.7,2.0,3.0,276.0,2.0,3.0,347.6,2.0,3.0,102.7
3.0,5.0,44.4,3.0,5.0,160.5,2.0,5.0,152.0,2.0,5.0,283.3,2.0,4.0,316.6,2.0,4.0,89.0
3.0,6.0,27.1,3.0,6.0,155.2,2.0,6.0,115.2,2.0,6.0,187.3,2.0,6.0,179.8,2.0,5.0,105.4
4.0,2.0,27.7,4.0,1.0,127.5,4.0,1.0,124.7,3.0,1.0,216.1,3.0,1.0,235.5,3.0,1.0,80.8
4.0,3.0,39.0,4.0,3.0,218.2,4.0,2.0,175.1,3.0,2.0,327.9,3.0,2.0,381.0,3.0,2.0,116.5
4.0,5.0,35.8,4.0,5.0,227.8,4.0,5.0,145.9,3.0,5.0,279.8,3.0,4.0,367.8,3.0,4.0,102.3
4.0,6.0,23.1,4.0,6.0,187.8,4.0,6.0,93.1,3.0,6.0,167.9,3.0,6.0,194.5,3.0,5.0,123.8
5.0,2.0,87.5,5.0,1.0,236.3,5.0,1.0,158.8,5.0,1.0,140.8,4.0,1.0,193.9,4.0,1.0,66.2
5.0,3.0,88.8,5.0,3.0,311.7,5.0,2.0,230.4,5.0,2.0,254.8,4.0,2.0,332.7,4.0,2.0,119.7
5.0,4.0,86.1,5.0,4.0,294.9,5.0,4.0,186.4,5.0,3.0,262.4,4.0,3.0,381.7,4.0,3.0,117.9
5.0,6.0,59.2,5.0,6.0,239.7,5.0,6.0,128.5,5.0,6.0,94.5,4.0,6.0,148.5,4.0,5.0,104.8
6.0,2.0,43.8,6.0,1.0,135.9,6.0,1.0,94.0,6.0,1.0,81.8,6.0,1.0,67.9,5.0,1.0,69.7
6.0,3.0,58.0,6.0,3.0,222.8,6.0,2.0,154.2,6.0,2.0,163.8,6.0,2.0,108.2,5.0,2.0,112.9
6.0,4.0,37.2,6.0,4.0,196.8,6.0,4.0,112.2,6.0,3.0,137.0,6.0,3.0,134.2,5.0,3.0,120.2
6.0,5.0,58.3,6.0,5.0,263.1,6.0,5.0,141.7,6.0,5.0,102.0,6.0,4.0,118.0,5.0,4.0,89.1
