1,岡崎 恭裕,岡崎 恭裕.1,2,服部 幸男,服部 幸男.1,3,田頭 虎親,田頭 虎親.1,4,石田 章央,石田 章央.1,5,林 祐介,林 祐介.1,6,松尾 昂明,松尾 昂明.1
2,3,6.2,1,3,52.3,1,2,83.3,1,2,98.5,1,2,欠場,1,2,58.6
2,4,7.2,1,4,62.7,1,4,90.0,1,3,140.0,1,3,欠場,1,3,76.4
2,5,欠場,1,5,欠場,1,5,欠場,1,5,欠場,1,4,欠場,1,4,69.9
2,6,10.2,1,6,79.7,1,6,79.0,1,6,90.3,1,6,欠場,1,5,欠場
3,2,9.5,3,1,145.2,2,1,185.2,2,1,190.8,2,1,欠場,2,1,114.0
3,4,11.2,3,4,321.4,2,4,364.0,2,3,412.4,2,3,欠場,2,3,244.4
3,5,欠場,3,5,欠場,2,5,欠場,2,5,欠場,2,4,欠場,2,4,259.6
3,6,11.7,3,6,314.1,2,6,309.0,2,6,298.7,2,6,欠場,2,5,欠場
4,2,14.4,4,1,174.1,4,1,259.3,3,1,362.3,3,1,欠場,3,1,178.8
4,3,15.8,4,3,363.3,4,2,412.4,3,2,576.0,3,2,欠場,3,2,326.9
4,5,欠場,4,5,欠場,4,5,欠場,3,5,欠場,3,4,欠場,3,4,316.7
4,6,15.8,4,6,324.1,4,6,336.6,3,6,421.0,3,6,欠場,3,5,欠場
5,2,欠場,5,1,欠場,5,1,欠場,5,1,欠場,4,1,欠場,4,1,122.1
5,3,欠場,5,3,欠場,5,2,欠場,5,2,欠場,4,2,欠場,4,2,227.9
5,4,欠場,5,4,欠場,5,4,欠場,5,3,欠場,4,3,欠場,4,3,275.8
5,6,欠場,5,6,欠場,5,6,欠場,5,6,欠場,4,6,欠場,4,5,欠場
6,2,16.4,6,1,188.9,6,1,204.7,6,1,111.9,6,1,欠場,5,1,欠場
6,3,19.4,6,3,325.2,6,2,364.0,6,2,170.0,6,2,欠場,5,2,欠場
6,4,21.7,6,4,375.0,6,4,339.0,6,3,220.2,6,3,欠場,5,3,欠場
6,5,欠場,6,5,欠場,6,5,欠場,6,5,欠場,6,4,欠場,5,4,欠場
