1,伊藤 紘章,伊藤 紘章.1,2,福田 雅一,福田 雅一.1,3,木下 大將,木下 大將.1,4,宇野 博之,宇野 博之.1,5,菅 章哉,菅 章哉.1,6,中辻 博訓,中辻 博訓.1
2.0,3.0,91.3,1.0,3.0,146.8,1.0,2.0,133.7,1.0,2.0,535.1,1.0,2.0,53.7,1.0,2.0,339.3
2.0,4.0,260.4,1.0,4.0,312.5,1.0,4.0,241.7,1.0,3.0,734.6,1.0,3.0,50.8,1.0,3.0,401.2
2.0,5.0,120.6,1.0,5.0,178.2,1.0,5.0,108.4,1.0,5.0,509.4,1.0,4.0,72.5,1.0,4.0,541.5
2.0,6.0,145.6,1.0,6.0,199.4,1.0,6.0,124.2,1.0,6.0,457.7,1.0,6.0,41.6,1.0,5.0,298.5
3.0,2.0,89.1,3.0,1.0,165.6,2.0,1.0,162.7,2.0,1.0,597.1,2.0,1.0,59.7,2.0,1.0,329.1
3.0,4.0,200.6,3.0,4.0,252.7,2.0,4.0,194.6,2.0,3.0,619.7,2.0,3.0,28.9,2.0,3.0,174.9
3.0,5.0,83.4,3.0,5.0,71.0,2.0,5.0,60.4,2.0,5.0,484.1,2.0,4.0,60.8,2.0,4.0,343.1
3.0,6.0,112.3,3.0,6.0,86.6,2.0,6.0,62.2,2.0,6.0,347.4,2.0,6.0,20.3,2.0,5.0,137.8
4.0,2.0,360.3,4.0,1.0,511.6,4.0,1.0,314.4,3.0,1.0,703.1,3.0,1.0,51.9,3.0,1.0,355.3
4.0,3.0,395.9,4.0,3.0,462.4,4.0,2.0,237.1,3.0,2.0,572.5,3.0,2.0,26.3,3.0,2.0,177.4
4.0,5.0,424.8,4.0,5.0,442.5,4.0,5.0,124.2,3.0,5.0,315.5,3.0,4.0,44.1,3.0,4.0,320.6
4.0,6.0,374.9,4.0,6.0,356.7,4.0,6.0,117.6,3.0,6.0,260.0,3.0,6.0,15.3,3.0,5.0,92.6
5.0,2.0,109.0,5.0,1.0,170.7,5.0,1.0,95.1,5.0,1.0,246.7,4.0,1.0,53.7,4.0,1.0,455.9
5.0,3.0,95.7,5.0,3.0,81.4,5.0,2.0,48.3,5.0,2.0,217.9,4.0,2.0,43.2,4.0,2.0,316.6
5.0,4.0,276.3,5.0,4.0,270.1,5.0,4.0,68.9,5.0,3.0,220.3,4.0,3.0,38.7,4.0,3.0,318.0
5.0,6.0,116.3,5.0,6.0,78.2,5.0,6.0,27.6,5.0,6.0,113.1,4.0,6.0,18.3,4.0,5.0,178.8
6.0,2.0,227.2,6.0,1.0,284.4,6.0,1.0,152.4,6.0,1.0,301.5,6.0,1.0,35.1,5.0,1.0,159.8
6.0,3.0,214.0,6.0,3.0,147.8,6.0,2.0,72.9,6.0,2.0,242.4,6.0,2.0,15.8,5.0,2.0,78.7
6.0,4.0,362.1,6.0,4.0,327.3,6.0,4.0,87.3,6.0,3.0,241.2,6.0,3.0,14.0,5.0,3.0,64.4
6.0,5.0,214.6,6.0,5.0,133.4,6.0,5.0,43.2,6.0,5.0,153.6,6.0,4.0,17.9,5.0,4.0,117.7
