1,磯村 匠,磯村 匠.1,2,岡本 猛,岡本 猛.1,3,近藤 稔也,近藤 稔也.1,4,澤崎 雄哉,澤崎 雄哉.1,5,近藤 友宝,近藤 友宝.1,6,松尾 昂明,松尾 昂明.1
2.0,3.0,24.3,1.0,3.0,62.4,1.0,2.0,189.2,1.0,2.0,87.7,1.0,2.0,471.2,1.0,2.0,40.4
2.0,4.0,15.1,1.0,4.0,48.4,1.0,4.0,156.5,1.0,3.0,176.9,1.0,3.0,668.1,1.0,3.0,77.1
2.0,5.0,54.4,1.0,5.0,109.8,1.0,5.0,248.4,1.0,5.0,149.0,1.0,4.0,422.2,1.0,4.0,64.0
2.0,6.0,12.9,1.0,6.0,30.1,1.0,6.0,98.8,1.0,6.0,54.6,1.0,6.0,340.7,1.0,5.0,110.4
3.0,2.0,35.2,3.0,1.0,146.8,2.0,1.0,235.8,2.0,1.0,124.6,2.0,1.0,616.6,2.0,1.0,53.3
3.0,4.0,38.4,3.0,4.0,178.3,2.0,4.0,225.0,2.0,3.0,238.4,2.0,3.0,980.4,2.0,3.0,72.6
3.0,5.0,104.7,3.0,5.0,258.2,2.0,5.0,351.0,2.0,5.0,226.4,2.0,4.0,777.7,2.0,4.0,54.9
3.0,6.0,27.8,3.0,6.0,86.5,2.0,6.0,116.9,2.0,6.0,59.9,2.0,6.0,399.8,2.0,5.0,106.6
4.0,2.0,22.8,4.0,1.0,89.3,4.0,1.0,228.2,3.0,1.0,276.6,3.0,1.0,850.1,3.0,1.0,136.0
4.0,3.0,45.2,4.0,3.0,170.9,4.0,2.0,289.1,3.0,2.0,325.5,3.0,2.0,980.4,3.0,2.0,113.5
4.0,5.0,84.5,4.0,5.0,220.2,4.0,5.0,296.8,3.0,5.0,345.8,3.0,4.0,731.1,3.0,4.0,159.7
4.0,6.0,16.5,4.0,6.0,38.7,4.0,6.0,107.2,3.0,6.0,153.5,3.0,6.0,662.9,3.0,5.0,214.3
5.0,2.0,136.5,5.0,1.0,365.5,5.0,1.0,509.7,5.0,1.0,182.5,4.0,1.0,427.2,4.0,1.0,78.9
5.0,3.0,242.5,5.0,3.0,615.1,5.0,2.0,604.9,5.0,2.0,217.5,4.0,2.0,547.9,4.0,2.0,64.5
5.0,4.0,210.9,5.0,4.0,456.9,5.0,4.0,488.3,5.0,3.0,315.5,4.0,3.0,619.5,4.0,3.0,134.0
5.0,6.0,118.1,5.0,6.0,202.9,5.0,6.0,337.1,5.0,6.0,99.8,4.0,6.0,255.8,4.0,5.0,135.7
6.0,2.0,20.9,6.0,1.0,55.6,6.0,1.0,126.3,6.0,1.0,59.2,6.0,1.0,338.0,5.0,1.0,179.3
6.0,3.0,38.5,6.0,3.0,88.7,6.0,2.0,125.3,6.0,2.0,50.6,6.0,2.0,302.8,5.0,2.0,149.9
6.0,4.0,30.7,6.0,4.0,54.2,6.0,4.0,120.1,6.0,3.0,129.9,6.0,3.0,566.1,5.0,3.0,260.8
6.0,5.0,78.3,6.0,5.0,142.0,6.0,5.0,214.6,6.0,5.0,91.6,6.0,4.0,290.4,5.0,4.0,206.3
