1,山口　真喜子,山口　真喜子.1,2,小澤 和也,小澤 和也.1,3,濱崎 直矢,濱崎 直矢.1,4,萩原 知哉,萩原 知哉.1,5,大塚 浩二,大塚 浩二.1,6,久永 祥平,久永 祥平.1
2.0,3.0,26.7,1.0,3.0,103.1,1.0,2.0,23.7,1.0,2.0,467.4,1.0,2.0,711.6,1.0,2.0,947.1
2.0,4.0,76.2,1.0,4.0,220.9,1.0,4.0,11.9,1.0,3.0,154.7,1.0,3.0,264.8,1.0,3.0,292.1
2.0,5.0,108.0,1.0,5.0,348.0,1.0,5.0,22.1,1.0,5.0,351.8,1.0,4.0,568.6,1.0,4.0,698.0
2.0,6.0,107.7,1.0,6.0,357.3,1.0,6.0,14.8,1.0,6.0,285.6,1.0,6.0,508.5,1.0,5.0,979.8
3.0,2.0,13.3,3.0,1.0,130.0,2.0,1.0,52.4,2.0,1.0,653.2,2.0,1.0,954.2,2.0,1.0,1196.0
3.0,4.0,9.4,3.0,4.0,148.1,2.0,4.0,54.0,2.0,3.0,408.2,2.0,3.0,707.7,2.0,3.0,832.5
3.0,5.0,17.0,3.0,5.0,180.9,2.0,5.0,85.2,2.0,5.0,610.9,2.0,4.0,1035.0,2.0,4.0,1819.0
3.0,6.0,13.0,3.0,6.0,189.2,2.0,6.0,65.2,2.0,6.0,635.3,2.0,6.0,957.7,2.0,5.0,1481.0
4.0,2.0,93.8,4.0,1.0,491.8,4.0,1.0,26.2,3.0,1.0,122.6,3.0,1.0,208.3,3.0,1.0,261.5
4.0,3.0,31.9,4.0,3.0,276.9,4.0,2.0,57.8,3.0,2.0,204.9,3.0,2.0,483.4,3.0,2.0,562.4
4.0,5.0,81.8,4.0,5.0,717.6,4.0,5.0,28.7,3.0,5.0,124.1,3.0,4.0,249.0,3.0,4.0,337.4
4.0,6.0,72.5,4.0,6.0,651.5,4.0,6.0,21.9,3.0,6.0,114.1,3.0,6.0,246.1,3.0,5.0,403.7
5.0,2.0,208.4,5.0,1.0,796.1,5.0,1.0,51.6,5.0,1.0,473.5,4.0,1.0,624.4,4.0,1.0,1011.0
5.0,3.0,61.5,5.0,3.0,354.8,5.0,2.0,93.2,5.0,2.0,721.7,4.0,2.0,1117.0,4.0,2.0,1622.0
5.0,4.0,143.8,5.0,4.0,1023.0,5.0,4.0,46.1,5.0,3.0,249.7,4.0,3.0,330.4,4.0,3.0,458.2
5.0,6.0,139.6,5.0,6.0,723.7,5.0,6.0,40.6,5.0,6.0,393.7,4.0,6.0,508.5,4.0,5.0,1201.0
6.0,2.0,194.7,6.0,1.0,863.6,6.0,1.0,37.0,6.0,1.0,409.6,6.0,1.0,690.4,5.0,1.0,1255.0
6.0,3.0,59.0,6.0,3.0,515.7,6.0,2.0,86.3,6.0,2.0,881.5,6.0,2.0,1044.0,5.0,2.0,1721.0
6.0,4.0,140.0,6.0,4.0,1201.0,6.0,4.0,37.0,6.0,3.0,222.3,6.0,3.0,391.3,5.0,3.0,618.3
6.0,5.0,199.8,6.0,5.0,1088.0,6.0,5.0,47.5,6.0,5.0,456.5,6.0,4.0,796.1,5.0,4.0,1299.0
