1,丸岡 正典,丸岡 正典.1,2,高野 哲史,高野 哲史.1,3,後藤 翔之,後藤 翔之.1,4,梅木 敬太,梅木 敬太.1,5,佐々木　完太,佐々木　完太.1,6,山口　真喜子,山口　真喜子.1
2.0,3.0,6.9,1.0,3.0,43.1,1.0,2.0,141.1,1.0,2.0,125.4,1.0,2.0,56.5,1.0,2.0,231.4
2.0,4.0,12.9,1.0,4.0,67.8,1.0,4.0,267.3,1.0,3.0,239.1,1.0,3.0,99.6,1.0,3.0,409.6
2.0,5.0,5.8,1.0,5.0,33.1,1.0,5.0,161.9,1.0,5.0,132.7,1.0,4.0,141.0,1.0,4.0,289.0
2.0,6.0,24.9,1.0,6.0,111.4,1.0,6.0,285.2,1.0,6.0,166.7,1.0,6.0,137.4,1.0,5.0,321.1
3.0,2.0,15.3,3.0,1.0,170.2,2.0,1.0,255.1,2.0,1.0,231.6,2.0,1.0,109.3,2.0,1.0,380.5
3.0,4.0,31.6,3.0,4.0,522.1,2.0,4.0,685.0,2.0,3.0,627.0,2.0,3.0,289.4,2.0,3.0,772.9
3.0,5.0,18.8,3.0,5.0,263.7,2.0,5.0,400.6,2.0,5.0,392.1,2.0,4.0,401.5,2.0,4.0,554.9
3.0,6.0,52.9,3.0,6.0,616.3,2.0,6.0,715.4,2.0,6.0,430.7,2.0,6.0,392.2,2.0,5.0,682.6
4.0,2.0,27.5,4.0,1.0,268.4,4.0,1.0,584.7,3.0,1.0,559.4,3.0,1.0,315.2,3.0,1.0,842.8
4.0,3.0,47.2,4.0,3.0,715.4,4.0,2.0,881.8,3.0,2.0,1011.0,3.0,2.0,466.1,3.0,2.0,1190.0
4.0,5.0,41.1,4.0,5.0,582.6,4.0,5.0,993.9,3.0,5.0,1048.0,3.0,4.0,837.7,3.0,4.0,955.7
4.0,6.0,67.1,4.0,6.0,749.1,4.0,6.0,959.5,3.0,6.0,941.8,3.0,6.0,731.0,3.0,5.0,1215.0
5.0,2.0,9.6,5.0,1.0,99.0,5.0,1.0,329.2,5.0,1.0,211.9,4.0,1.0,293.0,4.0,1.0,320.0
5.0,3.0,16.2,5.0,3.0,242.3,5.0,2.0,483.1,5.0,2.0,348.9,4.0,2.0,447.2,4.0,2.0,426.7
5.0,4.0,28.7,5.0,4.0,396.2,5.0,4.0,943.6,5.0,3.0,671.3,4.0,3.0,788.6,4.0,3.0,587.2
5.0,6.0,32.1,5.0,6.0,425.8,5.0,6.0,865.3,5.0,6.0,325.5,4.0,6.0,501.3,4.0,5.0,512.7
6.0,2.0,60.5,6.0,1.0,427.7,6.0,1.0,587.2,6.0,1.0,249.7,6.0,1.0,469.5,5.0,1.0,618.2
6.0,3.0,92.4,6.0,3.0,845.7,6.0,2.0,865.3,6.0,2.0,346.0,6.0,2.0,651.9,5.0,2.0,890.8
6.0,4.0,97.7,6.0,4.0,837.7,6.0,4.0,940.0,6.0,3.0,576.7,6.0,3.0,916.9,5.0,3.0,1194.0
6.0,5.0,79.5,6.0,5.0,777.3,6.0,5.0,998.0,6.0,5.0,399.0,6.0,4.0,823.5,5.0,4.0,928.3
