1,高野 哲史,高野 哲史.1,2,佐々木　完太,佐々木　完太.1,3,山川 雄大,山川 雄大.1,4,高井 雄基,高井 雄基.1,5,小澤 和也,小澤 和也.1,6,香月 大輝,香月 大輝.1
2.0,3.0,6.7,1.0,3.0,36.9,1.0,2.0,193.8,1.0,2.0,41.7,1.0,2.0,438.2,1.0,2.0,1827.0
2.0,4.0,2.9,1.0,4.0,17.6,1.0,4.0,209.1,1.0,3.0,121.1,1.0,3.0,733.5,1.0,3.0,3360.0
2.0,5.0,17.1,1.0,5.0,51.6,1.0,5.0,340.0,1.0,5.0,91.9,1.0,4.0,535.0,1.0,4.0,3004.0
2.0,6.0,96.1,1.0,6.0,210.8,1.0,6.0,809.5,1.0,6.0,356.3,1.0,6.0,1426.0,1.0,5.0,2790.0
3.0,2.0,16.0,3.0,1.0,171.9,2.0,1.0,272.1,2.0,1.0,63.8,2.0,1.0,680.7,2.0,1.0,2140.0
3.0,4.0,16.6,3.0,4.0,226.4,2.0,4.0,388.1,2.0,3.0,235.1,2.0,3.0,1905.0,2.0,3.0,3720.0
3.0,5.0,45.9,3.0,5.0,499.9,2.0,5.0,793.1,2.0,5.0,224.0,2.0,4.0,1070.0,2.0,4.0,2815.0
3.0,6.0,200.3,3.0,6.0,1092.0,2.0,6.0,1795.0,2.0,6.0,666.2,2.0,6.0,2403.0,2.0,5.0,4340.0
4.0,2.0,5.9,4.0,1.0,54.4,4.0,1.0,340.3,3.0,1.0,294.2,3.0,1.0,1296.0,3.0,1.0,4111.0
4.0,3.0,16.2,4.0,3.0,151.2,4.0,2.0,472.0,3.0,2.0,418.3,3.0,2.0,2604.0,3.0,2.0,5122.0
4.0,5.0,25.7,4.0,5.0,200.3,4.0,5.0,860.8,3.0,5.0,689.8,3.0,4.0,1570.0,3.0,4.0,2331.0
4.0,6.0,151.1,4.0,6.0,548.2,4.0,6.0,2083.0,3.0,6.0,1531.0,3.0,6.0,3511.0,3.0,5.0,3764.0
5.0,2.0,69.0,5.0,1.0,381.5,5.0,1.0,935.5,5.0,1.0,180.0,4.0,1.0,636.4,4.0,1.0,3764.0
5.0,3.0,103.9,5.0,3.0,868.0,5.0,2.0,1610.0,5.0,2.0,287.2,4.0,2.0,880.2,4.0,2.0,3511.0
5.0,4.0,75.4,5.0,4.0,548.2,5.0,4.0,1610.0,5.0,3.0,645.6,4.0,3.0,1480.0,4.0,3.0,4340.0
5.0,6.0,371.5,5.0,6.0,1324.0,5.0,6.0,2693.0,5.0,6.0,697.5,4.0,6.0,1509.0,4.0,5.0,3550.0
6.0,2.0,485.9,6.0,1.0,1291.0,6.0,1.0,1775.0,6.0,1.0,1116.0,6.0,1.0,3289.0,5.0,1.0,4280.0
6.0,3.0,765.8,6.0,3.0,2367.0,6.0,2.0,3188.0,6.0,2.0,1280.0,6.0,2.0,3633.0,5.0,2.0,6377.0
6.0,4.0,560.0,6.0,4.0,2029.0,6.0,4.0,3360.0,6.0,3.0,2016.0,6.0,3.0,5296.0,5.0,3.0,5786.0
6.0,5.0,711.8,6.0,5.0,2125.0,6.0,5.0,2717.0,6.0,5.0,1341.0,6.0,4.0,2947.0,5.0,4.0,4464.0
