1,石田 貴洋,石田 貴洋.1,2,後藤 陽介,後藤 陽介.1,3,中村 真,中村 真.1,4,三馬 崇史,三馬 崇史.1,5,松本 博昭,松本 博昭.1,6,久永 祥平,久永 祥平.1
2.0,3.0,14.6,1.0,3.0,60.1,1.0,2.0,57.9,1.0,2.0,294.4,1.0,2.0,96.6,1.0,2.0,197.3
2.0,4.0,40.0,1.0,4.0,138.2,1.0,4.0,59.0,1.0,3.0,243.1,1.0,3.0,78.2,1.0,3.0,185.0
2.0,5.0,15.2,1.0,5.0,59.2,1.0,5.0,21.9,1.0,5.0,184.0,1.0,4.0,172.9,1.0,4.0,385.0
2.0,6.0,24.3,1.0,6.0,82.7,1.0,6.0,40.7,1.0,6.0,218.8,1.0,6.0,76.3,1.0,5.0,178.4
3.0,2.0,14.1,3.0,1.0,113.7,2.0,1.0,111.7,2.0,1.0,458.4,2.0,1.0,225.9,2.0,1.0,285.6
3.0,4.0,23.3,3.0,4.0,307.6,2.0,4.0,243.9,2.0,3.0,812.2,2.0,3.0,313.2,2.0,3.0,461.3
3.0,5.0,8.7,3.0,5.0,161.7,2.0,5.0,133.4,2.0,5.0,635.8,2.0,4.0,590.3,2.0,4.0,819.5
3.0,6.0,18.0,3.0,6.0,187.0,2.0,6.0,157.0,2.0,6.0,682.4,2.0,6.0,234.2,2.0,5.0,445.4
4.0,2.0,74.8,4.0,1.0,362.6,4.0,1.0,132.1,3.0,1.0,278.4,3.0,1.0,134.5,3.0,1.0,274.0
4.0,3.0,61.4,4.0,3.0,571.7,4.0,2.0,285.8,3.0,2.0,632.5,3.0,2.0,296.8,3.0,2.0,448.7
4.0,5.0,61.0,4.0,5.0,460.1,4.0,5.0,106.3,3.0,5.0,250.3,3.0,4.0,323.2,3.0,4.0,472.1
4.0,6.0,73.7,4.0,6.0,576.2,4.0,6.0,149.4,3.0,6.0,336.4,3.0,6.0,164.0,3.0,5.0,258.4
5.0,2.0,23.1,5.0,1.0,163.5,5.0,1.0,49.6,5.0,1.0,195.5,4.0,1.0,344.4,4.0,1.0,709.1
5.0,3.0,16.8,5.0,3.0,247.3,5.0,2.0,129.9,5.0,2.0,387.8,4.0,2.0,565.5,4.0,2.0,1043.0
5.0,4.0,61.9,5.0,4.0,424.6,5.0,4.0,123.8,5.0,3.0,301.7,4.0,3.0,404.3,4.0,3.0,772.4
5.0,6.0,26.0,5.0,6.0,228.3,5.0,6.0,65.2,5.0,6.0,208.8,4.0,6.0,277.7,4.0,5.0,538.6
6.0,2.0,58.0,6.0,1.0,265.0,6.0,1.0,122.6,6.0,1.0,378.9,6.0,1.0,137.6,5.0,1.0,244.4
6.0,3.0,52.1,6.0,3.0,431.1,6.0,2.0,241.7,6.0,2.0,764.3,6.0,2.0,265.9,5.0,2.0,413.0
6.0,4.0,120.0,6.0,4.0,770.8,6.0,4.0,234.5,6.0,3.0,523.1,6.0,3.0,194.9,5.0,3.0,316.8
6.0,5.0,52.6,6.0,5.0,352.4,6.0,5.0,111.4,6.0,5.0,331.2,6.0,4.0,337.4,5.0,4.0,486.0
