1,大田 直弥,大田 直弥.1,2,小澤 和也,小澤 和也.1,3,松本 博昭,松本 博昭.1,4,萩原 知哉,萩原 知哉.1,5,篠原 晟弥,篠原 晟弥.1,6,木山 和幸,木山 和幸.1
2.0,3.0,24.1,1.0,3.0,105.8,1.0,2.0,75.3,1.0,2.0,72.2,1.0,2.0,178.8,1.0,2.0,1835.0
2.0,4.0,35.5,1.0,4.0,130.6,1.0,4.0,31.7,1.0,3.0,36.0,1.0,3.0,55.5,1.0,3.0,1137.0
2.0,5.0,55.3,1.0,5.0,196.0,1.0,5.0,37.7,1.0,5.0,34.9,1.0,4.0,57.4,1.0,4.0,1233.0
2.0,6.0,139.4,1.0,6.0,394.9,1.0,6.0,112.2,1.0,6.0,66.5,1.0,6.0,73.4,1.0,5.0,1061.0
3.0,2.0,21.0,3.0,1.0,182.3,2.0,1.0,148.7,2.0,1.0,143.3,2.0,1.0,342.8,2.0,1.0,2076.0
3.0,4.0,9.1,3.0,4.0,267.7,2.0,4.0,195.8,2.0,3.0,179.7,2.0,3.0,413.4,2.0,3.0,2656.0
3.0,5.0,12.1,3.0,5.0,367.4,2.0,5.0,228.0,2.0,5.0,189.6,2.0,4.0,429.7,2.0,4.0,1909.0
3.0,6.0,54.1,3.0,6.0,753.7,2.0,6.0,487.0,2.0,6.0,245.7,2.0,6.0,513.3,2.0,5.0,2183.0
4.0,2.0,33.4,4.0,1.0,243.2,4.0,1.0,49.9,3.0,1.0,52.6,3.0,1.0,66.3,3.0,1.0,1323.0
4.0,3.0,14.8,4.0,3.0,310.3,4.0,2.0,137.7,3.0,2.0,127.9,3.0,2.0,321.9,3.0,2.0,2515.0
4.0,5.0,21.1,4.0,5.0,418.4,4.0,5.0,53.5,3.0,5.0,54.3,3.0,4.0,84.9,3.0,4.0,1021.0
4.0,6.0,62.6,4.0,6.0,733.4,4.0,6.0,120.4,3.0,6.0,99.7,3.0,6.0,117.5,3.0,5.0,1221.0
5.0,2.0,65.7,5.0,1.0,448.5,5.0,1.0,74.4,5.0,1.0,34.8,4.0,1.0,76.4,4.0,1.0,1049.0
5.0,3.0,27.5,5.0,3.0,513.3,5.0,2.0,206.8,5.0,2.0,83.8,4.0,2.0,169.2,4.0,2.0,1337.0
5.0,4.0,39.1,5.0,4.0,550.6,5.0,4.0,79.4,5.0,3.0,44.6,4.0,3.0,95.3,4.0,3.0,940.3
5.0,6.0,86.9,5.0,6.0,1079.0,5.0,6.0,164.4,5.0,6.0,42.2,4.0,6.0,90.4,4.0,5.0,618.7
6.0,2.0,322.7,6.0,1.0,1237.0,6.0,1.0,357.3,6.0,1.0,150.3,6.0,1.0,125.0,5.0,1.0,1217.0
6.0,3.0,198.0,6.0,3.0,1767.0,6.0,2.0,824.1,6.0,2.0,243.2,6.0,2.0,452.8,5.0,2.0,1928.0
6.0,4.0,218.3,6.0,4.0,1596.0,6.0,4.0,388.4,6.0,3.0,165.0,6.0,3.0,138.6,5.0,3.0,1206.0
6.0,5.0,218.3,6.0,5.0,1726.0,6.0,5.0,369.9,6.0,5.0,106.1,6.0,4.0,212.4,5.0,4.0,704.8
