1,渡邉 翼,渡邉 翼.1,2,畔柳 俊吾,畔柳 俊吾.1,3,木山 誠一,木山 誠一.1,4,倉田 茂将,倉田 茂将.1,5,外崎 悟,外崎 悟.1,6,山田 竜一,山田 竜一.1
2.0,3.0,17.5,1.0,3.0,40.2,1.0,2.0,44.7,1.0,2.0,115.0,1.0,2.0,80.8,1.0,2.0,364.0
2.0,4.0,29.3,1.0,4.0,79.9,1.0,4.0,88.4,1.0,3.0,145.7,1.0,3.0,84.4,1.0,3.0,476.5
2.0,5.0,18.6,1.0,5.0,30.4,1.0,5.0,32.2,1.0,5.0,116.5,1.0,4.0,165.6,1.0,4.0,664.6
2.0,6.0,46.4,1.0,6.0,75.0,1.0,6.0,73.5,1.0,6.0,218.5,1.0,6.0,112.0,1.0,5.0,464.9
3.0,2.0,17.8,3.0,1.0,40.7,2.0,1.0,50.3,2.0,1.0,167.6,2.0,1.0,101.7,2.0,1.0,562.3
3.0,4.0,32.8,3.0,4.0,86.0,2.0,4.0,114.1,2.0,3.0,243.7,2.0,3.0,103.8,2.0,3.0,534.4
3.0,5.0,16.4,3.0,5.0,27.6,2.0,5.0,33.4,2.0,5.0,196.0,2.0,4.0,226.0,2.0,4.0,954.5
3.0,6.0,42.2,3.0,6.0,59.0,2.0,6.0,69.9,2.0,6.0,403.7,2.0,6.0,131.3,2.0,5.0,576.5
4.0,2.0,45.7,4.0,1.0,159.0,4.0,1.0,167.5,3.0,1.0,197.4,3.0,1.0,88.6,3.0,1.0,675.0
4.0,3.0,53.9,4.0,3.0,165.0,4.0,2.0,177.0,3.0,2.0,274.6,3.0,2.0,97.9,3.0,2.0,598.6
4.0,5.0,56.6,4.0,5.0,134.2,4.0,5.0,128.5,3.0,5.0,266.9,3.0,4.0,209.1,3.0,4.0,1236.0
4.0,6.0,102.6,4.0,6.0,276.6,4.0,6.0,226.0,3.0,6.0,500.9,3.0,6.0,120.1,3.0,5.0,526.2
5.0,2.0,31.5,5.0,1.0,52.6,5.0,1.0,39.1,5.0,1.0,167.8,4.0,1.0,249.7,4.0,1.0,1193.0
5.0,3.0,33.0,5.0,3.0,41.8,5.0,2.0,38.6,5.0,2.0,236.1,4.0,2.0,287.5,4.0,2.0,1425.0
5.0,4.0,66.3,5.0,4.0,122.6,5.0,4.0,95.3,5.0,3.0,298.2,4.0,3.0,324.4,4.0,3.0,1462.0
5.0,6.0,61.0,5.0,6.0,70.9,5.0,6.0,50.0,5.0,6.0,382.2,4.0,6.0,381.8,4.0,5.0,1402.0
6.0,2.0,132.8,6.0,1.0,188.9,6.0,1.0,160.7,6.0,1.0,509.0,6.0,1.0,181.1,5.0,1.0,563.3
6.0,3.0,137.4,6.0,3.0,186.4,6.0,2.0,176.8,6.0,2.0,795.4,6.0,2.0,216.9,5.0,2.0,688.6
6.0,4.0,217.4,6.0,4.0,386.9,6.0,4.0,327.8,6.0,3.0,840.1,6.0,3.0,238.2,5.0,3.0,579.4
6.0,5.0,147.0,6.0,5.0,159.4,6.0,5.0,115.8,6.0,5.0,758.5,6.0,4.0,420.0,5.0,4.0,1057.0
