1,竹井 貴史,竹井 貴史.1,2,原田　才一郎,原田　才一郎.1,3,小川　日紀太,小川　日紀太.1,4,山田 丈,山田 丈.1,5,嘉手苅　徹哉,嘉手苅　徹哉.1,6,丸山 祐也,丸山 祐也.1
2.0,3.0,11.8,1.0,3.0,24.0,1.0,2.0,221.0,1.0,2.0,29.1,1.0,2.0,1077.0,1.0,2.0,702.0
2.0,4.0,4.0,1.0,4.0,7.2,1.0,4.0,274.2,1.0,3.0,122.4,1.0,3.0,2050.0,1.0,3.0,1839.0
2.0,5.0,65.4,1.0,5.0,85.6,1.0,5.0,863.2,1.0,5.0,149.0,1.0,4.0,1381.0,1.0,4.0,730.8
2.0,6.0,27.2,1.0,6.0,40.3,1.0,6.0,645.7,1.0,6.0,70.6,1.0,6.0,2286.0,1.0,5.0,2211.0
3.0,2.0,45.4,3.0,1.0,63.0,2.0,1.0,208.8,2.0,1.0,26.7,2.0,1.0,1191.0,2.0,1.0,703.5
3.0,4.0,55.9,3.0,4.0,45.1,2.0,4.0,152.0,2.0,3.0,76.6,2.0,3.0,1799.0,2.0,3.0,1626.0
3.0,5.0,252.1,3.0,5.0,183.2,2.0,5.0,532.0,2.0,5.0,108.9,2.0,4.0,904.7,2.0,4.0,458.5
3.0,6.0,203.8,3.0,6.0,120.1,2.0,6.0,393.9,2.0,6.0,43.0,2.0,6.0,1901.0,2.0,5.0,1933.0
4.0,2.0,9.6,4.0,1.0,12.8,4.0,1.0,330.7,3.0,1.0,260.9,3.0,1.0,2525.0,3.0,1.0,2751.0
4.0,3.0,43.3,4.0,3.0,29.0,4.0,2.0,234.6,3.0,2.0,201.6,3.0,2.0,2664.0,3.0,2.0,2563.0
4.0,5.0,123.7,4.0,5.0,65.5,4.0,5.0,919.5,3.0,5.0,687.7,3.0,4.0,2843.0,3.0,4.0,2942.0
4.0,6.0,53.9,4.0,6.0,28.2,4.0,6.0,580.4,3.0,6.0,408.6,3.0,6.0,2994.0,3.0,5.0,4572.0
5.0,2.0,325.3,5.0,1.0,299.9,5.0,1.0,1658.0,5.0,1.0,247.7,4.0,1.0,1217.0,4.0,1.0,763.8
5.0,3.0,602.1,5.0,3.0,444.6,5.0,2.0,1634.0,5.0,2.0,241.3,4.0,2.0,899.9,4.0,2.0,452.3
5.0,4.0,451.1,5.0,4.0,254.0,5.0,4.0,2240.0,5.0,3.0,642.1,4.0,3.0,1990.0,4.0,3.0,1849.0
5.0,6.0,897.5,5.0,6.0,437.1,5.0,6.0,2240.0,5.0,6.0,329.4,4.0,6.0,1458.0,4.0,5.0,1700.0
6.0,2.0,176.5,6.0,1.0,150.7,6.0,1.0,1497.0,6.0,1.0,147.5,6.0,1.0,2399.0,5.0,1.0,3285.0
6.0,3.0,499.1,6.0,3.0,302.6,6.0,2.0,1306.0,6.0,2.0,108.4,6.0,2.0,2603.0,5.0,2.0,3104.0
6.0,4.0,180.5,6.0,4.0,109.2,6.0,4.0,1386.0,6.0,3.0,438.3,6.0,3.0,2892.0,5.0,3.0,4394.0
6.0,5.0,872.1,6.0,5.0,483.4,6.0,5.0,2169.0,6.0,5.0,391.2,6.0,4.0,2169.0,5.0,4.0,2583.0
