1,原田　才一郎,原田　才一郎.1,2,佐藤　謙史朗,佐藤　謙史朗.1,3,前田 将太,前田 将太.1,4,小林 文彦,小林 文彦.1,5,丸山 祐也,丸山 祐也.1,6,田中 孝明,田中 孝明.1
2.0,3.0,7.3,1.0,3.0,80.1,1.0,2.0,28.2,1.0,2.0,305.8,1.0,2.0,1861.0,1.0,2.0,712.9
2.0,4.0,19.4,1.0,4.0,154.1,1.0,4.0,15.8,1.0,3.0,151.7,1.0,3.0,1007.0,1.0,3.0,362.3
2.0,5.0,105.0,1.0,5.0,442.5,1.0,5.0,77.6,1.0,5.0,493.8,1.0,4.0,1793.0,1.0,4.0,654.9
2.0,6.0,32.3,1.0,6.0,206.4,1.0,6.0,27.3,1.0,6.0,356.2,1.0,6.0,2021.0,1.0,5.0,1431.0
3.0,2.0,5.0,3.0,1.0,163.7,2.0,1.0,104.6,2.0,1.0,626.3,2.0,1.0,3128.0,2.0,1.0,1093.0
3.0,4.0,4.4,3.0,4.0,418.0,2.0,4.0,196.7,2.0,3.0,775.9,2.0,3.0,4028.0,2.0,3.0,1413.0
3.0,5.0,25.1,3.0,5.0,1101.0,2.0,5.0,771.8,2.0,5.0,1714.0,2.0,4.0,3480.0,2.0,4.0,1787.0
3.0,6.0,8.2,3.0,6.0,589.9,2.0,6.0,290.5,2.0,6.0,1205.0,2.0,6.0,4171.0,2.0,5.0,2390.0
4.0,2.0,30.9,4.0,1.0,547.6,4.0,1.0,64.0,3.0,1.0,207.6,3.0,1.0,1466.0,3.0,1.0,489.7
4.0,3.0,16.3,4.0,3.0,790.5,4.0,2.0,163.9,3.0,2.0,633.7,3.0,2.0,3794.0,3.0,2.0,1348.0
4.0,5.0,113.2,4.0,5.0,1666.0,4.0,5.0,349.2,3.0,5.0,846.2,3.0,4.0,2178.0,3.0,4.0,904.8
4.0,6.0,53.6,4.0,6.0,1427.0,4.0,6.0,146.5,3.0,6.0,566.0,3.0,6.0,2855.0,3.0,5.0,2279.0
5.0,2.0,299.4,5.0,1.0,2186.0,5.0,1.0,490.9,5.0,1.0,852.3,4.0,1.0,2333.0,4.0,1.0,1012.0
5.0,3.0,144.8,5.0,3.0,2855.0,5.0,2.0,1238.0,5.0,2.0,1417.0,4.0,2.0,2970.0,4.0,2.0,2138.0
5.0,4.0,264.3,5.0,4.0,2673.0,5.0,4.0,793.7,5.0,3.0,1075.0,4.0,3.0,2108.0,4.0,3.0,1083.0
5.0,6.0,376.7,5.0,6.0,3179.0,5.0,6.0,863.6,5.0,6.0,1128.0,4.0,6.0,3079.0,4.0,5.0,2352.0
6.0,2.0,72.3,6.0,1.0,745.4,6.0,1.0,143.4,6.0,1.0,729.7,6.0,1.0,2911.0,5.0,1.0,3128.0
6.0,3.0,37.9,6.0,3.0,1284.0,6.0,2.0,350.7,6.0,2.0,1289.0,6.0,2.0,4422.0,5.0,2.0,4489.0
6.0,4.0,75.7,6.0,4.0,1527.0,6.0,4.0,228.1,6.0,3.0,840.2,6.0,3.0,3819.0,5.0,3.0,3419.0
6.0,5.0,289.1,6.0,5.0,2911.0,6.0,5.0,704.3,6.0,5.0,1403.0,6.0,4.0,3586.0,5.0,4.0,2841.0
