1,宮下 元胤,宮下 元胤.1,2,中田 友也,中田 友也.1,3,山本 修一,山本 修一.1,4,荒牧 凪沙,荒牧 凪沙.1,5,吉永 泰弘,吉永 泰弘.1,6,高橋 英之,高橋 英之.1
2.0,3.0,11.9,1.0,3.0,65.6,1.0,2.0,39.6,1.0,2.0,107.2,1.0,2.0,438.0,1.0,2.0,851.5
2.0,4.0,23.3,1.0,4.0,147.7,1.0,4.0,24.5,1.0,3.0,51.1,1.0,3.0,363.3,1.0,3.0,310.5
2.0,5.0,47.7,1.0,5.0,177.8,1.0,5.0,45.4,1.0,5.0,72.6,1.0,4.0,426.8,1.0,4.0,600.0
2.0,6.0,51.6,1.0,6.0,217.7,1.0,6.0,35.1,1.0,6.0,67.5,1.0,6.0,443.1,1.0,5.0,938.0
3.0,2.0,8.5,3.0,1.0,135.4,2.0,1.0,107.8,2.0,1.0,266.2,2.0,1.0,706.6,2.0,1.0,1232.0
3.0,4.0,6.0,3.0,4.0,284.9,2.0,4.0,171.6,2.0,3.0,302.4,2.0,3.0,568.6,2.0,3.0,1229.0
3.0,5.0,15.7,3.0,5.0,269.3,2.0,5.0,206.4,2.0,5.0,350.5,2.0,4.0,1141.0,2.0,4.0,1546.0
3.0,6.0,13.1,3.0,6.0,396.2,2.0,6.0,240.0,2.0,6.0,351.8,2.0,6.0,1347.0,2.0,5.0,1745.0
4.0,2.0,25.9,4.0,1.0,365.1,4.0,1.0,55.7,3.0,1.0,87.5,3.0,1.0,545.0,3.0,1.0,360.0
4.0,3.0,14.9,4.0,3.0,391.5,4.0,2.0,140.5,3.0,2.0,245.9,3.0,2.0,540.9,3.0,2.0,1125.0
4.0,5.0,36.6,4.0,5.0,641.7,4.0,5.0,130.5,3.0,5.0,194.6,3.0,4.0,877.3,3.0,4.0,841.6
4.0,6.0,31.2,4.0,6.0,717.1,4.0,6.0,106.3,3.0,6.0,174.0,3.0,6.0,982.6,3.0,5.0,1232.0
5.0,2.0,94.1,5.0,1.0,523.9,5.0,1.0,189.5,5.0,1.0,107.2,4.0,1.0,444.7,4.0,1.0,767.2
5.0,3.0,59.8,5.0,3.0,387.3,5.0,2.0,260.8,5.0,2.0,203.7,4.0,2.0,625.1,4.0,2.0,1549.0
5.0,4.0,81.8,5.0,4.0,1022.0,5.0,4.0,271.7,5.0,3.0,186.2,4.0,3.0,609.3,4.0,3.0,923.0
5.0,6.0,92.0,5.0,6.0,1211.0,5.0,6.0,289.9,5.0,6.0,123.3,4.0,6.0,494.7,4.0,5.0,1208.0
6.0,2.0,116.9,6.0,1.0,862.5,6.0,1.0,128.2,6.0,1.0,134.6,6.0,1.0,872.0,5.0,1.0,1330.0
6.0,3.0,56.3,6.0,3.0,944.1,6.0,2.0,344.1,6.0,2.0,289.3,6.0,2.0,1417.0,5.0,2.0,1907.0
6.0,4.0,89.7,6.0,4.0,1225.0,6.0,4.0,207.4,6.0,3.0,224.7,6.0,3.0,1055.0,5.0,3.0,1490.0
6.0,5.0,137.0,6.0,5.0,1434.0,6.0,5.0,310.8,6.0,5.0,174.3,6.0,4.0,943.1,5.0,4.0,1383.0
