1,松尾 昂明,松尾 昂明.1,2,若林 麗,若林 麗.1,3,鈴木 秀茉,鈴木 秀茉.1,4,下出 卓矢,下出 卓矢.1,5,山下 智己,山下 智己.1,6,稲田 浩二,稲田 浩二.1
2.0,3.0,140.4,1.0,3.0,692.6,1.0,2.0,334.3,1.0,2.0,134.7,1.0,2.0,1471.0,1.0,2.0,249.2
2.0,4.0,136.1,1.0,4.0,692.6,1.0,4.0,34.3,1.0,3.0,35.3,1.0,3.0,612.7,1.0,3.0,60.0
2.0,5.0,308.3,1.0,5.0,1431.0,1.0,5.0,140.0,1.0,5.0,76.6,1.0,4.0,521.8,1.0,4.0,41.0
2.0,6.0,149.5,1.0,6.0,880.4,1.0,6.0,24.8,1.0,6.0,17.0,1.0,6.0,373.0,1.0,5.0,245.2
3.0,2.0,89.2,3.0,1.0,932.6,2.0,1.0,669.7,2.0,1.0,380.7,2.0,1.0,2625.0,2.0,1.0,582.5
3.0,4.0,10.6,3.0,4.0,1623.0,2.0,4.0,866.1,2.0,3.0,715.9,2.0,3.0,3296.0,2.0,3.0,942.9
3.0,5.0,62.0,3.0,5.0,2726.0,2.0,5.0,1187.0,2.0,5.0,759.4,2.0,4.0,2577.0,2.0,4.0,685.9
3.0,6.0,10.1,3.0,6.0,1817.0,2.0,6.0,713.5,2.0,6.0,333.2,2.0,6.0,1707.0,2.0,5.0,1524.0
4.0,2.0,74.8,4.0,1.0,953.5,4.0,1.0,44.6,3.0,1.0,55.3,3.0,1.0,793.4,3.0,1.0,92.3
4.0,3.0,12.9,4.0,3.0,1750.0,4.0,2.0,390.1,3.0,2.0,429.9,3.0,2.0,2486.0,3.0,2.0,603.2
4.0,5.0,59.2,4.0,5.0,2797.0,4.0,5.0,105.6,3.0,5.0,130.5,3.0,4.0,908.6,3.0,4.0,97.2
4.0,6.0,8.2,4.0,6.0,1071.0,4.0,6.0,32.3,3.0,6.0,34.8,3.0,6.0,508.0,3.0,5.0,408.9
5.0,2.0,521.8,5.0,1.0,2389.0,5.0,1.0,325.8,5.0,1.0,129.5,4.0,1.0,425.6,4.0,1.0,45.4
5.0,3.0,172.5,5.0,3.0,3150.0,5.0,2.0,1128.0,5.0,2.0,519.8,4.0,2.0,1546.0,4.0,2.0,295.9
5.0,4.0,179.3,5.0,4.0,2873.0,5.0,4.0,262.3,5.0,3.0,263.8,4.0,3.0,762.1,4.0,3.0,77.3
5.0,6.0,161.0,5.0,6.0,2349.0,5.0,6.0,238.3,5.0,6.0,86.4,4.0,6.0,314.5,4.0,5.0,171.7
6.0,2.0,116.2,6.0,1.0,1261.0,6.0,1.0,47.1,6.0,1.0,19.6,6.0,1.0,601.5,5.0,1.0,651.2
6.0,3.0,16.4,6.0,3.0,1817.0,6.0,2.0,458.7,6.0,2.0,142.5,6.0,2.0,1508.0,5.0,2.0,1563.0
6.0,4.0,13.5,6.0,4.0,1222.0,6.0,4.0,46.1,6.0,3.0,34.1,6.0,3.0,758.0,5.0,3.0,800.8
6.0,5.0,86.5,6.0,5.0,2402.0,6.0,5.0,159.2,6.0,5.0,53.6,6.0,4.0,491.6,5.0,4.0,462.7
