1,松尾 充,松尾 充.1,2,浦田 晃嗣,浦田 晃嗣.1,3,本田 愛,本田 愛.1,4,松田 淳平,松田 淳平.1,5,阪本 勇介,阪本 勇介.1,6,抹香 雄三,抹香 雄三.1
2.0,3.0,6.7,1.0,3.0,102.4,1.0,2.0,140.0,1.0,2.0,112.6,1.0,2.0,232.1,1.0,2.0,196.5
2.0,4.0,9.6,1.0,4.0,110.0,1.0,4.0,216.9,1.0,3.0,280.5,1.0,3.0,421.0,1.0,3.0,236.1
2.0,5.0,16.1,1.0,5.0,130.2,1.0,5.0,215.6,1.0,5.0,105.4,1.0,4.0,296.3,1.0,4.0,227.9
2.0,6.0,9.7,1.0,6.0,112.7,1.0,6.0,162.4,1.0,6.0,89.8,1.0,6.0,215.2,1.0,5.0,342.9
3.0,2.0,9.7,3.0,1.0,198.5,2.0,1.0,262.0,2.0,1.0,249.7,2.0,1.0,496.0,2.0,1.0,208.2
3.0,4.0,16.5,3.0,4.0,665.6,2.0,4.0,707.4,2.0,3.0,858.9,2.0,3.0,1429.0,2.0,3.0,898.0
3.0,5.0,20.5,3.0,5.0,813.1,2.0,5.0,836.1,2.0,5.0,476.1,2.0,4.0,944.6,2.0,4.0,868.3
3.0,6.0,14.7,3.0,6.0,723.6,2.0,6.0,691.8,2.0,6.0,430.2,2.0,6.0,696.9,2.0,5.0,954.1
4.0,2.0,18.2,4.0,1.0,310.5,4.0,1.0,506.1,3.0,1.0,653.6,3.0,1.0,792.7,3.0,1.0,587.8
4.0,3.0,31.7,4.0,3.0,839.1,4.0,2.0,820.2,3.0,2.0,1033.0,3.0,2.0,1546.0,3.0,2.0,1068.0
4.0,5.0,28.4,4.0,5.0,736.0,4.0,5.0,1154.0,3.0,5.0,1321.0,3.0,4.0,2180.0,3.0,4.0,1367.0
4.0,6.0,25.2,4.0,6.0,729.2,4.0,6.0,854.2,3.0,6.0,975.7,3.0,6.0,1502.0,3.0,5.0,1536.0
5.0,2.0,32.6,5.0,1.0,334.9,5.0,1.0,545.8,5.0,1.0,152.8,4.0,1.0,321.7,4.0,1.0,483.4
5.0,3.0,45.9,5.0,3.0,1192.0,5.0,2.0,998.4,5.0,2.0,278.2,4.0,2.0,559.4,4.0,2.0,843.5
5.0,4.0,48.6,5.0,4.0,1002.0,5.0,4.0,1258.0,5.0,3.0,725.8,4.0,3.0,1460.0,4.0,3.0,1279.0
5.0,6.0,35.7,5.0,6.0,733.7,5.0,6.0,922.5,5.0,6.0,163.7,4.0,6.0,351.8,4.0,5.0,650.0
6.0,2.0,24.7,6.0,1.0,356.0,6.0,1.0,479.4,6.0,1.0,165.7,6.0,1.0,368.0,5.0,1.0,557.4
6.0,3.0,35.7,6.0,3.0,926.1,6.0,2.0,971.7,6.0,2.0,322.8,6.0,2.0,576.4,5.0,2.0,926.1
6.0,4.0,49.3,6.0,4.0,985.9,6.0,4.0,1110.0,6.0,3.0,734.8,6.0,3.0,1168.0,5.0,3.0,1404.0
6.0,5.0,50.0,6.0,5.0,950.3,6.0,5.0,1171.0,6.0,5.0,246.3,6.0,4.0,481.9,5.0,4.0,708.4
