1,真庭 明志,真庭 明志.1,2,竹腰 正樹,竹腰 正樹.1,3,尾上 雅也,尾上 雅也.1,4,原田 秀弥,原田 秀弥.1,5,田中 勇輔,田中 勇輔.1,6,一瀬 明,一瀬 明.1
2.0,3.0,15.8,1.0,3.0,95.6,1.0,2.0,25.7,1.0,2.0,230.9,1.0,2.0,203.3,1.0,2.0,965.1
2.0,4.0,31.3,1.0,4.0,216.0,1.0,4.0,12.4,1.0,3.0,115.9,1.0,3.0,93.5,1.0,3.0,439.3
2.0,5.0,41.9,1.0,5.0,267.6,1.0,5.0,13.8,1.0,5.0,171.9,1.0,4.0,190.1,1.0,4.0,1147.0
2.0,6.0,62.8,1.0,6.0,338.2,1.0,6.0,21.6,1.0,6.0,200.0,1.0,6.0,147.2,1.0,5.0,1405.0
3.0,2.0,10.3,3.0,1.0,141.9,2.0,1.0,75.9,2.0,1.0,372.1,2.0,1.0,356.2,2.0,1.0,1560.0
3.0,4.0,7.5,3.0,4.0,328.0,2.0,4.0,161.1,2.0,3.0,373.2,2.0,3.0,396.8,2.0,3.0,1698.0
3.0,5.0,9.2,3.0,5.0,375.8,2.0,5.0,167.8,2.0,5.0,604.7,2.0,4.0,576.4,2.0,4.0,2852.0
3.0,6.0,17.5,3.0,6.0,652.2,2.0,6.0,230.5,2.0,6.0,870.6,2.0,6.0,611.5,2.0,5.0,3082.0
4.0,2.0,45.1,4.0,1.0,569.6,4.0,1.0,39.9,3.0,1.0,129.6,3.0,1.0,122.1,3.0,1.0,478.3
4.0,3.0,25.3,4.0,3.0,546.0,4.0,2.0,126.5,3.0,2.0,271.2,3.0,2.0,321.7,3.0,2.0,1691.0
4.0,5.0,55.1,4.0,5.0,753.8,4.0,5.0,72.5,3.0,5.0,229.0,3.0,4.0,248.3,3.0,4.0,1003.0
4.0,6.0,63.5,4.0,6.0,864.7,4.0,6.0,70.5,3.0,6.0,242.6,3.0,6.0,228.4,3.0,5.0,1209.0
5.0,2.0,69.9,5.0,1.0,697.4,5.0,1.0,47.5,5.0,1.0,215.9,4.0,1.0,272.6,4.0,1.0,1492.0
5.0,3.0,32.3,5.0,3.0,522.8,5.0,2.0,157.7,5.0,2.0,576.4,4.0,2.0,445.9,4.0,2.0,3057.0
5.0,4.0,72.1,5.0,4.0,866.6,5.0,4.0,99.4,5.0,3.0,245.7,4.0,3.0,313.5,4.0,3.0,1317.0
5.0,6.0,84.2,5.0,6.0,1626.0,5.0,6.0,100.4,5.0,6.0,433.3,4.0,6.0,318.2,4.0,5.0,2730.0
6.0,2.0,183.3,6.0,1.0,1008.0,6.0,1.0,104.1,6.0,1.0,509.6,6.0,1.0,392.0,5.0,1.0,1579.0
6.0,3.0,91.5,6.0,3.0,1420.0,6.0,2.0,357.8,6.0,2.0,1127.0,6.0,2.0,688.6,5.0,2.0,2769.0
6.0,4.0,151.9,6.0,4.0,2196.0,6.0,4.0,187.8,6.0,3.0,629.6,6.0,3.0,388.0,5.0,3.0,1389.0
6.0,5.0,187.8,6.0,5.0,2895.0,6.0,5.0,224.0,6.0,5.0,843.7,6.0,4.0,656.7,5.0,4.0,2302.0
