1,池田 雄祐,池田 雄祐.1,2,津留　浩一郎,津留　浩一郎.1,3,磯村 匠,磯村 匠.1,4,谷津 幸宏,谷津 幸宏.1,5,木幡 純也,木幡 純也.1,6,佐藤 大佑,佐藤 大佑.1
2.0,3.0,9.5,1.0,3.0,98.5,1.0,2.0,148.5,1.0,2.0,76.7,1.0,2.0,400.1,1.0,2.0,267.2
2.0,4.0,8.2,1.0,4.0,77.1,1.0,4.0,89.2,1.0,3.0,108.5,1.0,3.0,406.6,1.0,3.0,313.8
2.0,5.0,22.0,1.0,5.0,165.9,1.0,5.0,171.3,1.0,5.0,92.9,1.0,4.0,317.2,1.0,4.0,195.4
2.0,6.0,21.5,1.0,6.0,142.8,1.0,6.0,135.0,1.0,6.0,56.8,1.0,6.0,390.7,1.0,5.0,579.0
3.0,2.0,13.7,3.0,1.0,291.4,2.0,1.0,311.9,2.0,1.0,247.3,2.0,1.0,808.5,2.0,1.0,535.7
3.0,4.0,10.3,3.0,4.0,665.8,2.0,4.0,662.1,2.0,3.0,524.5,2.0,3.0,1711.0,2.0,3.0,1257.0
3.0,5.0,24.3,3.0,5.0,928.3,2.0,5.0,974.7,2.0,5.0,543.2,2.0,4.0,1403.0,2.0,4.0,708.9
3.0,6.0,19.3,3.0,6.0,988.5,2.0,6.0,866.4,2.0,6.0,333.5,2.0,6.0,1294.0,2.0,5.0,1866.0
4.0,2.0,9.8,4.0,1.0,238.3,4.0,1.0,192.7,3.0,1.0,230.4,3.0,1.0,857.9,3.0,1.0,672.2
4.0,3.0,13.4,4.0,3.0,668.4,4.0,2.0,642.7,3.0,2.0,697.6,3.0,2.0,2088.0,3.0,2.0,1799.0
4.0,5.0,23.8,4.0,5.0,703.2,4.0,5.0,502.7,3.0,5.0,582.9,3.0,4.0,1294.0,3.0,4.0,1169.0
4.0,6.0,11.1,4.0,6.0,418.2,4.0,6.0,340.3,3.0,6.0,398.7,3.0,6.0,1444.0,3.0,5.0,2542.0
5.0,2.0,51.0,5.0,1.0,635.7,5.0,1.0,487.3,5.0,1.0,172.8,4.0,1.0,414.7,4.0,1.0,296.1
5.0,3.0,54.4,5.0,3.0,1617.0,5.0,2.0,1290.0,5.0,2.0,395.1,4.0,2.0,746.6,4.0,2.0,653.4
5.0,4.0,48.4,5.0,4.0,1525.0,5.0,4.0,786.8,5.0,3.0,487.3,4.0,3.0,870.7,4.0,3.0,841.5
5.0,6.0,78.2,5.0,6.0,1545.0,5.0,6.0,1103.0,5.0,6.0,194.9,4.0,6.0,435.3,4.0,5.0,899.7
6.0,2.0,41.5,6.0,1.0,503.4,6.0,1.0,430.0,6.0,1.0,111.4,6.0,1.0,866.4,5.0,1.0,1349.0
6.0,3.0,51.7,6.0,3.0,1324.0,6.0,2.0,1214.0,6.0,2.0,258.0,6.0,2.0,1304.0,5.0,2.0,2436.0
6.0,4.0,31.7,6.0,4.0,621.0,6.0,4.0,614.5,6.0,3.0,369.7,6.0,3.0,1339.0,5.0,3.0,2471.0
6.0,5.0,87.7,6.0,5.0,1165.0,6.0,5.0,1235.0,6.0,5.0,238.2,6.0,4.0,814.1,5.0,4.0,1248.0
