1,青木 蓮,青木 蓮.1,2,木幡 純也,木幡 純也.1,3,真庭 明志,真庭 明志.1,4,冨田 秀幸,冨田 秀幸.1,5,木下 翔太,木下 翔太.1,6,吉原 快誓,吉原 快誓.1
2.0,3.0,17.5,1.0,3.0,108.8,1.0,2.0,52.9,1.0,2.0,445.1,1.0,2.0,41.1,1.0,2.0,1335.0
2.0,4.0,43.5,1.0,4.0,258.0,1.0,4.0,52.9,1.0,3.0,326.6,1.0,3.0,18.3,1.0,3.0,900.1
2.0,5.0,18.6,1.0,5.0,112.5,1.0,5.0,15.3,1.0,5.0,253.1,1.0,4.0,61.7,1.0,4.0,2893.0
2.0,6.0,402.3,1.0,6.0,1365.0,1.0,6.0,273.0,1.0,6.0,1928.0,1.0,6.0,184.6,1.0,5.0,706.5
3.0,2.0,12.9,3.0,1.0,186.9,2.0,1.0,148.2,2.0,1.0,719.0,2.0,1.0,92.1,2.0,1.0,2480.0
3.0,4.0,20.1,3.0,4.0,480.3,2.0,4.0,259.1,2.0,3.0,667.7,2.0,3.0,101.1,2.0,3.0,4050.0
3.0,5.0,5.4,3.0,5.0,188.1,2.0,5.0,137.3,2.0,5.0,794.2,2.0,4.0,237.8,2.0,4.0,3574.0
3.0,6.0,161.8,3.0,6.0,2480.0,2.0,6.0,1519.0,2.0,6.0,2250.0,2.0,6.0,1021.0,2.0,5.0,3038.0
4.0,2.0,63.8,4.0,1.0,530.6,4.0,1.0,130.3,3.0,1.0,376.2,3.0,1.0,27.0,3.0,1.0,1227.0
4.0,3.0,46.6,4.0,3.0,613.7,4.0,2.0,254.2,3.0,2.0,570.5,3.0,2.0,72.3,3.0,2.0,3116.0
4.0,5.0,46.2,4.0,5.0,893.5,4.0,5.0,110.0,3.0,5.0,294.2,3.0,4.0,90.9,3.0,4.0,2531.0
4.0,6.0,351.2,4.0,6.0,2531.0,4.0,6.0,1066.0,3.0,6.0,1992.0,3.0,6.0,311.6,3.0,5.0,1500.0
5.0,2.0,13.4,5.0,1.0,181.6,5.0,1.0,23.8,5.0,1.0,237.3,4.0,1.0,129.2,4.0,1.0,3797.0
5.0,3.0,6.8,5.0,3.0,189.5,5.0,2.0,71.8,5.0,2.0,510.6,4.0,2.0,234.6,4.0,2.0,2761.0
5.0,4.0,23.3,5.0,4.0,537.7,5.0,4.0,69.5,5.0,3.0,305.3,4.0,3.0,149.2,4.0,3.0,3920.0
5.0,6.0,134.7,5.0,6.0,1992.0,5.0,6.0,286.6,5.0,6.0,1482.0,4.0,6.0,900.1,4.0,5.0,3682.0
6.0,2.0,710.6,6.0,1.0,1279.0,6.0,1.0,727.6,6.0,1.0,3682.0,6.0,1.0,376.2,5.0,1.0,789.1
6.0,3.0,626.4,6.0,3.0,3920.0,6.0,2.0,1960.0,6.0,2.0,1992.0,6.0,2.0,1306.0,5.0,2.0,3038.0
6.0,4.0,956.8,6.0,4.0,2382.0,6.0,4.0,1500.0,6.0,3.0,3375.0,6.0,3.0,789.1,5.0,3.0,1898.0
6.0,5.0,401.0,6.0,5.0,4190.0,6.0,5.0,880.6,6.0,5.0,3038.0,6.0,4.0,1413.0,5.0,4.0,4050.0
