1,中井 俊祐,中井 俊祐.1,2,上原　健次郎,上原　健次郎.1,3,品川 賢次,品川 賢次.1,4,大場 広孝,大場 広孝.1,5,尾上 雅也,尾上 雅也.1,6,佐藤 悠,佐藤 悠.1
2.0,3.0,65.4,1.0,3.0,170.3,1.0,2.0,300.3,1.0,2.0,174.9,1.0,2.0,51.9,1.0,2.0,48.5
2.0,4.0,43.8,1.0,4.0,111.2,1.0,4.0,307.9,1.0,3.0,320.0,1.0,3.0,109.1,1.0,3.0,92.6
2.0,5.0,22.3,1.0,5.0,63.0,1.0,5.0,197.9,1.0,5.0,88.8,1.0,4.0,58.0,1.0,4.0,64.4
2.0,6.0,49.9,1.0,6.0,112.2,1.0,6.0,247.3,1.0,6.0,107.1,1.0,6.0,27.5,1.0,5.0,34.0
3.0,2.0,82.3,3.0,1.0,296.6,2.0,1.0,384.6,2.0,1.0,282.9,2.0,1.0,82.4,2.0,1.0,60.4
3.0,4.0,82.0,3.0,4.0,343.4,2.0,4.0,424.8,2.0,3.0,544.3,2.0,3.0,158.1,2.0,3.0,114.1
3.0,5.0,54.2,3.0,5.0,183.9,2.0,5.0,292.4,2.0,5.0,160.2,2.0,4.0,98.6,2.0,4.0,84.2
3.0,6.0,106.2,3.0,6.0,315.9,2.0,6.0,403.7,2.0,6.0,207.0,2.0,6.0,57.2,2.0,5.0,47.0
4.0,2.0,60.7,4.0,1.0,210.6,4.0,1.0,532.4,3.0,1.0,655.6,3.0,1.0,213.5,3.0,1.0,180.6
4.0,3.0,97.3,4.0,3.0,365.0,4.0,2.0,497.7,3.0,2.0,625.3,3.0,2.0,208.8,3.0,2.0,187.0
4.0,5.0,36.5,4.0,5.0,129.7,4.0,5.0,410.5,3.0,5.0,398.5,3.0,4.0,209.8,3.0,4.0,220.9
4.0,6.0,53.3,4.0,6.0,178.0,4.0,6.0,480.0,3.0,6.0,485.8,3.0,6.0,165.4,3.0,5.0,168.4
5.0,2.0,27.4,5.0,1.0,99.5,5.0,1.0,266.2,5.0,1.0,87.6,4.0,1.0,72.0,4.0,1.0,111.2
5.0,3.0,60.4,5.0,3.0,179.5,5.0,2.0,325.1,5.0,2.0,106.6,4.0,2.0,76.7,4.0,2.0,114.9
5.0,4.0,30.5,5.0,4.0,122.5,5.0,4.0,353.4,5.0,3.0,218.9,4.0,3.0,157.3,4.0,3.0,261.6
5.0,6.0,20.6,5.0,6.0,77.6,5.0,6.0,225.4,5.0,6.0,45.9,4.0,6.0,43.7,4.0,5.0,68.5
6.0,2.0,70.6,6.0,1.0,191.4,6.0,1.0,345.4,6.0,1.0,152.8,6.0,1.0,24.6,5.0,1.0,37.1
6.0,3.0,134.7,6.0,3.0,274.0,6.0,2.0,424.8,6.0,2.0,175.2,6.0,2.0,37.3,5.0,2.0,41.1
6.0,4.0,72.1,6.0,4.0,195.7,6.0,4.0,446.6,6.0,3.0,348.4,6.0,3.0,92.2,5.0,3.0,99.5
6.0,5.0,41.2,6.0,5.0,96.7,6.0,5.0,272.1,6.0,5.0,72.4,6.0,4.0,36.3,5.0,4.0,45.0
